@rowCount	1660
w	d	t	q
tergunta	te+gunta:  attack goal :   x1 = gunta3 (attack goal ), x2 = gunta2 (attacked), x3 = gunta1 (attack)	jbo	MSKQOOTOOQRLSPSNHPNNQPOPPOOOPOPMMPMLKOLPOPOLQNJPRPMOJPUNNOPNPMQNSMMPKTONOLPQRNOPPKKRQPMNSPPTSQRNPLNQMPLOLONMLORKOMMQLPSMQMNQMMLOMONRNMOKIQIPMOQPOQMRQSMLRQKKJONOLOQNSOOOPPOOOINQPPOMPNMPLPQRNKOQPSLPVPNNSOSNOQNMJPQRMOQJLQKPONMOORNMMLQGQTOONLSNSOJNONNNOPQOSOLLPQLOTMSQQPQUNPTSMNTOLNNPQMNRSMRQQOLMPPOSOMNMIPQPLONQOQRVPMORRPPOKNNPMQMMQJQPQKNPNLLLLOJNMPLOQQNMPNPPSOQNMQOQNRNKNLPOMMPPPNQQOSQO
selgru	se+gurni:  grain species:   x1 = gurni2 (grain species), x2 = gurni1 (grain)	jbo	MOPOQJQLNLUHOMMNNPMKRPNPQOMQOMPROQOPNMNOPLRPOMONQROPGQWQKNMOOOQNRONOMRPOMNLTQNSMJPRLMNPOPPRPSOQQPMQONORQLNMMMOPNLQOSSSRLOPKOLLKOMOPMMMKOKOGOMQONQNPOMQMNPKPJNNQNOPNOPPQOMSRMOMPQQQMORROQPQOQOQRNRULMNRLNPOSKMONPIQOMFQNORPLQOMMONOORMMRHPRQPOKQPPSNONRNKPNROLLKJNPNLRLLOOSRWNQRRONOQNNOQPOKONMPLSLLONLSNPLNLNQQMRQRRPRRUSQOOOQRONMLMNRPQQNMQMMPONRNNPNKRMPPMRPOOQNPNMRSOKNPNSPOMNRRPQONMNNQOQLQM
selguska	se+guska:  scraped:   x1 = guska2 (scraped), x2 = guska1 (erosive), x3 = guska3 (scraped from)	jbo	MPNOLLQNOLRJONRPMSMLQKMOTSOPSIPNSOPQKPQTPNPLQPLOQPOOJQUMPONOQNPOQMLNJTMPMMMQQONNNPOQKQMNNOPQUMRTPLTPNQOMLOKOPOPJSOMPQQSNSNNPNMNOONMOLROMIOJQMPLRPNKPSONONOMKRNOONROPRONNMOROPJOQUQNPSOMONROROQPOQRPQQQLNPQOILOOOKOQMMQPLMNJPONNOOPPPPLSMNSOOPLQQPPJNNQLPPQTMNOLLJPMNOONLOOPWRPNTOPNQKQMOMNLPKMRRRNMMMOSQNKROIRQQORQTPMPVQOPPRQTOMMNNOQMOLNNPLNRPSRNKMMMRNNLLQOPMPOQONPNNNMNNPNMJOLRJPNPNPPRRNQUN
terguska	te+guska:  scraped from:   x1 = guska3 (scraped from), x2 = guska2 (scraped), x3 = guska1 (erosive)	jbo	LRNPLLROOLRIOPROLRNLQKMOTSOQTJPOPONQIQQSPNQMROLQPOPOJRVNQNNPROPNQMKNJTMPNMOQSPMPNNNOKQNOPOPRSNQROKSPNPONLOLNPPQJSPKOOPROSNMRMMPOOOKPNROKKOIQLPKQPNKQQQLNNPLJPNONMSOOROPNNPSPPIPRSPNPRNMOPSPRORPOPQOQSPLNQPPJOOQNJOQNNQOLNQIPNNOOQQQPPLRMORPPPLPPPPJLMOJOOQSLOOLJKPMOQOOLPNOVPQQSPPPRLQLOOMLQMMSQQNLNONTSPJROHPROMRPSPMOTQNPQRPTONMMNOPMOMLNPMNRQSRMLMLMQLOLLQOPMPPRPMOMNOMNOPNMJOMQLONPNQORQNRUN
selgu'i	se+gusni:  lit:   x1 = gusni2 (lit), x2 = gusni1 (light), x3 = gusni3 (light source)	jbo	LNPPLMRNQLRIQNPQLPOMTIOPSSMQTJRQPOMPOOOTOKPLPONNPOQNJTVONNQOPPONSNKNLPOOPKLQSQMLPPMQPPOONPKOSOSRPJROPQMONMLTNNRLQMMQOSSPQPLQMLNOQOLQNROOHLJPNQLLQNLMPOLPMQNKONOQSQROSOMNKQOMOLNRUQMOPPOQLRPOORPNQSMOPPIPOQSKLNNRGOPLMQONLNKORMLOMPNPONQKOTQQNKOOOOLQNPKMORTPNOMMKONPQNLNNPSVOPPPOONMKQNMNOMPPLTPQMLPNOTNPKRMKSPOPRPQONQUPNMTRNSOMNLOPONONMQMOKRPPPNNMMORPPOLRPSPQPNOKRORNMOOPQNJLPRMPOOMOPQPMPRO
tergu'i	te+gusni:  light source:   x1 = gusni3 (light source), x2 = gusni2 (lit), x3 = gusni1 (light)	jbo	KOOPMMRNQMRIQOPQKPPMTJOORRMQTKRRMOLPNPOTNLPLPONPOMRMKTWPOOQPQQNMTPJNLPNOPLMQSQMMQNLPPPOQPOKOROSPOIQNPOMONNLTNPRLQMLOMRQPQQKQMKOOQQKQPSPNJLKPLPLLPOKNNQJNMQNKNNNQSQROROOOMRPNPLMSSPOOMNNQMSRNORPOPRLOQQIOPOTLNONQFOPNMQNNLOLOQMMOOQPNPOOJPTRQMJNOPOKPMOKMNRTPOOLLLPNQRNLNOOQTMQRONOPNKQMMPOOQQLTOPMKRPOUPQKRNJQPNOQPQPNQSONNUSLTOMMLNOONQOLPNPLRPOONOLMOONQNMRPTQOPOOKRNPNNOQPQOKLQQOPNOMONONMRSP
selgusta	se+gusta:  restaurant cuisine:   x1 = gusta2 (restaurant cuisine), x2 = gusta1 (restaurant), x3 = gusta3 (restaurant customer)	jbo	PLPNIOTKSJVIQKRNRPNKOOMROQNPPLPQQPMNQMPSNNOMMOKPRSLOJQSOLPOROMSQTJLOJRPNROMOQLNOKOMOMQKLOQNOUKTQOJRRNSNPMNLOPNOORLLPSOVMOOLNLOPONOPPQPNPJPMNNRPORNONQMQQMMONPOPQMMNMTONNLPMOKNNOTONMSPMNOPOONQQLSQNOSONNMQPLJNSQMQRPMQPJOPIQUOLOIQKONLOLNPNOOLPSRQKPPMLQPQSPKNNKQQNOMLNOQPUVPPOOMOOOIOPQONONQNQTRKPLMNOPNLMKLSOOOOQOPNQTPROOQNROQJMQONMMPOMQMLQQPSNNPROOQNLPSMOOOLOMLQOMLLMOOPQOLNONSPOMOPRNRRNM
tergusta	te+gusta:  restaurant customer:   x1 = gusta3 (restaurant customer), x2 = gusta2 (restaurant cuisine), x3 = gusta1 (restaurant)	jbo	NONNJNVLSLWIRMRMOPOLOOLROQMPQNORNPLNNNPSMNOMOPKRRRNNKRSONOORONSPTMKOKRPPQONPSLNQKLLONQLMPQNPTMROOJQQMRNPMNOMOOOORMJOONVNOOJOMOQONQNQSPMNLPMMNPONQONOOPOPNONNQOPPLOPMSOQOLQPPLNNORNOMQPLNPQPNMQQMRONNVOOOPQPLMNSPMQSROQOIPQIRSOMOKSMNNLMKPNONMKRRSOKMPKJQNQRNMLLJQSONOMOQTNVUOQRMONQOJOOQQLPORMRSPLOMOLPRNJMJKRPLMPRPOORSPOOQQLQOOILOOMMOONORNLQROPMNORNNPPLPSMOOMLPMMPONMMJQQOPOMNNNRONLOORMRSOM
selgutci	se+gutci:  length/width/height (in short units:   x1 = gutci2 (length/width/height (in short units)), x2 = gutci1 (cubit), x3 = gutci3 (cubit standard), x4 = gutci4 (sub-unit of cubits)	jbo	SONNMKLSMJPIONNOKTMQQMNPQNOSRMRPXPOMNOOPNNPQMPLPOQPQITTOMMRMPOPNRPKNJQLNPPMPQNNNLRPQORQQNORPONOPTLRPOSQOKOORPLPLNOQPQOVMRQNPMNOOLQMQMOMPLTJPQQPOPPMMQOPQRLOMOMPNNMROOPOPOPRMNLPQTMNPSJQNNRMSMPNONQKMOMKMPQLKMLOOJPPKNKQOMMJMOMPONQMNKPPQOQPPOKQSNKKMORONPRUMLNKJPSKLONOMNSSTPPPQONOPNMPPMONMNIRPQPLKIOOQOMJLLSPQOQRRNOPWPNLQQPROMMKNNSOLNOOPMNQMPPNMPONSPMJORMUPTMOPNRPPNJMLRQOQNORKOPPNLQQONPOL
tergutci	te+gutci:  cubit standard:   x1 = gutci3 (cubit standard), x2 = gutci2 (length/width/height (in short units)), x3 = gutci1 (cubit), x4 = gutci4 (sub-unit of cubits)	jbo	QQLNNKLRMKPHOPNNJTOROMMPROOQTNRQUPNMLPNQOOQPNQLQOOROJUUOONQNRPQLRPJNJRMQQOOPSMNPKRNNOQPROOSQONLOTLQNORPOLOOQMMPKNNPONNULRQOQNNOOMSJROOMNPTIPPPONNPLOQROQRNOKNNOMMNQOOOPOQPRMPLOPTMNPQKNNOTOPNONQMQJLPMILRPNMQLPMHQQLMKQNOOJNONPONSOMKPNNPOQPNLRROKJLNQMMNRTMPNKIQUMMPNPNQQQUNQQOPOPPNMOPONQNOJTNOPLLJPOSOKJMLQOONQQQPPPVPLNTRNSOMMJMMPNMOMQPMNRPMMMMNOOPNPJNSNUQRORRNQOQOKMMQQORNNOMOOPOKOQNNPPM
velgutci	ve+gutci:  sub-unit of cubits:   x1 = gutci4 (sub-unit of cubits), x2 = gutci2 (length/width/height (in short units)), x3 = gutci3 (cubit standard), x4 = gutci1 (cubit)	jbo	QPLLOKKRMLOHOPMPKVNSPMOPSPPQSNRPWPNLLRNPOOQPORLRQORPJTSOOMQMROQLROJPISOPOONQRMONLROONQPQONQPNNMPULROPRQNKQPRMLPKNPPNQOSKQRQPNMOOMQKROONPOUHOPPOPPOMMQPPQQMQKONONNNPPOPONRNQLOOOPSOPPPKONOTNOMPMQNPJMPMJLOQNLPLOOISQLMLQNMOJMPQPOMRNNLPOOOOPONMSRNKKMMRPMNRUMNNMKQTMMONONPSPTNQQMPNONNMQPMOQNMISOPRMMJQQSONJNLPNONPPQMNOVPNNTRMUOLMJMNPNNNMPOLNRONOMLOOOSNNJMUMVQTOQQNQPQNLMLPQORNNOMPOPMKOQNMPOM
selgutra	se+gutra:  has womb:   x1 = gutra2 (has womb), x2 = gutra1 (womb)	jbo	QPMQLMPONMTIOLQRNNNOQMPOPPKQSMROTPNOQQOPQLMOPOPPPSLMIUQOKONMOQPPSMONJSNOPPJSRNPMLOMNMRNMJOQNWOTPPOQNKSORKKJOLLOLQRPRQRUQOPPOOKMONOOPLOMQLSJKQPNROLMQOSMLQNRMONONNPPQRNLRLNOOOKPOQNNPRLPPMSMSQKOOPQKOQRJNOPPLMNNNLPOOOPOONOMPOJROKOKPNLRNMQQPRLQPONNQMPNMQPRRPNKNMOOMJLNLMPQVQMPRPNNOLLQPNKOPQMQOQLMPJPSLKLMMIQQQNOPQONPVOMPPOPQOMNNOPONLNPLRNNQOMSNOOMNRPOOOUNRNSMLNPQSPTKPOQPQOJLQMQQQMNQSSOQTM
selzme	se+guzme:  melon species:   x1 = guzme2 (melon species), x2 = guzme1 (melon)	jbo	NOPOOPTNNMUIOONQMRLMSPOPONNPRJPQRRNMPLOOSPQLNNOOPSONIQUOIONNRONOPNNOMPOOKNIWSMONLOONLNOPMRQOWMPQRMRQORQONMLMMMQNPROQTRRNQOMMKNLONNPNOOKRKMHPOQLQPMOOLPMNNNQLONONOUPPSNQNPNNPPKOPSSJOPQMPNRNQOPONSRJNORNOPORLNNORJSNMGNNPPOLPONMONONONNSKNPNNRLQPRRKOJSMOOQPNJRMKNPOORLNONRRVUQOONPOPMNPONOLPNKPLRLNQNLTQNJMNNRNMQRPQOOPVQQMQNTSOOKMOQTLOPPNPLPQOMRNNLOKQONNMQQPPNMOMQRTONOMOPNRLLPRNPNKKOOPOQPRO
seljabre	se+jabre:  braked:   x1 = jabre2 (braked), x2 = jabre1 (brake), x3 = jabre3 (braking device)	jbo	NOPNMNRROLTKROOQKSNMROOOSQNQSMPQRPOKNOMONKOMQQNOSQMPMRTOMPQPRPQOSMONLSMONKNNRPPNJOPPPNMOPSMQTLNRQQRQNUMQLNLNNMQKNOMQNRSPPNNQOMNOOOPQJMKSIQNNNNRNOJNQRNNRQPPMRPMMOOPPPOLONLNOOIPQSRLQSKMPOTMRJNOQPRNLQPIMOROKLMMLIOOOONPLMKKPQONOMQONKNTKMQPNNMMRQNKQOTRNOQTQNQLMPPLOOLNKOPQTOONTQNQPLPMOOMNONOUOSKMOLKSQPLMJKQOOOOQSLKPURNNTQROOOLMNROLLMMQQNNQOPRLNNLMRPMKKTMNPTONOPRRROMKOPPNMMOQLPOMPPMQONRTN
terjabre	te+jabre:  braking device:   x1 = jabre3 (braking device), x2 = jabre2 (braked), x3 = jabre1 (brake)	jbo	MPPNOOSSOMTKSQOOKSONRPONQQMPSMPQOOMJMPMONKOLSRNPRPNPNTUONPPQRPQOSNOMKTNOOKONSPPOJNONQNNPQSMRTLLOQPPPNSNRMOKNNNQKMOMQMRSOPNMPQMOOMPNSLMLSKPNOMMSNNKNQQPNQQPPMPQLMNPOOONNOMLOPOHOOTQLPSJNQPUNQIMPQOQMKROKMQQPMNMMKIOPPONPLNLLQPOOONSPNKNRJMPPNMMLRRLLPNTRMMRSQPPKKQPMNPLNLQOPSMOPSROSQLPMOQLOPOOUOPJMPNKSSQJMKKOPMNOPRLKPSSNNVPPNOPLKNQNMLMMQRPOQPOPKNOLMPPNJKTMMQRPONORRROLJPPQNMMPPMPONPPLPONRTN
selja'i	se+jadni:  adorned:   x1 = jadni2 (adorned), x2 = jadni1 (adorn)	jbo	MRQRMLTONLSJSLQQMRONQMNOSPNPQNQOQPMNOONONLLOOONQOTMMKQRRKNOQPPRPSJPNKPQPNMLRMLQMNQPPPQLKMTPRRMPNRSQQMTLQKJLKNLPLNMLTQQUOQONONMNOPQNSJNKPHOMLNRPOSKMOQPOROOOPOQQLPQPQPNNNLNPQMNQRQOLRQNLQPPMSNPNOPRPMPPMRQRNLOLOMHPOONNQPOOPPQIMOLOMOLOQMMOOPNMPRPPMPOQQNPOTPMPMKNQNOPKNPKNQWQLKTRLNPMMNPLPPQQNRPQJQNJMRNMMNJNTQOOPOOPMPVONNRPOPOMINMROMLOMNUMKPNOSKNNOKOPONMTPPOQLNNNOPQQJPQOPQLNMPKPMLMTRTONPQM
seljakne	se+jakne:  expelled by rocket:   x1 = jakne2 (expelled by rocket), x2 = jakne1 (rocket), x3 = jakne3 (payload [of a rocket])	jbo	LPONLNSOQLQLUNPPLSLJRNOPSPNQPMPLMOOOLNNPNLNPOOKLPTMMKTSMKROONORNQJMOOSMOOMLPPRQMOKLPMRMNOUMOWPPOPNPRMTOPMNMMNKNLPNMUPPTNPMPPMMMONRPRILNRIMKMNPNORNNQRPMQPPMMNPOPNPQOPNMOLKMPOMOOTOMQTKPNQRNRMNNRRQKMOQMPPPPKKLLNMLOONOQKOPKPONMOOUJRNOULNSNNPMPPQOMOOPMPPPTQKSMNPPMNQPOKMNRWONOTPMOOKOORLOQQOKTPQJOQMMSPPMOKNTNONPQPPPQVOKQSNQPOOKLPQQLNMMMQONOOOTMMMOMNOOMOUNPNPKNQPQQQPNPPOQNKMMRKMOPOOOQNPQQM
terjakne	te+jakne:  payload [of a rocket]:   x1 = jakne3 (payload [of a rocket]), x2 = jakne2 (expelled by rocket), x3 = jakne1 (rocket)	jbo	KQMNMMTPQLQKUPPPKSMJRNOOSOOPPNOMKONPKONPNMNPPPKMPROMKUTMLQNOOPSNSLLOORMPOMNOQRPONJKPNRLOPTMQUQOMPNNQNRPQNNMLMLOLPNKTMPTMQMOQNNNOLSOTJLNQJNJOMPNOPONQRRLPPPNMMPOPMPQNPOMNMKNQOKONTNMQRKPNRRNQMNOSQPKLQQMPROQLNLLMMMOQMOPKQQJPMMMOPVMQNOSJORNMPMOPQMNNNOKOOQRQNRLMQQMOTPPLONRUNOQSQMRNJNNSNOSQPJUONJNQNMTQQLOJMSONNPQPPRQTOKQUOQPOPKLNOPMNOLNQONOQMRMMOOLLOPLOUOOPPLOQPQPQOOOQORMLMNQMMOOOOMRMPRRM
selja'e	se+jalge:  have result:   x1 = jalge2 (have result), x2 = jalge1 (result)	jbo	NQPQMPSRNKRKTOQRNROIQNNOSMLPQMPPQPOLNNMONOPNONNORSMPLMTPKOMPNMPNRMQQNPLPMKMPPNRRJOONQOPOOSOQSOQPQRUQNVPNLNNMOLQMROOSTSQMQOOPNMLONNQQGOLRHSLNQMNPRLNQQOOOQNPONOPLLQQORQPNMPOPQINOTPKPPMRQOSMTKPKPRQNJPONNPQPIMMOMLONOOPPMMMKPPMPOMQMKMNVILROMOMOQPMIQNROOPPSPLPMLMOMLOKMONQQSRPMRRKNRJNONLONQPNSPTMNPNMROOLONJROQQOQQOMRTQMNPNPPOMJOPOSJNMNLSMMROOQOLOMLQONOOUOONQMOJRRPQPONRPORLPMRKONKOQNQOMPRM
seljalna	se+jalna:  starch source :   x1 = jalna2 (starch source ), x2 = jalna1 (starch), x3 = jalna3 (starch composition)	jbo	MNNONNRNPMRIRLOPNSMKRPNQUQNORMPPRNOOMNORLOOLPOMLSSLNIRUOLPMRQQONULONLPIOOMNQTNQLMOQRMQNPPSPPQNRRQNVQNSQNLNMPMOQLNMMSTOQMRNPQLOMORRPNJNLQIOLONNOOPLNPOPPPOOQMLOQONQQPPRPNOPNNPLNQTQMRQPOROROSKQOQRSKLNOLNQROJKOMMKPPNJQPOOLNNQKNONPMONNPINTOOMIPOQRKPRRPPQNSPNRMLPNKNNOOOOQQTQQMTOMPLMLOSNQPOONSMRKNONLTOQOPJKRONQQSPPPQUNMNSPPSOQHLNNQONOMNTONNNQRKNPOMOPMMOQNOQQJLNPPNQMLNONNNMONRMNMLONOSMPPRM
terjalna	te+jalna:  starch composition:   x1 = jalna3 (starch composition), x2 = jalna2 (starch source ), x3 = jalna1 (starch)	jbo	LOMNONSOPMRIRNOONRMLQPOPUQNNQNOQNNMOLNOQLOPLPOMMQRMMJTVPMQMSQROMUMNMMPIPPLOQVMQMMNPQMQNOQSPRPOPPQNTPNQQNMONPLPQKNMKRPNPMRNOQLPNOQUOPLNMPKNLOMMONOMMPNSNOOOQLKOQOMRQPOQQMPPNOPKMQTOMRPQNRORORKPOSQQKLNOMMTQPKNPMMJPQOJRPOPNMOQLOOPQNONNMGOSOOLHOMRRKNRSNPONRPORMJQPMNPOOQPOQSOROSPMRLMKOSPPQPQOUKPKNQPMTPQOQKKQOLQQSOPPRSOLOTPOSOQGLMMPPPPMNTPNNNOPKPOPMLNNLOQNNROJMOPNMQMLOONNNMONPNMLKONNTKPPSM
seljalra	se+jalra:  cockroach species:   x1 = jalra2 (cockroach species), x2 = jalra1 (cockroach)	jbo	ONMPMOPOQLUIQONSNPMNRRPPOQKPPJNQSNQMLOSQONPLLSNQUQMMIRTMJLNRQQPOSLNNNPNQMPKROOPKKLPOQPNNLSPRWLQPRMPSNRNMKLMNNLOLPONOURSMPMOLQNHOTPMPLLKPKPLMMNORRMPPLPRPPOPIMPRNLRQNRLMPNMNPQMONTQLQULMNPRMSMPNMTMKLOONMSQPMLMPPMOQMLQQKPNMQPMPOKPLQMPOKNPOPPKRMSNNONSPNRQRRPONNQLMPOKQQOPRRQMQSQNPRLLSOMPOOMNPPPMNMNNPNNKOMORQPNRPNQLOSPNOPPOQORLMNTOLMPPPROOQNORMOMOLMNKNKSPORPILLNPRNQMKPOPQNKJQOSNLOTNTPOMQN
seljma	se+jamfu:  has foot:   x1 = jamfu2 (has foot), x2 = jamfu1 (foot)	jbo	NPPNLOROPORKTOPOMSMMRPQPNOLQRLPSQPOMQOONMJOPPOLPPSLNMQVPMOONPOPNSHMOKUNLNNMPNNQPMNPMMPNONQOQWMRNOOPQMTPOOMNQQORKOOLRORTOPLOPMLMONPPPNOKOHSINPOLNONLOSQONRPOMRPPLKLQNTNKOLLOLQKOPRPPRTNQNOQMUMOONQQNNPPOLRSNKKOOMLNPNONOMLMIOPMNOLSOPLOVIQPOOPLOSOMJSMNORNQWQKQOMMNNLJPOOPQRTQOMPNLNQKONNLQLSRNRSTOLNKOPQNNMQNPOPOONOOPQVQONQOOOOLMPNPSOLNMLQOOQQNRNNMOOQNKMNQOSOPNLMRQPRMMLMMPOMLNRONMQOORSRNOSL
seljamna	se+jamna:  enemy [in war]:   x1 = jamna2 (enemy [in war]), x2 = jamna1 (war), x3 = jamna3 (in contention)	jbo	MPLMKOTKOPQKSMOPKRNMOQOPOQOQNMQQQQOMMONOMMPNNLKORRMMJQVNNPQMNORNTIPTJSONMMLPQORNNMLOONNOSRNRXOTQQOQRPPMNNMPMMMPLOMOSSSSPPMLONOLOOKOQNONNHOGPOMNMMOLQQOMNQPNLSOPOLMSPPQKOMNMNPILRQQNNQNMQNRMSNNPPRSLPOONLRQPLNPLLKNOOMNPJMPKPOOMONRRMNNSIMQNPNLPQROKPONOOQOVQOOOLLONOQMPLORPXPOOTNLOOLNNPLPOSPMQRRLLPMNPOLLOOJRNROQNRMRUXOOMPRNMOMNPQNTNLOQNOONOPNPMMNOLQOPMMQPROOLMNRPQOKOONOONLNLSMNNPPQSRSNNQO
terjamna	te+jamna:  in contention:   x1 = jamna3 (in contention), x2 = jamna2 (enemy [in war]), x3 = jamna1 (war)	jbo	MQJNKOULPQQLSOOOKPOMPQNOOQNPONOQOPMNLPNOMNPNPNJQPPONLRXOOPPNPORNUKPUJTPONLNQROPONLLNOMNPTRNSVOQPQOQQQPMNOMOLLNPKPNLSPSROPNKPOOLOMLMQNONLJNGROMOMLOLPPRKLQQOJQOOOLNSPPPNONMNOQJMQOQPNQNNQOROTNNPPPSJOQONLRORMQOLKKMQPKNPJNQKQOONOOSSNONQHNOOPNMQOSOKOPKNNOOUNRONIMPQOSMONPPOXORQRNLRPMOMQNOOTQLRQQMKPNPPQLKOQIPPOMRPQMRUUONORRNMOKMPQNROLPQPOONPRMMLPNNKPMPNPPNQONMMPPPQOIONPPOMLLKPONNPPQQPROOQP
seljanbe	se+janbe:  chime:   x1 = janbe2 (chime), x2 = janbe1 (ring)	jbo	PPOONORNONRLTJQSKQNNQNNORSOQQKSRPQLNOPOPPMRMLOKRRNMPJSPUJIQOPPRONMMNNQOPLOMSONRMHMQPOPNLOQNQTOPNRPSSPTMQPONMMJQLRMOQRRRMQMLPMNNONORMJOKQLMJNMNMPSLONPONQSQRKRPRPQTPRQPOQPNNMOMSTUPMOPPOONRPPKPOOQQNKOOMPPRPLLLOQNQLNPKQLKNNOPONONOOSQMRMNPMNQJQOQRLRLUNNQORPMNNONMNNPMQNNQRSSMPQNLMNMNPQMPNOMOUPRNLOLNRPLLPOIPKPMNQQLMPVMQMOOQSOMKMLSQNLNNOSKKOPOONKQPPPOMOPQNPNPLMLRQSNQQJPPOPLMJOOMLJROQQPKPQN
seljanco	se+janco:  joined at shoulder:   x1 = janco2 (joined at shoulder), x2 = janco1 (shoulder), x3 = janco3 (has shoulder)	jbo	OOMOPNRNQKQKROPOLRMQNMNORPOPPKNOQONMPNMOOKSOORJQPSNNJTRTFMMNPNOORLPNLQNPNNPSQNRMKPKPMRNMLRPQSLQQRTQQQTQNMOLMONQMPMMPROSMPNOOMMOOLOQPKNLPIOJOSOMPTNMOPQPOPPMLQPSPMTORSMPQOQOLNKPSSQNNPMNOMSMSOPLRQPNLQNLMQUOLMOSOMQOPLLOMJOMNPPOOPOOMPLTLOQRMNMROQMLRPQPQQQTMMPLMPOLMMOQMQQQTSMNQNNMQLNOQMMPMNORQSOLLINPOMJLKKQOQLORTMPRVNNPPNRQOMMMOOTLOMSPQMJPQKRLKNNMPQMMQRNPMPLNLOOPQPPMQSNOMMHQLMNMQNRPSNQOP
terjanco	te+janco:  has shoulder:   x1 = janco3 (has shoulder), x2 = janco2 (joined at shoulder), x3 = janco1 (shoulder)	jbo	OQMPQNSOQMRJRRONLSMSNMNOSQOOQLMONNMMNPMPOLSOPSJRQPONIVSSGMMPQOOOSNONKRNROMQTTNQOKOIPMSNMNQORQMPOQSNPQRQOMPMLLOQMPMKPOORLQOMOMLPOLQOQLNLOMNJPROMPROMONTONPQNLOPSPLTNRQLSRPRPMOIPQRPONNLOPNTNROOMSPPLLSMLLSTQNOOSNLRPRLMNLKQMOMPOOQPPLPLQKPORKLMRORLLPOQNQOPSMOPLJQPMMPORNRPRRQNPNONOQLNOPPLQNONSNQQJKJNPPMHKLKPONLNRSMQQTONRQOQQONLMNMSNONRPSNLQRJPKLNMMNOMMPROQMNLOLPNPQQPMRTMOMLIPMNNLPNPPRNRQQ
seljanli	se+janli:  collided with:   x1 = janli2 (collided with), x2 = janli1 (collide)	jbo	OQPQNLNQOKRLOOOPMPKRNMMOQOORRKROOOMMQNNLOLSMPNLPQPINMNRQJLPNPOPOPMPOMUNQONRQOOONMNMONPNOQOOQVOQQPOSQMVOROOLLLLSJSMNRSSPLOKMOPKNONPMNLMMQJNKOPLOOTMJOROMOPSSNQOQOOUPSLNOQKPNNPJOTUPLQONOMORMULMOOORLMPNMOQQOLMLQPNOPOKKNPLONOQOQOOQMSNNRLLQOQPOPMUOMPMTONTQTNLROMOMPQOKQKPQRUTMPUQLMPNLPQRNLLMMTQQMLOMNQSOKKOKPPQMORQMONTNNOONQQOOLKOORKOMQMRMNNOOOKLPKOPNMMPQJPLONMONRRNQROQQQOKMKOMNONQNRPSOPQO
seljansu	se+jansu:  represented by diplomat:   x1 = jansu2 (represented by diplomat), x2 = jansu1 (diplomat), x3 = jansu3 (diplomat posting), x4 = jansu4 (diplomat function )	jbo	OOOONNOMPNPJQPPNKQNLOKLORPNQSNRLQOOPOLORPLRPNONPOPMPKSQOJNNNONQOQPMONQKQOOOPONRMPPKQNOOLQQOPTMLPQSSQOTNNKNJOMNMMNLOPSOPMPMNMLLPOORQNLOPQGPKQPOKPSPNOROPRTRQMQOQQMQROQMQPNQQQPMQQXQMNONOOMRMPMOLOROKMQONQNRMMMMOOIQOQNMPQNNOMQNNOMOKPMMSOOSOMRNQQQOKRNTNPSPVMMRMNMQLLONQNOQRSRNLTOPKOKNOPJPQLNLTNRLLLNMTNNJNKKRPUMRTRNQRVQNOPPPOONKKNLRKLMOPPLIPOPQLKNOLRQPONRLQMRLMOPPQQROLRQROLMKNJLPOOOPQQLRPN
terjansu	te+jansu:  diplomat posting:   x1 = jansu3 (diplomat posting), x2 = jansu2 (represented by diplomat), x3 = jansu1 (diplomat), x4 = jansu4 (diplomat function )	jbo	MQNOOMONQOQJRQPMJPNLPKKOSOMQSOQLNONPNMORPMROPOMPNNNOKTQOJNONONQOSPLOMRKRPOQPQMQNQNJRNOOMRQOPRNJOPSQPPRNNKNKMMOMMNLMQQNPMQMMNLKROOSPOOPPOIPKQPNJORQNPQQOQTRPMPOPQLRRNPLSQORRROKQQXPNONMOONRONMOLORNKNRONQOPNNPNPNGPOROMOPOONMPNNOMRLOMMQOQRONQOPPQOKPNTLQRPVMOQMMMSMLQNROQOQSQOMSPPLOJMMOKORLNLULQLLLPMTONJOLJRQSKRTRNQRUQMPRQOOOOJKNKQLLNNQPNHQPOOKKMOKPOPNORLPNPMOPQOQRRPKSPSPLNKNKJPOOOOQQLTQN
veljansu	ve+jansu:  diplomat function :   x1 = jansu4 (diplomat function ), x2 = jansu2 (represented by diplomat), x3 = jansu3 (diplomat posting), x4 = jansu1 (diplomat)	jbo	NPNMONNOOOPKQPOOJQOLPJLMTPOPSNRLONNQMONQQMSOPPNQPNNOKRPOKMOMONQNRPMPMRLQNNOQQORMQOKQNONLRQPPRMKNQSRQORONKOKMLMLMOMNPRNOKPNNMLKPONQPPNPPQHQJPOMJQTPNPSNPQSRSMQOPQMQQOPMROPPQQQMPRVQNNLNONMSNNMOKORNKMQOORNQNNOMOMHSPSOMPPNNNMQPNOMQMQNNROPRNLQPRPPOKQMTOQRQWNLQNOMRMLQNQPPQPRPOMQPOLNJNOPKQSMMKUMQMLMNOVPNLOMKPPTLQURLPSVQOORQPPONJJNLPKMLMOPMIPPQQKJNPLQOOONTLQNRMNPQPRQRQKRPROKMLNLMONNNOQQKRPN
