@rowCount	6194
immaculate	immaculate	en
immagazinage	warehousing, storing up	en
immagazinar	to warehouse, store up	en
immaliar	to enmesh	en
immaneabile	unmanageable	en
immanente	immanent	en
immanentia	immanence	en
immaner	to stay within, be immanent	en
immanicar	to fix a handle to	en
immarcescibile	not withering, not wilting, not liable to wither or wilt	en
immaterial	immaterial, not material	en
immaterialitate	immateriality	en
immatur	unripe, immature	en
immaturitate	immaturity	en
immediamente sub	directly under, directly beneath	en
immediate	immediate	en
immedicabile	immedicable	en
immemorabile	immemorial	en
immemorial	immemorial	en
immense	immense	en
immensitate	immensity	en
immensurabile	immeasurable, immensurable	en
immensurabilitate	immeasurability, immensurability	en
immentionabile	unmentionable	en
immerger	to immerse, immerge, dip, plunge	en
immersion	immersion, dipping, plunging	en
immesurabile	immeasurable, immensurable	en
immesurabilitate	immeasurability, immensurability	en
immigrante	immigrant	en
immigrar	to immigrate	en
immigration	immigration, act of immigrating	en
immigrato	immigrant	en
imminente	imminent	en
imminentia	imminence	en
immiscer	to commingle, mix up, immix	en
immixtion	immixture	en
immobile	immovable, immobile; piece of real property	en
immobiles	real estate, realty, immovables	en
immobilisar	to immobilize	en
immobilisation	immobilization	en
immobilitate	immobility	en
immoderate	immoderate	en
immoderatessa	immoderateness	en
immoderation	immoderation	en
immodeste	immodest, presumptuous, forward, indecent, improper	en
immodestia	immodesty, presumptuousness, forwardness, indelicacy	en
immolar	to immolate	en
immolation	immolation	en
immolator	immolator	en
immoral	immoral, unethical	en
immoralismo	immoralism	en
immoralista	immoralist	en
immoralitate	immorality	en
immortal	immortal	en
immortalisar	to immortalize	en
immortalitate	immortality	en
immortificate	unmortified	en
immortification	immortification	en
immun	exempt, immune	en
immunde	unclean, dirty, filthy, ceremonially unclean	en
immunditia	dirt, filth, impurity	en
immunditias	refuse, garbage	en
immunisar	to immunize	en
immunisation	immunization	en
immunitate	immunity, exemption, resistance to disease, poison	en
immutabile	immutable	en
immutabilitate	immutability	en
impaccar	to pack (up)	en
impaccator	packer	en
impacchettar	to pack (up), wrap (up)	en
impaction	impaction	en
impacto	impact	en
impagabile	priceless	en
impalamento	impalement	en
impalar	to impale, pierce with a pointed stake	en
impaleage	packing (in straw)	en
impalear	to pack (in straw), thatch	en
impalpabile	impalpable	en
impalpabilitate	impalpability	en
impaludar	to turn or transform into a marsh	en
impaludar se	to become marshy	en
impanar	to impane	en
impanation	impanation	en
impardonabile	unpardonable	en
impare	odd, uneven	en
imparisyllabe	imparisyllabic	en
imparisyllabo	imparisyllabic	en
imparitate	imparity, inequality, oddness	en
impartial	impartial	en
impartialitate	impartiality	en
impartibile	indivisible	en
impartir	to impart, bestow, grant, concede	en
impartitor	imparter	en
impasse	impasse, dead end, deadlock	en
impassibile	impassible, impassive	en
impassibilitate	impassibility, impassivity	en
impastar	to knead, make (into) dough, enclose in dough	en
impatientar	to make impatient	en
impatientar se	to grow impatient	en
impatiente	impatient	en
impatientia	impatience	en
impavide	fearless	en
impeccabile	impeccabile	en
impeccabilitate	impeccability	en
impecuniose	impecunious	en
impedimento	impeding, impediment, hindrance	en
impedir	to impede, hinder	en
impeditive	impeding, impeditive	en
impejorar	to worsen	en
impellente	impellent	en
impeller	to impel	en
impenetrabile	impenetrable	en
impenetrabilitate	impenetrability	en
impenitente	unrepentant, impenitent	en
impenitentia	impenitence	en
imperar	to govern, rule over	en
imperative	imperative	en
imperativo	imperative	en
imperativo categoric	categorical imperative	en
imperator	emperor	en
imperatrice	empress	en
imperceptibile	imperceptible	en
imperceptibilitate	imperceptibility	en
imperdibile	unlosable	en
imperfecte	imperfect	en
imperfectibile	imperfectible	en
imperfectibilitate	imperfectibility	en
imperfection	imperfection	en
imperfecto	imperfect	en
imperforabile	imperforable, that cannot be perforated	en
imperforate	imperforate, imperforated	en
imperforation	imperforation	en
imperial	imperial; top deck (of a bus)	en
imperialismo	imperialism	en
imperialismo cultural	cultural imperialism	en
imperialista	imperialist	en
imperibile	imperishable	en
impericular	to imperil	en
imperio	empire	en
Imperio Ottoman	Ottoman Empire	en
Imperio Roman	Roman Empire	en
imperiose	imperious, domineering, imperative	en
impermabile	raincoat; impermeable, waterproof	en
impermeabile	raincoat	en
impermeabilitate	impermeability	en
impermutabile	impermutable	en
impermutabilitate	impermutability	en
impersonal	impersonal	en
impertinente	impertinent, irrelevant, impudent	en
impertinentia	impertinence, irrelevance, impudence	en
imperturbabile	imperturbable	en
imperturbabilitate	imperturbability	en
impervie	impassable, impervious	en
impeto	impetus	en
impetrar	to impetrate, obtain by request or entreaty	en
impetration	impetration	en
impetrative	impetrative	en
impetuose	impetuous	en
impetuositate	impetuosity	en
impie	impious	en
impietate	impiety	en
impietose	pitiless	en
impinger	to strike, collide with	en
implacabile	implacable	en
implacabilitate	implacability	en
implaciamento	location, site, emplacement	en
implaciar	to put into position, emplace	en
implantar	to implant	en
implantation	implantation	en
impler	to fill, make full	en
impletion	impletion	en
implicar	to implicate, involve	en
implication	implication, condition of being implicated	en
implicative	implicative	en
implicite	implicit	en
implorabile	open to entreaty	en
implorar	to implore, beseech	en
imploration	entreaty, imploration	en
implorator	implorer	en
implumar	to plume, adorn with plumes	en
impluvio	impluvium	en
impolite	unpolished, crude, impolite, rude	en
impolitessa	impoliteness	en
impolitic	impolitic	en
imponderabile	imponderable	en
imponderabiles	imponderables	en
imponderabilitate	imponderability	en
imponente	imposing, impressive	en
imponer	to lay (up)on, impose, impose, practice tricks or deception	en
imponer le manos	to impose, lay on, hands	en
imponer un contribution	to impose a tax	en
imponer un mulcta	to impose a fine	en
impopular	unpopular	en
impopularitate	unpopularity	en
importabile	importable	en
importante	important	en
importantia	importance	en
importar	to import, be important, matter	en
importation	importation, import	en
importator	importer	en
importun	importune, importunate	en
importunar	to importune	en
importunitate	importunity	en
imposition	laying (up) on, imposition	en
impossibile	impossible	en
impossibilitate	impossibility	en
impossibilitate absolute	compeltely impossible	en
imposta	impost	en
imposto	tax, duty, impost	en
impostor	swindler, cheat, impostor	en
impostura	imposture	en
impotente	impotent	en
impotentia	impotence	en
impovrimento	impoverishment	en
impovrir	to impoverish	en
impracticabile	impracticable	en
impracticabilitate	impracticability	en
imprecar	to imprecate	en
imprecation	imprecation	en
imprecator	imprecator	en
imprecatori	imprecatory	en
imprecise	lacking in precision	en
imprecision	lack of precision	en
impregnabile	(apt or liable) to be impregnated	en
impregnar	to impregnate, make pregnant, permeate, imbue	en
impregnation	impregnation	en
impremeditate	unpremeditated	en
imprendibile	impregnable	en
imprendibilitate	impregnability	en
impresario	impresario	en
imprescriptibile	imprescriptible, not subject to prescription	en
imprescriptibilitate	imprescriptibility	en
impression	impression	en
impression in colores	color printing	en
impressionabile	impressionable	en
impressionabilitate	impressionability	en
impressionar	to impress, affect, move	en
impressionismo	impressionism	en
impressionista	impressionist	en
impressive	impressive	en
impressor alphanumeric	alphanumeric printer	en
imprevidente	improvident	en
imprevidentia	improvidence	en
imprevisibile	unforeseeable	en
impreviste	unforeseen, unexpected	en
imprimatur	imprimatur	en
imprime-a-demanda	print on demand	en
imprimer	to impart, communicate, impress, imprint, print	en
imprimibile	printable	en
imprimitor alphanumeric	alphanumeric printer	en
imprisionamento	imprisonment	en
imprisionar	to imprison, put in prison	en
improbabile	improbable	en
improbabilitate	improbability	en
improbe	dishonest, lacking probity	en
improbitate	dishonesty, improbity	en
improductive	unproductive	en
impromptu	impromptu	en
impronunciabile	unpronounceable	en
improprie	improper, incorrect, wrong, unsuitable, unseemly	en
improprietate	impropriety, improper use of a word, expression	en
improvisar	to improvise	en
improvisation	improvisation	en
improvisator	improviser	en
improvise	unforeseen, unexpected	en
imprudente	imprudent	en
imprudentia	imprudence	en
impubere	who has not arrived at puberty	en
impublicabile	unpublishable	en
impudente	impudent	en
impudentia	impudence	en
impudic	lewd, immodest	en
impugnar	to clutch, grasp, seize, impugn	en
impugnation	impugning	en
impulsion	impulsion	en
impulsive	impulsive	en
impulsivitate	impulsiveness	en
impulso	impulse	en
impulsor	impeller	en
impun	with impunity	en
impunctual	not punctilious, inexact, unpunctual	en
impunctualitate	lack of punctiliousness, inexactness, unpunctuality	en
impunibile	impunible	en
impunitate	impunity	en
impunite	unpunished	en
impur	impure	en
impuressa	impureness	en
impuritate	impurity	en
imputabile	imputable	en
imputabilitate	imputability	en
imputar	to impute	en
imputation	imputation	en
imputrescibile	imputrescible	en
imputrescibilitate	imputrescibility	en
in	in, into	en
in absentia de	in the absence of	en
in abundantia	in abundance	en
in alte grado	to a great extent,  a large degree	en
in alte mar	on high seas	en
in alte voce	aloud, in a loud voice	en
in altere parolas	in other words	en
in alto	upward(s), up, upstairs, (up) on top	en
in altre tempores	at another time, on another occasion	en
in annos par	in even-numbered years	en
in apposition	in apposition	en
in articulo mortis	in articulo mortis, at the point of death	en
in attendentia de	waiting for	en
in avantia	in advance, beforehand	en
in basso	down, below, downstairs, down, downward, downstairs	en
in battalia	in battle array	en
in blanco	(in) blank	en
in bloco	in block	en
in bon humor	in a good mood	en
in carne e osso	in the flesh	en
in caso de necessitate	in case of necessity, need, emergency	en
in caso que	in case	en
in cerca de	in search of	en
in cetere partes de	in certain parts of	en
in commemoration de	in commemoration of	en
in commun	in common	en
in confidentia	in confidence	en
in connexion con	in connection with	en
in consequentia	as a result, in consequence, accordingly, therefore	en
in consequentia de	in consequence of	en
in conserva	canned, preserved	en
in consideration de	in consideration of, on account of	en
in contacto	in contact, in touch	en
in corpore	in a body all together	en
in corte grado	to a certain extent	en
in cruce	crosswise	en
in debite forma	in due form	en
in defensa de	in defense of	en
in deposito	in trust	en
in despecto de	in spite of, despite	en
in detalio	in detail, fully	en
in disordine	in disorder, disorderly	en
in domo de	at the house of	en
in effecto	in effect, in fact, indeed	en
in effigie	in effigy	en
in embryon	in embryo	en
in expectation de	in expectation of	en
in extremis	in extremis	en
in favor de	on behalf of, in favor of	en
in fin	in conclusion, in short, in closing	en
in flagrante delicto	in the act	en
in flor	in flower	en
in folio	in folio	en
in forma numeric	in numerical form	en
in forma succincte	succintly	en
in fundo	basically	en
in general	in general	en
in grado que	to the extent that	en
in grande	on a large scale	en
in grande parte	for the most part	en
in grosso	at wholesale	en
in herba	in the blade, green	en
in honor de	in honor of	en
in ille dies	in those days	en
in ille momento	at that moment	en
in infra	below	en
in iste caso	in this case	en
in iste modo	in this way	en
in iste momento	at this moment, right now, immediately	en
in iste tempore	nowadays	en
in judicio	on trial, for trial	en
in lacrimas	in tears	en
in laude de	in praise of	en
in le annos 1990	in the 1990s	en
in le annos sequente	in the coming years	en
in le annos subsequente	in the following years	en
in le calor de un discussion	in the heat of an argument	en
in le curso de	in the course of	en
in le dies ille	in those days	en
in le etate de vinti annos	at twenty years of age	en
in le fundo	basically, fundamentally, at bottom	en
in le futuro	in the future	en
in le gusto de Vermeer	in the manner of Vermeer	en
in le initio de	at the beginning of	en
in le interesse de un persona	in or to somebody’s interest	en
in le interim	in the interim	en
in le medio del nocte	in the middle of the night	en
in le mesme maniera	in the same way	en
in le mesme modo	in the same way	en
in le nomine de deo	in the name of god, in god’s name	en
in le nomine del lege	in the name of the law	en
in le perspective curte	in the short run	en
in le perspective longe	in the long run	en
in le prime persona	in the first person	en
in le principio	in the beginning	en
in le processo de	in the process of	en
in le profunde de su corde	in the depths of his heart	en
in le proximitate de	near, in the proximity or vicinity of	en
in le sino del familia	in the bosom of the family	en
in le sudor de su fronte	by the sweat of one’s brow	en
in le sulco de	in the wake of	en
in le supreme grado	in the highest degree	en
in le tempore proxime	in the near future	en
in le ultime analyse	in the last analysis, all things considered	en
in le ultime tempore	recently	en
in le vicinitate de	in the vicinity of	en
in le vive	to the quick	en
in linea	in line, in alignment	en
in linea directe	in direct line	en
in loco de	in lieu of, instead of, as opposed to, in place of	en
in loco de ille	in his place, instead of him	en
in manicas de camisa	in shirt sleeves	en
in massa	in a body	en
in medias res	in medias res	en
in memoria de	in memory of	en
in menses recente	in recent months	en
in mesme tempore	at the same time	en
in mesme tempore que	at the same time as	en
in mi etate	at my age	en
In mi opinion vos ha ration	In my opinion you’re right	en
in miniatura	in miniature	en
in minor grade	to a lesser extent	en
in modo	... -ly	en
in modo special	especially	en
in multe casos	in many cases	en
in multe tal casos	in many such cases	en
in nomine de	in the name of, on behalf of	en
in nulle caso	in no case	en
in nulle parte	nowhere	en
in omne caso	in any case	en
in omne loco	everywhere	en
in omne respectos	in all respects, in every respect	en
in parentheses	in parentheses	en
in parte	partly, in part, partially	en
in particular	in particular, particularly	en
in pauc	shortly, before long	en
in pauc parolas	in short, in brief, in a few words	en
in pede	standing, on one’s feet	en
in persona	in person	en
in plen mar	on the high seas	en
in plen nocte	in the middle of the night	en
in plure varie modos	in many different ways	en
in plus	furthermore, in addition, also, moreover	en
in plus ample senso	in a broader sense	en
in poc de pedes ab me	a few feet away from me	en
in poc dies	in a few days	en
in poc tempore	in a short period of time	en
in poco	shortly, before long	en
in preparation	in preparation	en
in presentia de	in the presence of	en
in prime loco	first, in the first place	en
in principio	in principle, as a rule	en
in privato	in private	en
in qual grado	to what extent	en
in qual maniera	in what way, how	en
in qual scopo	for what purpose	en
in qualitate de	in the quality, capacity of	en
in qualque modo	in some way	en
in quasi nulle tempore	in almost no time	en
in radio	on the radio	en
in re	about, concerning, regarding, with regards to	en
in realitate	in reality	en
in recompensa de	as a reward, in return, for	en
in reguardar retro a	in looking back at	en
in relievo	in relief	en
in reposo	at rest, in repose	en
in retardo	late, behindhand	en
in retorno	in return	en
in rhythmo accelerate	at an accelerate pace, rate, tempo, rhythm	en
in secreto	in secret or secrecy	en
in senso antihorari	counterclockwise	en
in senso inverse	in the opposite direction	en
in serie	in series	en
in situ	in situ	en
in specie	in specie	en
in su elemento	in one’s element	en
in su precipitation	in his haste	en
in su totalitate	in its entirety	en
in substantia	in substance	en
in summa	in short	en
in surplus	left over, extra	en
in tal casos	in such cases	en
in tanto que	inasmuch as, insofar as	en
in television	on television	en
in toto	entirely, wholly, in toto, in sum, in total, in all, altogether	en
in toto e per toto	entirely, wholly	en
in ultra	moreover, in addition	en
in un batter de palpebras	in the wink of an eye	en
in un certe modo	in a certain way	en
in un certe senso	in a certain sense	en
in un etate adulte	as an adult	en
in un minimo de tempore	in a minimum amount of time	en
in un modo	in a way	en
in un modo o altere	one way or another	en
in un modo que	in a way that	en
in un obscuritate total	in total darkness	en
in un parola	in a word	en
in un plus large senso	in a larger sense	en
in un tal grado que	to such an extent that	en
in un tal modo, que	in such a way that	en
in uso	in use	en
in van	in vain	en
in veritate	in truth, truly, really, actually	en
in vice	instead	en
in vice de	instead of	en
in viste de	in view of	en
in voce basse	in a low voice, softly	en
in voge	in vogue, popular	en
in zigzag	in (a) zigzag (pattern), back and forth	en
inacceptabile	unacceptable	en
inaccessibile	inaccessible	en
inaccessibilitate	inaccessibility	en
inaccostumate	unaccustomed	en
inaction	inaction	en
inactive	inactive	en
inactivitate	inactivity	en
inadeptabile	inadeptable	en
inadequate	inadequate	en
inadmissibile	inadmissible	en
inadmissibilitate	inadmissibility	en
inadmission	refusal of admission	en
inadoptabile	unadoptable	en
inadvertente	inadvertent	en
inadvertentia	inadvertence	en
inalienabile	inalienable	en
inalienabilitate	inalienability	en
inalterabile	unalterable	en
inalterabilitate	inalterability	en
inambigue	unambiguous	en
inambiguitate	unambiguousness	en
inamical	unkind, unfriendly	en
inamorar	to enamor	en
inamorar se de	to fall in love with	en
inamorate	enamored, in love	en
inamovibile	not removable, irremovable	en
inanimate	inanimate	en
inanition	inanition, exhaustion due to lack of food	en
inappaciabile	unappeasable, inappeasable	en
inappellabile	unappealable	en
inappetente	without desire	en
inappetentia	lack of appetite	en
inapplicabile	inapplicable	en
inapplicabilitate	inapplicability	en
inapplication	want of assiduity, inapplication	en
inappreciabile	inappreciable, inestimable, priceless	en
inapte	inapt	en
inaptitude	inaptitude	en
inarticulabile	unpronounceable	en
inarticulate	inarticulate, not jointed, indistinctly uttered	en
inattaccabile	unattackable, unassailable	en
inattention	inattention	en
inaudibile	inaudible	en
inaudite	unheard-of	en
inaugurar	to inaugurate	en
inauguration	inauguration	en
inaugurator	inaugurator	en
inauthentic	inauthentic, unauthentic	en
inauthenticitate	inauthenticity, unauthenticity	en
incalculabile	incalculable	en
incamminar	to put on the right road	en
incanaliar	to degrade, debase, exert a demoralizing influence on	en
incanaliar se	to keep low company	en
incandescente	incandescent	en
incandescentia	incandescence	en
incandescer	to incandesce, cause to become incandescent	en
incantamento	enchantment, magic spell, delight	en
incantar	to enchant, use magic on, bewitch, charm, delight	en
incantation	incantation	en
incantator	enchanter, sorcerer, enchanting, charming	en
incapabile	incapable	en
incapabilitate	incapability	en
incapace	incapable	en
incapacitate	incapacity	en
incappuciar	to hood, cover with a hood	en
incarcerar	to incarcerate	en
incarceration	incarceration	en
incargar	to charge, burden, entrust	en
incargar un persona de	to entrust someone with	en
incaritabile	uncharitable	en
incarnar	to incarnate, embody	en
incarnate	flesh-colored	en
incarnatin	flesh-pink, rosy, incarnadine	en
incarnation	incarnation	en
incassamento	encasing, encasement, embankment, encashment	en
incassar	to encase, pack, embank, convert into cash	en
incassator	collector, bank messenger	en
incastrar	to embed, fix in, set	en
incastratura	housing, hollow, bed, setting	en
incatenamento	enchainment	en
incatenar	to chain up, enchain, link together, concatenate	en
incatenate	in chains, chained up	en
incaute	incautious	en
incaviliar	to peg, fasten with pegs	en
incender	to light, set alight	en
incendiar	to set on fire	en
incendiari	incendiary	en
incendiario	incendiary	en
incendiarismo	arson	en
incendio	fire, destructive burning	en
incensar	to burn incense before or to, pay homage to, flatter	en
incensario	censer	en
incensation	offering of incense	en
incensator	flatterer	en
incenso	incense	en
incensorio	censer	en
incentive	inciting, incentive	en
incentivo	incentive	en
inceptar	to incept, begin	en
inception	inception	en
inceptive	inceptive	en
inceramento	waxing	en
incerar	to wax	en
inceremoniose	unceremonious	en
incerte	uncertain	en
incertitude	uncertainty	en
incessante	incessant, ceaseless	en
incestar	to commit incest	en
inceste	unchaste, lewd	en
incesto	incest	en
incestuose	incestuous	en
incholerisar	to anger, enrage	en
incidental	incidental, fortuitous	en
incidente	incident, incidental, fortuitous	en
incidentia	incidence	en
incider	to cut into, fall upon	en
incinerar	to burn (to ashes), incinerate	en
incineration	incineration	en
incinerator	incinerator	en
inciper	to begin	en
incipiente	beginning, incipient, initial	en
incircular	to encircle, surround with a circle	en
incircumcise	uncircumcised	en
incisar	to cut into, incise	en
incision	incision	en
incision crucial	crucial incision	en
incisive	incisive	en
incisivo	incisor (tooth)	en
incisori	incisory	en
incitabile	incitable	en
incitabilitate	incitability	en
incitamento	incitement, spur	en
incitar	to incite	en
incitation	incitation, incitement	en
incivil	uncivil	en
incivilitate	incivility	en
inclavar	to prick (horse in shoeing), spike (gun)	en
inclavatura	prick (given in shoeing)	en
inclemente	inclement	en
inclementia	inclemency	en
inclinar	to incline, be inclined, bend, bow, slope, slant	en
inclinar a	to incline, be inclined, to	en
inclinar se	to bow (down)	en
inclination	inclination, incline, slope, propensity, liking	en
inclinometro	inclinometer	en
includer	to enclose, fence in, include	en
incluse	enclosed	en
inclusion	inclusion	en
inclusive	inclusive, inclusively	en
incluso	enclosure, enclosed letter, check	en
inclusura	enclosure, enclosing	en
incoercibile	incoercible	en
incoffrar	to coffer, lock up in a coffer, chest	en
incognite	unknown	en
incognito	incognito	en
incognoscibile	unknowable	en
incoherente	incoherent, disconnected	en
incoherentia	incoherence, disconnectedness	en
incolor	colorless, uncolored	en
incombramento	encumberment	en
incombrar	to encumber, obstruct, hamper	en
incombustibile	incombustible, fireproof	en
incombustibilitate	incombustibility	en
incommensurabile	incommensurable	en
incommensurabilitate	incommensurability	en
incommodar	to inconvenience, incommode	en
incommode	inconvenient, unsuitable	en
incommoditate	inconvenience, disadvantage, discomfort	en
incommunicabile	incommunicable	en
incommunicabilitate	incommunicability	en
incommutabile	incommutable	en
incommutabilitate	incommutability	en
incompacte	not compact	en
incomparabile	incomparable	en
incomparabilitate	incomparability	en
incomparation con	compared with, compared to	en
incompatibile	incompatible	en
incompatibilitate	incompatibility	en
incompetente	incompetent	en
incompetentia	incompetence	en
incomplete	incomplete	en
incomprehensibile	incomprehensible	en
incomprehensibilitate	incomprehensibility	en
incomprehension	incomprehension	en
incomprensibile	incomprehensible	en
incomprensibilitate	incomprehensibility	en
incomprension	incomprehension	en
incompressibile	incompressible	en
incompressibilitate	incompressibility	en
inconcipibile	inconceivable	en
inconcipibilitate	inconceivability	en
inconditional	unconditional	en
incongenial	uncongenial	en
incongrue	incongruous	en
incongruente	incongruent	en
incongruentia	incongruence	en
incongruitate	incongruity, incongruousness	en
inconsciente	unconscious, without consciousness	en
inconscientia	unconsciousness	en
inconsequente	inconsequent, inconsecutive, inconsistent	en
inconsequentia	inconsequence, inconsistency	en
inconsequential	inconsequential	en
inconsiderate	unconsidered, rash	en
inconsistente	unsubstantial, not solid or firm, inconsistent, incoherent, incongruous	en
inconsistentia	unsubstantiality, want of firmness, inconsistency	en
inconsolabile	inconsolable	en
inconsolate	disconsolate, unconsoled	en
inconsonante	inconsonant	en
inconspicue	inconspicuous, unapparent	en
inconstante	inconstant	en
inconstantia	inconstancy	en
inconstitutional	unconstitutional	en
inconstitutionalitate	unconstitutionality	en
incontaminate	uncontaminated	en
incontentabile	not to be contented, not easily contented	en
incontestabile	incontestable	en
incontestabilitate	incontestability	en
incontinente	incontinent	en
incontinentia	incontinence, lack of self-restraint	en
incontrar	to encounter, meet	en
incontro	encounter, meeting	en
incontrovertibile	incontrovertible	en
inconveniente	improper, not decent; inconvenience	en
inconvenientia	impropriety, incorrectness of behavior	en
inconvertibile	inconvertible	en
inconvertibilitate	inconvertibility	en
incoragiamento	encouragement	en
incoragiar	to encourage	en
incorporal	incorporeal	en
incorporalitate	incorporeity	en
incorporar	to incorporate	en
incorporation	incorporation, synthesis, assimilation, embodiment	en
incorporee	incorporeal	en
incorporeitate	incorporeity	en
incorrecte	incorrect, improper, wrong, inaccurate	en
incorrection	incorrectness	en
incorrigibile	incorrigible	en
incorrigibilitate	incorrigibility, incorrigibleness	en
incorrupte	incorrupt	en
incorruptibile	incorruptible	en
incorruptibilitate	incorruptibility	en
incortinar	to curtain	en
increate	increate	en
incredibile	incredible	en
incredibilitate	incredibility	en
incredule	incredulous	en
incredulitate	incredulity	en
incriminar	to incriminate	en
incrimination	incrimination	en
incrustar	to encrust, cover with a crust, inlay	en
incrustate	inlaid	en
incrustation	incrustation, inlay	en
incubar	to brood, incubate	en
incubation	incubation	en
incubator	incubator	en
incubo	incubus, nightmare	en
incude	anvil	en
inculcar	to inculcate	en
inculcation	inculcation	en
inculcator	inculcator	en
inculpabile	innocent	en
inculpar	to inculpate, incriminate	en
inculpation	inculpation, incrimination	en
inculte	uncultivated, untilled, uncultured, untutored, unkempt	en
incumbente	incumbent	en
incumbentia	incumbency	en
incumber a	to be incumbent (up)on	en
incunabulo	incunabulum	en
incunar	to put in a cradle	en
incurabile	incurable	en
incurabilitate	incurability	en
incuria	carelessness	en
incuriose	incurious	en
incurrer	to run into, incur	en
incursion	incursion	en
incurvar	to bend, curve	en
incurvatura	curve, curvature	en
inde	from that place, from there, thence, from that time, after that, thereupon, thenceforward, from that cause, therefore	en
indebitar	to involve in debt, indebt	en
indebitar se	to get or run into debt	en
indecente	indecent, unbecoming, unseemly	en
indecentia	indecency, lack of decency	en
indecifrabile	indecipherable	en
indecise	indecisive, undecided, inconclusive, unsettled, irresolute, hesitating	en
indecision	indecision	en
indeclinabile	unavoidable, indeclinable	en
indecorose	indecorous	en
indefectibile	indefectible	en
indefectibilitate	indefectibility	en
indefendibile	indefensible	en
indefensibile	indefensible	en
indefinibile	indefinable	en
indefinite	indefinite	en
indelibile	indelible	en
indelibilitate	indelibility, indelibleness	en
indelicate	coarse, not fine, unrefined, gross	en
indelicatessa	coarseness	en
indemne	unharmed, undamaged, uninjured, whole	en
indemnisar	to indemnify, compensate for damage or loss	en
indemnisation	indemnification, compensating	en
indemnitate	wholeness, indemnity	en
indemonstrabile	undemonstrable	en
indentar	to tooth, indent, join (wood), dovetail	en
indentation	indentation	en
independente	independent	en
independente de	independent of	en
independentia	independence	en
independentia de	independence from	en
indescriptibile	indescribable	en
indesiderabile	undesirable	en
indesirabile	undesirable	en
indestructibile	indestructible	en
indestructibilitate	indestructibility	en
indeterminabile	indeterminable	en
indeterminate	undetermined, indeterminate, irresolute	en
indetermination	indetermination	en
indeterminismo	indeterminism	en
indeterminista	indeterminist	en
indevote	irreverent	en
indevotion	lack of devotion	en
India	India	en
indiabolar	to infuriate	en
indiabolate	possessed (by the devil)	en
indiabolato	possessed by a demon	en
indian	Indian	en
Indiana	Indiana	en
indiana	print, printed fabric	en
Indianapolis	Indianapolis	en
indiano	Indian, Hindu, (American) Indian	en
Indias	Indies	en
Indias occidental	West Indies	en
Indias oriental	East Indies	en
indicar	to indicate, be indicative of	en
indication	indication	en
indicative	indicative (that indicates)	en
indicativo	indicative, indicative mood	en
indicator	indicator, directory	en
indicator del stratas	street directory	en
indice	index, indicator, forefinger	en
indicer	to announce	en
indicibile	ineffable, inexpressible	en
indicio	indication, mark, token, clue	en
indicios	circumstantial evidence	en
indiction	indiction, cycle of indiction, convocation (of a council)	en
indifferente	indifferent	en
indifferentia	indifference	en
indifferentismo	indifferentism	en
indifferentista	indifferentist	en
indigena	native, indigenous, native	en
indigente	indigent	en
indigentia	indigence	en
indiger	to need, be in need of	en
indigeste	indigestible, confused, disordered	en
indigestibile	indigestible	en
indigestibilitate	indigestibility	en
indigestion	indigestion	en
indignar	to make indignant	en
indignar se contra	to be indignant with	en
indignar se de	to be indignant at	en
indignate	indignant	en
indignation	indignation	en
indigne	unworthy	en
indignitate	unworthiness, indignity, insult	en
indigo	indigo	en
indigotina	indigotin	en
indirecte	indirect	en
indiscernibile	indiscernible	en
indiscrete	indiscreet	en
indiscretion	indiscretion	en
indiscutibile	undebatable	en
indispensabile	indispensable	en
indispensabilitate	indispensability	en
indisponer	to indispose, make unwell, make unwilling	en
indisponer un persona contra un persona	to set someone against someone	en
indisposite	indisposed, unwell	en
indisposition	indisposition, slight ailment, unwillingness, aversion	en
indisputabile	indisputable	en
indissolubile	indissoluble	en
indissolubilitate	indissolubility	en
indistincte	indistinct	en
indistinction	want of distinction, confusion	en
indistinguibile	indistinguishable	en
individual	individual	en
individualisar	to individualize	en
individualisation	individualization	en
individualismo	individualism	en
individualista	individualist	en
individualitate	individuality, individual character	en
individuar	to single out, individuate	en
individuation	individuation	en
individuo	individual	en
indivise	undivided	en
indivisibile	indivisible	en
indivisibilitate	indivisibility	en
indivision	indivision	en
Indo	Indus	en
Indochina	Indo-China	en
Indochina francese	French Indo-China	en
indochinese	Indo-Chinese	en
indocile	indocile	en
indocilitate	indocility	en
indoeuropee	Indo-European	en
indoeuropeo	Indo-European	en
indolente	indolent, painless, averse to toil or exertion	en
indolentia	indolence, insensibility, lack of feeling	en
indolor	painless	en
indomabile	untamable, indomitable	en
indomabilitate	indomitability	en
indomate	untamed	en
Indonesia	Indonesia	en
indonesian	Indonesian	en
indonesiano	Indonesian	en
indorsamento	endorsement	en
indorsar	to endorse	en
indorsator	endorser	en
indubitabile	indubitable	en
indubitate	undoubted	en
inducer	to induce	en
inducer in error	to mislead	en
inducer in tentation	to lead into temptation	en
induction	induction	en
inductive	inducing, leading, inductive	en
inductor	inductor, inductive, inducer	en
indulgente	indulgent	en
indulgentia	indulgence	en
indulgentiar	to indulgence	en
indulger	to be indulgent	en
indulto	indult	en
indurabile	that can be hardened, endurable	en
indurar	to harden, indurate, make or become hard, endure, bear	en
indurar le corde	to harden one’s heart	en
indurate	indurate	en
induration	induration	en
industria	skill, ingenuity, industry	en
industria de guerra	defense industry	en
