@rowCount	3257
w	d	cache	s	q
.e'o ko ciska lo srana be lo jetnu selfri be do	Please write about your real experience.	.e'o,ko,ciska,lo,srana,be,jetnu,selfri,do,e'o,se,lifri,please,write,about,your,real,experience	G−	ORQSNNOOQOQPPOPORMMLONMOPOPQNMLOQLQTOPMKQLTNQKQPNPNORQQOJPNPNQNPPOLPRMKRLRPNPLNPPNORNLROMQTNMNONNQNPOPNPPQLOMNLOLMSOPOQONROMNJPONMMSNPMOOPWRSOPRHOMTNRMRLQMOPNOONJNRQINPKONMSRROKOJQOPPQRMPQOPNOLNQKRKJPMNNMMMLRPPSQUPMLOPNKSNMONROQRKOTORMRPQPLQMNLQTNQPONPLKQUNPMRRPRPTLLNMOQKPNKRMMPJQKNNPQNTPKLSHMNOKSMMOOMQMMROQRLKOOLOMMPOMOUONPONLSMNLOSNRQMQQSKMNQTOJRNQRQMLTOOOMQRPNNMMORPPROQPORNPPPLP
.e'o ko co'a dasni lo cutci	Please put on your shoes.	.e'o,ko,co'a,dasni,lo,cutci,e'o,please,put,on,your,s'oes	👍👍	JOSMPNOMQOLPOOMRNPJPLQOMLNQPMQOKSRPORNPROGLPQMQNMSLOQOPSQNRMTPNQPMPOOSPQRQLQNLMPKMONKMONOMMMONMNONJUQQKQOOOROQOOLSNNPQUNQONPLKJONOMMOQQNKPQQPORQRONMQSNPPQOLQOSNOPNNOQMKROOPRRTPOONPPMMKOMNNNROMONOPNQMOQQNMMMMNMMRNQMNMNONPPLKOQSRRPNNPPPNORLSOSRNNMRPSNQXNEPOOLONOMQPNQONQPLNPMLNQLQNQJRONLRMNQMLQONNLLVONSQOPOJPORQTSMOOQRNMOURUQNSNNQNPQOQQSKOLQLMSUQMQPOWOMONOLPMPLLNQPMMNQKNLNPOQNMQLQPLMJ
.e'o ko co'a dasni lo cutci	Please put your shoes on.	.e'o,ko,co'a,dasni,lo,cutci,e'o,please,put,your,s'oes,on	👍👍	JOQNPNQNQQMPPPMRMPLPMONMLNQQLPMJTSOOQMORNGMOPNQONTLPPPRSQNRMTPOROMOPOSOQRPLPNLOPJMPOKLONMLMMNOMNOMJTRQMQOOOQOPONMSLOPRUMQPNOMKJOONLNPQPOKPROPOQPRONMRQOQOQPKQPQNOONNPQNKQNPOQRTQOPNPPLMKNLNNMROMNKPPNPNOQQMMNMKNMMRNRMMMNONORMKOQTQRPNPOPQNOQNRQRSMOMQNSNQYOFRNOLOOQMPPORNNQOMNQMLNPLPNRJQONMSNMQMLRNMMMNUONSPOPNJOOQPSTMNPQRNNOVSUPNROMSLOQPQQSINMOLMQTQLPPMUPNNNOMQNPKLNQQLNPQKMLLQOQNNRMQONLJ
.e'o ko cpedu fi la .tam. fe lo nu jalge fonjo'e mi	Would you ask Tom to call me back, please?	.e'o,ko,cpedu,fi,la,.tam.,fe,lo,nu,jalge,fonjo'e,mi,e'o,tam,fonxa,jorne,would,you,ask,tom,to,call,me,back,please		HQSLMLQOOJNONOPQOQKVNROMPRUPKPNQNNNQONNPNOOOILNLRMPMMNPRRQLRLPMRRPGNMONSTMLMNPSOOKLRORQONTLQNOJQJNKQSRPNPPLQPNNNOLNOQPQJOTPSOMOOPPPQOPKMPLMOQMMSOMNNQLOQNNNNSOKROQQQOOKNQPORKHROTOOPPKNMPQPPOOQQLMLNNPQOONNNPNNLRNKPTRSLPQONMKMOPOPMPMLTQPMRQMRPOKONOQMQMMRQQMPIOTPQQNMMPIPRMOROOSOQRRLOPNQNMNPNROLMMPONOQUPPKKONNQNSONQPLTPSLNOMQOOQPNNPOMQPPPPQMOQLQNTORQQNONQKNLIMONMROORQQSLQLJPSKPOQPPNONKL
.e'o ko cpedu fi la .alis. fe lo nu jalge fonjo'e mi	Would you ask Alice to call me back, please?	.e'o,ko,cpedu,fi,la,.alis.,fe,lo,nu,jalge,fonjo'e,mi,e'o,tam,fonxa,jorne,would,you,ask,alice,to,call,me,back,please,alis		MROQMNQNPNMNPMRTRNJTMORLQNQQKOLQPOPSMOQPNMNKLNPQOLQOLOSSRRNSMPMSNNKNPPNTMKNLOMPROMQQKPRNMMLQQPMNLMLRSPPNOOOQOKOKPMQORPQKQNRTQMRONPQOQOOOOMPQRNMUOQOSSMPRONQNUMPRMONRNPILQOQPLKRNPMMSPQPNORQONLQONMNMQPQOOPOQNOTJSQKORMOJPMKRLNLORONOQNMRQQPOPNRLOLPMMPMPPQTMRLMJMSPQPOKMPLPQRMQORQMORROOSOULINSLQNNJNNQOLPRPOJKMLOSOROOPPNROTIMOMRPMPPOMLMLPQSQOSIOQNONRLQPRNNMRMPMJLMLMMNQPQMRINMLMOLPQQMQQPKJJ
.e'o ko cpedu fi la .maris. fe lo nu jalge fonjo'e mi	Would you ask Mary to call me back, please?	.e'o,ko,cpedu,fi,la,.maris.,fe,lo,nu,jalge,fonjo'e,mi,e'o,tam,fonxa,jorne,would,you,ask,mary,to,call,me,back,please,maris		LPSPKMPQPJMOPMOSOQNVNQQOQOPRMNLROPNQOOPOMMPLMOMRPJNNLORSPQNSMRPSOPKMNONSQMLNOMOQMLNTMNRNONNNMPKOHKNPPSPOORPPOLPMOKMPPKOIMQORNLQONPSOSPPNOLNPQNNSRNORQLPPQNPQUONOOMRSQPJMPPQSJKPNONMQNOOPQRRQNMOPNNMOOQPONQPROLTGTPIPSOQKNNORQLIORQPOOMMSQQQNROPOOMOOLSPQNPQPOKOINROQRNPMPLOPOPRPSPLORRNNPMRONNNKQOMKNOLPMRRNLIMMNNPMQMOPNMQPTJPOOSRNTMMLOKKRPPPPRIOQQRLRNRQQLNPRKQMIMNNKPOMPQNRLMOMNQMONRMOOQLLK
.e'o ko curmi lo nu mi ciksi	Please, let me explain.	.e'o,ko,curmi,lo,nu,mi,ciksi,e'o,please,let,me,explain	👍👍	OOONOMKNRPSNLMPNNNFPNMOOONOPPLONQQNOMPQPPMOSPPONLPQRPOROONRPOMMRXHLNNOSSQORNPONMMONNONQONOOOLPNOQRKRPRKOOMONONNPLROOPQSLRPQSLNOOQMNOPQMPNPPNPRVOMSOOPTNJMQRNUOMPOQNNNQNNLPOROLMMMQMQOKPPSPMRNUSPNRMNOPONQRKLQPRPNLMMNPRLLLKPPMKOIRINOLWVRRNRNKSMNMINPQNQPOROQNNMKLQRONOMPPSTOPPPNQQRNOOKMPQMLLNPKLKTNORLHPPNQQNKPMOOOMMOLMNLSMOONPPOPMQMOOPOLNSPOMNPLOSMORPSLQOPROIQMOOJOPOSMNMLMNMQQONNNPJSPPVM
ro se klesi be ta zo'u ko mi dunda be ci klesi be ri	Please give me three of each kind.	ro,se,klesi,be,ta,zo'u,ko,mi,dunda,ci,ri,please,give,me,t'ree,of,eac',kind	👎👎	OLMMMOQLNQPHLNRPOQMPRMPQLOOOOIMMQMNLOQOTNNRPPMMPPNNMHURKJSQPNONMQMLOLSOPNOMMPLKOINLOLQMPKPOROONQPLPRSPQQSPMNOQMNLNLROQSONNUMMLPOMMMRPONMNNNROTRPONLOPTPPPKPNOOSONPMNNKNNMNORUOOQNPPNQNPPORNQNPRKOPLOPNNQPRPOMKMQJQKSKPOLSOIPUKKOMQLSSQNNSRONQJQPPOMROTLPMTOMNQONPOPOTNOPPOUUPONRNONMKQSKQMOOLLPRLMNPKNNRLKPOPPQNOPPSNNRNQMQQSPQOSPRNMPKQNPPTMNTMNOMKOORMORQLOUQMNLNNMNNPRLLPPKNKMNLNQPPRLMPOSLSP
.e'o ko dunda fi mi fe lo blacykabri be loi djacu	May I have a glass of water?	.e'o,ko,dunda,fi,mi,fe,lo,blacykabri,be,loi,djacu,e'o,blaci,kabri,may,i,'ave,a,glass,of,water	G−?	OOQORLVMNMILORMMMNMROPMNORQRMNPOMIQOONQLNORROQNOPONOLMPOPLPSOOLSPONRQNPRTOLKRMPUKONQLPRNNLMPNNPPOMKQOOQOTLMSQMJOQSPMOMNONMOPNONOQMSQQOMNNMPNJLNMRPNNNKKQOQONSQPQOQQOOPQMLQTPOMNQLMNNMQLLQPPKLPMOPPLOSKLOMQPNSLMQQNMPPNNOSOOLPJJOQMOPVNRRNMQPMNORSOPRLOSNNQUKKPOMPPONSHLNOMTRPPRNQOPKOQOLQPNPQTKLPPMRQOQJOQTOMRJQOUOPSFQMKPMRLQRONORPOMPPOMMPONOOPKMNPMRTOQNNQQQQNSONJOLOOMPSPOLMOQSNSROPPNMMRNMO
.e'o dunda su'o cidja mi	Please, give me something to eat.	.e'o,dunda,su'o,cidja,mi,e'o,please,give,me,somet'ing,to,eat	👎👎	KOPPMNQLLNPILNQOXQKNNPPNNQQMMMRMPOMPRJPOOPPNNMMRSOMOMNSPMOOPQONNPJMSLQOQQOKLQMPOIOOOLSNQLNOOMQNMNILQQPPNNOMPPOMRKNMMQMQNNPNQOLQOMNPSSQPONLOONQPMSOSNMLPONNMKROQNMNLNMQLNUPORONRQOPRLQLMMRQOMOQPPNOMMPNMOPPONPJNOSNPOQSLMWNKMQLJOQNLTTOROQQLMSMTTRQMMJUOPOSSOLMPLOMRQQNNRPPQWMMOPOQTMNPQQNPSKIOLSTLPMNOOPOPQRRMNOONPNRMMQMNMMRPTOTLKRNLMLRNOSNQNNRLLNMNSNQMPTRQQOLOPKMOMKONQPINNNMRNOQONSPNROOPMM
.e'o ko mi fraxu	I ask that you forgive me.	.e'o,ko,mi,fraxu,e'o,i,ask,t'at,you,forgive,me	😐	MPTRRJUOPMNNNNNOLRMOMQPNLPNRLNMNPPKNOORNNMRMSKONOLKNNTNQNWRTQOPSOQLPMPQONMJOQOQOQINPMPTNNPPNOMLLKQJTRNQKPONRQOLNONPMQOQNNQQSJKPOOKRLPPMQPKOPMNPSKONNROSMNQORTOMPQNMNQNMNPPNQMMNQQOQSQNRQQOPRNKMMKONNPNNNQOKRNRPNONOQQKOOPLLMTILOPKQRQNOTQPOMSRWNPOMMKQNPOPSMPNTMMNTNONNMNKMSPLQSQOOOOMQPORQQLOMMSPLNNONQLOMPQNLJOMSTMMROQOQMPLPONQPPOLNJNMPPRPRPPNOMLNKTNNNSMNRRNOQKOOLKOPRPLNOPKLMPJQQPOOPLVLOJ
.e'o ko gasnu lo nu co'a gusni	Turn on the light, please.	.e'o,ko,gasnu,lo,nu,co'a,gusni,e'o,turn,on,t'e,lig't,please	👍👍	POPRNMQOQOQJKROSOMKQPJONMOOOJONOOQMONMSOOJNPLQPNSONNOOSSMPRMMOQQNOMKNQNRQOKJONPQMLOTPQQSNNJQNPNMOJIRSNONONOUNNPONQNMONRORNMQOKQOROQOOMROIMTSOOQLVOPKPNRNLQNMPOORPPNQNQMLNONQPURSQQPLMPPQMQOLRPSMPMONNMMOOQOQONLPPMNNVOLOKNPOSKIOSLKORMMKMUQMMMQNPTLSLSOQKSVQMOMMNRPRSMMPQQOPLOQQMNOPOPMPNRSPPOOOONLSSQQOMNTONNKNRLPQPKPOLKLPROQOMNSNSPQOLLPNSRRPJNOPLKOQRRPSNRSPNMLLMPPMLQMRLPRLLQNOPOPLQOIOTPOM
.e'o do jungau mi lo du'u ma kau pluta lo sorpeka tcana	Could you show me the way to the bus stop?	.e'o,do,jungau,mi,lo,du'u,ma,kau,pluta,sorpeka,tcana,e'o,djuno,gasnu,could,you,s'ow,me,t'e,way,to,bus,stop	😐	QQPNOSQONNPPQNNQTONPTQNNKOQPNMNLNPNKRNSPRONNQPPOVONNORNONQPRQOMPLPLMRPNONJOMNOOKKLQUMQNQQQLPLMLMJKPROQPNPNMQNNRLROONNPQNQNORMOPOLNSQSOIOQTOMOLQNONJOQJOMPQNQYPKOOROLLONMKNLSLPQONPMPMNNNOTPPPQTPPMLPSOOOPRQPJNNLOPMOWONOONHSRQKOPNOJNOTNQWNMPPQLVPLOGMNOLSQRMNLMRMLOMNPRPKPRPOQLMMOMNQOORNQKPMQRSLMPNMPPOPLQQNQJKNOOPNLPPOORQPNOLPOMOPORJORQMSNONNNOPPLPPPNRPKONMNPMMRSPNNNRPRQPJQLKQOPNNLISOTNO
.e'o gau do mi viska lo do jaspu	Will you show me your passport, please?	.e'o,gau,do,mi,viska,lo,jaspu,e'o,will,you,s'ow,me,your,passport,please	👎👎👎	MRSMTOPONOMLPNMNNOLQOQNNNPQOKMQMMSUORMSLMKOQRNNRPPMPNQOONPJQLQNSNPMKOMMOOJMKNQLNNNLPNKLMLMPONOHLQMOSPOOPPQLNQNPOMRPMNSQMRNPMMNROOKORMPMMKQPRRULVQMQRQLNNQQQLTQNPNKRQNLNONNORMOVQRPLMKNQOLRQNKOMOMKPQRNOPNQRRRROMPROPUOQONNNOSQHOPMMMPMSSMRONSQQOOSNPHRMONORLNORNKPNNQNQSKONRMNOOORPRONOKNOTOPOMOSKPQPQQHMPSPQPPQQNMLQLQNMOOPKMQOQQRNMONPMHQKLKLPLOPNLQPOORQQNPLPONNLMMPPONQPPMTLLPJJRQQRQPNPTPJM
.e'o ko jarco tu'a lo pikta be do	Please show your ticket.	.e'o,ko,jarco,tu'a,lo,pikta,be,do,e'o,please,s'ow,your,ticket	G−	PROMPQOPPQKJQQLNQLKOQRNPNNQSNLMNSQQNRJPOOKNRRPNPTQQNPMNOOQNPOMNPIKOPQQQSSLOOLMPNKJMOQONRNNPPMNJQPKMVPSLRPPQSRNOPPONRNPSIQMQPLJPOLKLMQRLNMQONRNPROPMNLQMONSPKUPNQKRORLMNLMNJQOPPPQPMQMLNNOOONLPOPKONLNNQRQNOOPOQPNMOOWRONOMNMTQLOPSLNNNSTQTNQQORKTRNOJQLQOQVRLNPNKMQMVRNQNPRSROQOONMOORNQNRRMORLRPMLQPPMNLQSPQTQPSOOMQMROLNQOOMQONRRMOOLLLLTOKNOPKOMNMPPOOQNVPOMPONOJNPRQLMRQPMPNMLMMOPOPPMKTPPPN
.e'o ko jirlu'i lo cifnu	Please give the baby a bath.	.e'o,ko,jirlu'i,lo,cifnu,e'o,jinru,lumci,please,give,t'e,baby,a,bat'	👍👍	PPQMONQNMPKKNTLRQQQOPQRKRRRPPONMNINOMMQOQPLPPPPNTOMONRMMPKOOKQOOSLPSPQNTURLNOPPOKMPQLQRLLMMPMMOMMPIQMPOTRMMQNOJNNQOMRNPNOOKQNKOOOOTSPVOMQNMMPMNSNNQOPRMQMMNOPPNNONLJPRLNJPMRLMPPRMUNNONQOPMOQOPMOLPRPLJONMLNRLLKRPRRPNLSNQNQQLPOSNLSPKQTMSNPQLORSTPRQVQOOOSQONOPQPQNNNLSSIPUQTRNOQQLKPPMOKPROQMOLOMPMNPOMKRQOQMNNPPOSIOMLJPMMPROONQQPNNPNOLRORNQPLMOMPSRPKMQLLRLKPMNOROMLQNPOMNPNOMMPPTPNJMUNNPO
ko capyju'i lo kevna	Mind the gap.	ko,capyju'i,lo,kevna,ckape,jundi,mind,t'e,gap	B−	NNNNPNQRQNQLLLTQMMJMNONMMSONRNNPMNPNOUPLMLOONSPONLLMMQQPOPMPMOKNOOOOMRQQLMRQQNRNORKRMKRPKNNNKQPPPQMVPRMMMPPQOPOPNROOQOWMPQLQQLMOPMOORSMNLTKKPLSNJPIMKOPRLOQJQQMSNSMOQMPPPRPPPMUPOSPQPMMKPPNNQLRQQTMOOPJLQNMNQOPLSOMKLNPPOMKOVQLOOPTQSLSQNVPMSPPMRMQQQKPMORRMLNOMKLNQNOONNNMSLQOQJPLSMLOTMQMQOMPLQQORQPOPJMOOQLPPMLOPSRPQLKJRPOOONNOSQNNROTROMSPMKQMPOPNONMOQMMPPPMMPOROKQMRSKMRQMNQRQMRMMPKRQNOP
.e'o ko kacmyterxra fi mi	Would you please take my picture?	.e'o,ko,kacmyterxra,fi,mi,e'o,kacma,te,pixra,would,you,please,take,my,picture	👍👍	NRQORLOOOPPMQQPQNNIRINRMMNRQKKLMSQQPONQRNOROMOLPPNLMPOQNNKOPOSMSQQOLONNRNKMKOMNNPLPPLQONIKMONMMNNJLRSPPOQQJOOLNOMPRIOORKRNJROLNOPNPQRPMNKKNNPRNTRKOONLMQMQQMVOMOLMQKNONMNQMTMNPOPOPNNKMPNNPQPRNQQNNQQPOMNOTQQONMPQNOTNQMPPKQPNMORSOLSPSQRTQOOLRMSOKOKUOQPSTPQNMLTRMQOMPQKMPROMQNSSOOQTONMQROONJNPKMONPQNORQORQPROKRNSMQOOLPQPLSOROOOPKNLNLMPLNJPMPONONQROOPOPPQRNMOIKNNPNNPTPNULOQKKPRMNPMPRQMHM
.e'o .ai pei do ti lebna	Could you take this, please?	.e'o,.ai,pei,do,ti,lebna,e'o,ai,could,you,take,t'is,please	👍👍	NTPPPNSNLNQNPNOPOQJRLNMQQRQPMINQSOQQMORSOOQRMNKRQOLPLPSOLLMOLNPRQPNKOQPQMMNMQLPLPONQMPLSPOPORLNNMKNSQRKNMNMNNOLLOMPNNMPNQONQLNQONORPONOMNKMOROMQTMQLRNKOLPOOXQNNJNOKPRPOKPQTOOQPQRLNPKOQOROPPQQPQOHKQQLLRQRORNQLLONQRPPIOOLNQMJOORMMRPQLNRONTIQRPNKOMRRSQTUMTQMKTPLNQLMMOORRPPQLQSPPOSQNLNTMMNLOPLNPOQRKLOQOOOONNOROULNPMPPPQMSOPKLPPLOLNPNSINKOOMOIPSQOMROPOMNSNNOJLPPPPMOQNLNMNNOLPOMRPMLPROKM
.e'o mi cliva bu'u lo klasti tcana poi se lidne	Please let me off at the next stop.	.e'o,mi,cliva,bu'u,lo,klasti,tcana,poi,se,lidne,e'o,klama,sisti,please,let,me,off,at,t'e,next,stop	NG	OMPMSONMONMNKOKTROMRRQOPIPOQOONLQMNLNOQQQLOPPQMOTPPOOQSOROPPNMKOOOLOOPOQMMPPNMOOMIOMINQOOMJQOPLLMNLRTOLNPMPUPNORJPRRRQUIPNNQOKLONKMQWOKPNQPMMLRNTLNMSKOPMTKNVPNPMPPLKNPLNOLSPLRPRSPPONMNNQNMPSQNQMMQNPLNSNOPKONQRRKLTLPNOOJQSPJORPOMOOSSPSONSNSLTQKRJOMOLPRRNPMNPNOOPQOQQNNSQPPPMPPOOPONONOJQOLQTJOQNNNPLNNNOKQNONONQQMRNLPQSPNOQOONQPIPNNSRSQMPMKQONNNOPNPTMNQNKOONOQNNRRMUMOPONPLKOORPLNJPPONN
.e'o ko masno tavla	Please speak slowly.	.e'o,ko,masno,tavla,e'o,please,speak,slowly	👍👍	RORNNNPKQLNKMONOPQLPOTQOKPMOTNNPTOMSPPPPNNOPOOMONNJNOOQPPQPQMKPPPORNLQNRPOLKPMQOOLLMHPOOMNPQMNRNOMHVQRLNNNPSNQLNKQPONOPOLSMNSLPOROOSKPQOLMRJNROMPROLQOQOQKQLSQKNLMPMPPNKNPJOOPRRLOOPJMPNQPLQNPNPPOKPRKNMPOOOSNOONPNOUQQNQOLPQLIORRPTQOSVPPRORMTQXPSRNRNRMMPQKMMPJONSONKPRNONPLQOKSOPNQQOMONMMOONSNPPSPPNJUPNMNLPSQONNQPMRPMOYMOONMUMPNMOOLRPSPPQMPMLQOPQOOORKNMPJOMMNPPRNPOPKLOMNKMPPQQSNMONPPPH
gau do .e'o sivni	Please keep it a secret.	gau,do,.e'o,sivni,e'o,please,keep,it,a,secret	👍👍	KRPOONPMPQNMPMOOQOJKQNQOONQPLLRMPOLROOSLNMQSOQPNLPNNPOQMNONSNPOOQLMNRMQPPNMQNNNPNLOPLMRMKLPNMMPMOSHTMRNPPSOPQMRRMQROSUROMQPRMNKOPLPTLRNPLPRMMRQPMOPNSSNLOQNLRQOOQPNMPKPPSLKOOOQPQNOOMLNORKQQOSMRLSMNONMOMKLNONQNNQPPNOOOKQKMSLMOMRLLVLOSLTQROMSOUSNLMMOQQOSPMNKOKLONNPOOPNOQNOSRMRNNNNQQLSNOPOLTNNLOKMNMJTPMMMNROOQOSPRNPOKONKSONSRNORSNORSROOUMQOQNMOTIONQTOTMJOOJOPMOONPOTJPQKLOMPRSQNJOLNPNOO
.e'o ko na jungau	Please don't tell anyone.	.e'o,ko,na,jungau,e'o,djuno,gasnu,please,don't,tell,anyone	G−	NQSLQLKPPOLKNPMPPOMMOOOOPOQNKNNLTQONQQPNNLQQPNNNQPPNQMOPNLQRRNOOQLOLQMOQOPLNORMROMMOMOPOMLLQLOPQOOFWOROPPNOOMMPUNQQKRSQNPPPQKNKOQLPRLQNRLPRNNPQUMSQNSSKQMSMJVOOOOPNROPMOOOLQOOMMPOPORONNUKPRQROMMMONPMMOMPMLMOQLQOOLRQMNKONNTMMOMSLMQKSRQSSPRNTPRPKNMSJQPNSPMMMPKKRROSNORPNOMNPNQQMPMNROOSQMMOKPMLKQMNPMHOPPNOPPPQQPONSLKQKMPLPOPPQPNPPOPOPRNLSLSPPPMQSLOQPVMTLKNROLPKOQNPPRMNQJNRKQQTOMJQNQNMQK
.e'o do tcidu fi lo vlamei poi cnita	Please read the text below.	.e'o,do,tcidu,fi,lo,vlamei,poi,cnita,e'o,valsi,mei,please,read,t'e,text,below	😐	TSQQPOPOOQQQOMLRNNJNMOOQMSNRQPLRVROPNPOOOIRRONNKPMMMMNNOPJRNROMQSLNNJOQMPMPLPLQNMSSPMPOIQPRONSJRLNNPOQMRJMNOOOMNLQOQPNPPMLIRNLOONMQPMNNJLONKQRMJLRQQQPMMNRPMPPQPQLPPNOLMOOQNUOOPNPKPQOTNMSOORPLPPPLKQMLNQSLPNMONKKPPPOQMQPHNOQLOLSMJSOPQTQQPQMOMTOMPPUMROPMLOMOLNOMRRQLMQPNLOURMPRQPMOLLPOOKNNKTOMNSROTMHLOPOQNPTONQONPLORKNRNROOKQOQQROQQQSPMRRNQNLTQORNTQMKSPMPNOQNPOQNRPRQNLQMPPMRLKMPOMPPQRN
.e'o ko no da jungau lo du'u mi zvati ma kau	Please don't tell anyone where I am.	.e'o,ko,no,da,jungau,lo,du'u,mi,zvati,ma,kau,e'o,djuno,gasnu,please,don't,tell,anyone,w'ere,i,am	👍👍	QKSMRMMPSNMIOOMNRONMPRMRRONOJLPMRPQLONQNMOPPRPNQTQQPMPORMMQSSNOQPLONOKMOQPNOPQRTONNOPNRSPKMPIOOOPRHVQQPPQPNTONMQMOPMSQRPLPPPLOKORNPQMONPLQONMPPSPPQPNNKOKSMJTONQOONQMOONRPMPQNMQRPLONPMNQOOOPSMJMLMNSNOMQQNMKOOPPRMOUMONNNNLTOJOOMNMNNTRMSMOSPTSTSGOIRLQPLSRMOKPJKPQPQPKNPLPMPOPQQOPNOQNMNONKOIMPNMRKONPJORQQQOPRROMOMSQNOKQKKPOPROQNPPOPMPPOJQNQNPNLOQLQQQSMRMNOOMKMMNOONSQMOSOLSINQQQQLNLURNMM
.e'o do dunda lo silna mi	Please pass me the salt.	.e'o,do,dunda,lo,silna,mi,e'o,please,pass,me,t'e,salt	😐	LOQLOOROPMMIQOMPNTGORQMMLQSONMMPQOMPNPOSPMORPPNMSNLPPPOQLPQOKMPOPMNMOPOUPMMNNKORLNOLMPPOLMLMKONPLLIUPQNMSQPRNRNRKPRORNRKPMLTMMLOOPQSKPQOMJOPNPQPQNQMLSQNIMQMTONMKSKROQNMNPKSPMQOOQPPLPMRRNOPRPMTQQOOPLMKMROQPNQNPLOQRPQONMKPQHMOPQMSQLSPOSLNSKUNSSLOJWOROPTNONROOONMPNMQMLPPMPROPPQONQMONPPNMONMQLONKMQNLNTOOSQJPNOSROTNLLNMPPROQTQOMQKNORQRRONQKNMOMONPQOQUQPQMOKNOOOOOKQORKONPLNOQRRNPMOLQOOON
.e'o ko punji lo do litru dakli ti ckilu	Please put your baggage on this scale.	.e'o,ko,punji,lo,do,litru,dakli,ti,ckilu,e'o,please,put,your,baggage,on,t'is,scale	👎👎👎	OPNQQNSPPMOKOQMOOMFPORPNOMNOOMMOQQNQQMPNPLQSOMNQNOPQMSOOPLNMKSOQSKOKNSNMQSPMNLQSMMNRMJPMNONQMPLPMOKSPUOQNQQNOLMQONTNSSMLOOMPMNJOLNQRMOLQMRNRNRSOOOQONLPMMPNNPOOOONKMOPOMPNMQROTMNMNQSONNQMMQRRLRSOOOOPOOSOOPPLQMMMSMOMNLMQMNSLKOORMQRNPROUNORNVOOOMNPRLVNORLMMNLTPOMSMMPNQKNOOQNPPRQHONTMPSMMNLLMOPQKQKHLQNITNPPNLPNROPPPTOOMKPONROSNSRONSRPLRPPMOMNLTLPOMNTOQQOJOMMMQRPNOPSQQHPOOQOPORNLPJQSLNJ
.e'o ko sanga su'o da	Please sing a song.	.e'o,ko,sanga,su'o,da,e'o,please,sing,a,song	😐	MNPLOPQLSNMJQNMQOTMOLQNPLQOOKNMOUNPPMOOPSNPPNOJLQQMPPLNQRPRPOLPMQLOOKRNQQONMOMOPKLNKMPPPMNLPKOMQQLKURNORPNNTOMNOOQQKOMQKOOLNPMLOQNQSQOPNMPOLPRTPPQPOOSPPMMQINQOOPPLMOQMKNOMNRNQTRPNNLNONPPPLQOQKNPPNQLNNOQMPRMOPNKNQVNMMMOMOPMKOWUPRSNSOPQKOSLONTVMQHRPRPNRQONNOKOONSOMSPMRTROOSOROORQONPOQNMQMQOOOOMNNQJRONNMMLQNNORPSPNMPROLOONQPKQRQIPLTMQRMKMSONKOOKOOMRMQPPONPJQKNIQWROKMPOOONMQPPTNPQNQQOJ
.e'o ko sidju	Can you help me, please?	.e'o,ko,sidju,e'o,can,you,'elp,me,please	👍👍	RPRLRROPJKNOMOOSPTHROJNPQQQONKOORNQQIPPONNPPKQNRMLNMLMPRQOONOONPLQMOOTOQOQQMPKRLOMLPNNOLQORMSOPPLMPRQMMQPLLPNPQLNMNQMNRNOOLOMMQOPNSPQNMNJMPQQOLNTKPNPNNNNNOPRPNROMOMQQNKKOQROQSMRSLOTMOPOUPKRMPOPNLKQNMOPSLRNMKKJOJPPNRQQQMQMONOORLKQNOMOPPPUJOQNMJOJNQNPOQISOOLTRNNQJNJPLPMOQOMTQQNRORROOQPNOJPRMMMQRMSOKPMNONLUOPPQQPSNNNPQRQOPGNPOMNNPOJRNNPJNKOKNOORNSRNNOOQQLPNMPOOQKRQNOSINRPMRNMPRQNRQSNN
.e'o ko tavla mi xe cu'u lo fonxa	Please don't hesitate to call.	.e'o,ko,tavla,mi,xe,cu'u,lo,fonxa,e'o,please,don't,'esitate,to,call	😐	MOROOOOTTLMNMMOOSPLRONNJOLOROOPSRPOPPNQOLKLQMNLMRMNLKPNRQNQMLNLOLRNNRQNRNPLNNLPONMKNMQROOLNQMOIRMIETPQLONNMQOQPQNRONPNWKOSPNNKOOPKRQOORMLONMRJMOQOORPMPRPOMNXQMOLOPSLMKJOSKRQKRRRQMSOOLMQNNNQNIMQMKNLNNOSNNOPPRNNQKOTPTMLQMONOMOROSQSOQPNNOQTMTQPLNPPRMRKOQOLMMMNRPPTQMQQOPOLNRPNQQQMSQPPNPPLOPKRQNMSPNPLMSLQPNPROORQRQOQLNQUKQOONRORMPMMOQNNPPPQMMPMNOPPOPROONOMMKIPLOMPMOTRNRMNPNLTROQMNNPQKMM
.e'o do tcidu fi lo vi cukta	Please read that book.	.e'o,do,tcidu,fi,lo,vi,cukta,e'o,please,read,t'at,book	G−	QQQPKONMNROSNLLOLOLLMQRPNOQRNMKRNPMQSOQQPLQOPNNLRMMPQMQPONSLPMMORNNPJMKQRNOMPMRNKNPPJOOLNQSKLPLQNOMROQNNPJNPOKMNPORNRPRQRQLTNJQOONNORNRLLNLNLOKSLORMRRNMORPLQRORLNNPNPNPKQMNPPSPPQONOMQQPPROQRNPRRLNLOKQRQJNQLKHNNQPOLRLNMPOROJOPNPONMLRPNNNUQTJROKNKRMOSQPMMQOONNMOSPONRNLPQQWQLPPQNOPQPNPNJNLUNLLOTMKMJNPRNRNOROPSQQTMNNOMQOROMOTNOTQONUOQSRNPUMKSSNQMOQNSMROROPRMNONPOROQNMNOPPRPPNOMNPKOQKOL
