@rowCount	3393
w	d	n	t	g	r	q	v	s	b
tendo	$x_1$ is the tendon/ligament/sinew attaching body part $x_2$ to body part $x_3$ in body $x_4$	see {xadyskoterjo'e}	experimental gismu	tendon	tendo	KOOPNNSQRNVOSQONMQLPOSNPKOPPONJRKRMPPLMPOLPKPUNROPNOOSRQKLLOSQQQNLQMMOONMQPOTMQPKOPRLSMOLQOMPOOOPNKOOOTRLKLQROPONLMNMQOPRPKOLLMOOMPJHNMNLMPNLSNPKQLOPQPONNPMKOOQNNOKPMNOQKKMPNPOQLQQVMRNNOJQNKPQNOLNPNNMSTMNMUPQMOPOQPRKMOJOLRPOLROPNMQSPQNKJLRRNOKSPMOOQOPLNPMLNMNNNNPMTNTRNNOMLQNOSLPNNOPMNMOPOQOLLOOROMPLMLMQMMNNOLPVONNRLPPOPOPJORQQQOOPQOQMKRNJSOSQNOMQJOTLNMLRTMNQOMQTPMPPNMRNOLJPSPOQQSSQ
vangeli	$x_1$ is the gospel (religious teaching) testifying of $x_2$ according to $x_3$	Typically used in a Christian context; e.g. "la vangeli be fi la .markos." = "The Gospel of Mark".	fu'ivla	gospel		NQQPPMPMVNSOUNSPOOOMOSMSQMOMRPMONMNUOOQOMMRLQPLQMOMSMRMQMONNOSRRLPNONOPNPOJMUMMPNPOMLQNOPQOOMRLLPNMOOROPOKLLRLQLLNNROOJQNQNMPJPOPQOLKPQOKNTOJPMPJPNNNOMRQNURMQOPPNPPPPSPQMOMLPOKLLPNPQRKMTMONJPRMMNNOPLMRRQINNPSMNNPPQQNOKNQNPNOPSOSOKTRONINJPLMRPNSNMONSNQPQKORNMKOSPOMQKOPOPQOOQMJPQPNJMLMUPNRJQQSPSOQONMQLKQNQMLORKQSKPKOLPOOPLPJOPSLUKONMLLNNORPROPMNRNRLMONOOOROLSOTOOPMOQQRNOLMLNSRQMKRSRM
tyBIlisis	Tbilisi	Capital of the modern nation of Georgia ({sakartyvelos}, {sakartulos} or {gugdegu'e}). See also {kartuli}.	cmevla	Tbilisi		NPNSJLUJMOOLRPMNSNOMNOSQQNNPSQQOPRNROMQOPNQOPOPOOMPMKNQRMOKONQOQPQOOPMQMJLKKQRMRQOPQJMONPMQUQQQOLONOONPPOPNNOOQNMQNQKNNPLOMLLQLOORNNJSMOMOTLLNSQLOMQMQJLNROPOPSNNPLMMNQTPMJUPQOKTLOMKPNOLQRPOLPQRNOQOPRLSTPMQPMRMOLPPOPJPNIMNOOOTNKRNJTNPTLNOPOPTNJPIMKOOOMLOPNNOTMSSKONQOTTQPNOLNQONPPQNOONSOPPJQQPQPPMLNJXOQPKPOMNPQOQQPLOLLMOPPORNPQKPOJLKMLOMOPPOPNKLNQPOLRMNPROTLPMPLSONPTLQQNOKSPQOPPNPPNN
tyrontos	Toronto		cmevla	Toronto		ROQPMPQRSQNMONNLROOMMMQPRPMRROLMQSPPKNQOPPLQPMPRPOTOMNQQNOTNOMKORMMTPJPONOOOQOOOUOMPMLNROPOSNQJOQMMWPQOPQLJNOPNMJONROQPMMRNPMLMOMMOSPLQOOSQNNOQPPNJOMPQROKMLRNMQPTQLRKOQNNPMRROPQPORLPNSOLROPQMKQMNMSPQMQOSRIRMNJQQQSLMMNLIORPQONKNRQOQPQTOLSOOQRRFMNLORNOPJMOIQOSOSQONQNQOSPLOROQOOKRPQRNMJROLSOPNNNOPQJMNRRPRNQPLTRMQPPOOPLJNOLTJNRMMPRQOONMLNNRMNLSMOOLNRQOOPKJMPNNQLKJOLMLPNLONSOMRONOKPRQQO
uorf	Whorf	Whorf, Benjamin Lee (1897-1941). American linguist and engineer, famous for developing the linguistic-relativity or 'Sapir Whorf' hypothesis along with his mentor Edward Sapir ({la} {syPIR}/{la} {eduyrdsyPIR}). This hypothesis can be summarized as the idea that the structure of language somehow shapes thought. The first logical language, Loglan ({la} {loglan}), was originally created primarily as a means to test that hypothesis. Alternatively {benjaminliUORF}, {benjymynliUORF}. See also {spirofu}.	cmevla	Benjamin Lee Whorf;Whorf		MQKNNKRMQSUNORQOHQMKPRPPROONTPMPPRMOQNONJMRKPNMQKOLQRLPOPQMOLNPOORNMPQMLPRPORRRLPOKTJONQQLPNMRPQOQQPONNQNLTNQNQOMSOLNQMKNQKOROOORVMOMOONPMOPMPNMOMQKOPNJOORKOPNKOPPNMNOQRRLRNQNTNLMONMPOOPQMNPPQSMNOQKPOLNLQPQMQNLNOMOLMMKNLSKPOJQPPPIONPOQLQNPQQSQTRQIKORSNIQRNPMQMNOOMKOPKPOPONPPRQLRPRMMONPRSMMMOPGROLPISNLONMNNQMOOPPPOLNRMOKPNORRMNOLMOKOQLOMMNTLNNMPOPOJMSLOUQRLQOPPPRSPNLNQPRONQQOQIPSTTN
uorxol	Warhol	Andy Warhol ({andiuorxol}). American visual artist, 1928-1987.	cmevla			ONNONSRMOKPOQROUNQSLNPRNPROPPPNOMPNNOSJQKNLNOOLOORLMOLUKSQOOLLPQRPMLLMNPONNNMPNORNMNQOMNOPKPMQQLOOLQPMONRPPSLPOONQRMMPOLOSMPJMPOOOSTPMPQNOQJKQQONOPMLPNMKOONTQNPOPNKKKMQQRPOKROSOTMSMMLMNPMNOUQNNNQJNOPPSINNPNMMKQOOKOSNMPLNPNMOOOUMSLORPOQPPPMQQOMLOPQNLQWONRPOMNMQPKNNOOMRNLHPPNMRPNONPLRRLSLOLNOOMMTRNQLMRSOMNOOTNONNQRSQLNNOKOPJQOPOQOOORROJOSOOQMSNNPOJLMNXNNQONOFOOMSPTPRQOSQPQOLJOPPMRQRP
urguuandas	Rwanda	The Republic of Rwanda, a nation of in the Great Lakes region of Africa, independent since 1962.	cmevla			LQNPMOMPRPQNONNKOJLLQLPJTPOMQROMIRQQOQRLNNQLRPOPKOSNNQTOKMNORMOOMOORNMPMQNQJNRPRRSRSNLQNOHMPTNPONNRRPLNNNRNQRPKNLVQLOMPQJMMOOQNOPMRNPQQOLRMLLQQPNQPPPPRMQOMOQPRMNKPNKQPROOMOPQRLQNOPMLPQMRSQMONNSPROPLPMMQOPONKOMOPMMMKKQOLPKMPOSMMPROMOPQPPPWLQNPQOONOPPPMLNLLNQJLKPMOPTQOTMNPQONMNQNSNQQNMKNLRSSLPSLOKILOPNNPKNKNOLRTLNROPLPPOTSPSNMMONRMLPMQNNQNOLPPMSNSNOLMRLLNPOKQGOXPONPVLNNKPOPOOPOPORMOL
utc	name: UTC, Universal Coordinated Time (time standard)	Variants: {ubutycys}, {ubu}{ty}{cy} (may or may not be prefixed with {li'ai}); {u'y} and {uy} are also sometimes seen in place of {ubu}. See {detri}, {tcika}, {detcacryvu'u}	cmevla	Universal Coordinated Time		LLPQNMOMSKSNPQONOLONOOOPQPOPRPKROQOSNMPNPMRPLSQOITPOKPUTNPNNLTMQORNPRNMPOQMOSNNONTOMQPMRQLLOQPMMSRNNPRNTPNMLPONLMHLPINPQKPMKNROONPPMOOLONNPMLOMPQRQONRMNOOQOOPPNKOPNONNQQNJORMOLQMMPQNQLRPKROKPNQNONRRONPRQMUQMRJMMNKPTOMLJPRRKOQOMPOKOQPSNKOLPQSONRRJMMROPONRJOQRJPMMLNNONSLSKMMPPKQMPSONNNSLORLOPLPNPSILKQRQLPNQOTIRTTMOMRKRNOONOMNMNMUQQOLOPMKPNONQRMLQMSNMOONMKONPNPSKLSQPPONMNQNKPSOMQKORMM
uudj	Łódź (Lodz)	City in central Poland, capital of Łódź Voivodeship. Alternatively {uutc}.	cmevla	Lodz;Łódź		QQOROMQLMONMQPOORPPONMTQQOOSNLLRQNQNQRKRONLPMOMNMRNLONNNNTMPTNJPRLQPLKSJMORLONOQSQLOMPMQPONQLMMROOQQRJSNONNNMOOQOOPQROONLNNQRQNOPMKTKQQPHNRKRLNPPNMPQQLOORMOQNSQQPNPLOOIPLJUNQKMQKPOKQKTNNRQPQMRSHNPSSRLRTPNMRQROPLNPPPLLRNOPKOOQOMPMPONNRNJNQPPQLNSIMNQLLNLKQHMOONOQNLNIQNSSOOMNOSPNOROKNQOPOKQPRMONMNRPOMPPVOOROLNPMQQNOORMQQOONKPRLROPSMSNOQOOPQUPRHRPONMRKPOONPOQOMONMPOJMOJQMLOPNRLQLMNQPPP
uutc	Łódź (Lodz)	City in central Poland, capital of Łódź Voivodeship. Alternatively {uudj}.	cmevla	Lodz;Łódź		QQOROMQLMONMQPOORPPONMTQQOOSNLLRQNQNQRKRONLPMOMNMRNLONNNNTMPTNJPRLQPLKSJMORLONOQSQLOMPMQPONQLMMROOQQRJSNONNNMOOQOOPQROONLNNQRQNOPMKTKQQPHNRKRLNPPNMPQQLOORMOQNSQQPNPLOOIPLJUNQKMQKPOKQKTNNRQPQMRSHNPSSRLRTPNMRQROPLNPPPLLRNOPKOOQOMPMPONNRNJNQPPQLNSIMNQLLNLKQHMOONOQNLNIQNSSOOMNOSPNOROKNQOPOKQPRMONMNRPOMPPVOOROLNPMQQNOORMQQOONKPRLROPSMSNOQOOPQUPRHRPONMRKPOONPOQOMONMPOJMOJQMLOPNRLQLMNQPPP
uuZIT	Wuzzy		cmevla			JMRNLKUNNNOLPOMSPKHOPROPOONQQMLQRQQLNPPUOPNRSPOOMSMKPNPPOOONOQNPTNKNPLQNQNPPTNRRNMONNMNMJPMQROKOSRLVPPRNPOMTNNLLQQNQLSLJQMOOLLMORPMPTOPOMPRPOOPPILRTKOLOKPPKNQOOLLNOPNMQPOOQPSPRMPLNLNPMRPMRJPOOKMOOROKPTJNKQOPJRNQLOMOJOPJORPMORPLONPRPPOSOQPOROOMPNMLNORNNUPPLILPQNNPONNQRPSOOMUNMPSNOOPNOLOQQMMNOLLQONMPMPQOQORRSOMUPMLLRQQPOMSQOQQLPONTQMROOMOQOLPNSKQNQOQOSONKNMPQQMMOQNLSJMNMNQPROQQMSSQOM
uxanes	ʻuhane (Hawaiian), soul, spirit, ghost		cmevla			PPKPLNRHRPTJNNQQPPPOQRNSRNMPSJLQNOPUMROOMOQNNNKROONMMRNJNSPMOPRQMKOMOOONROMOOLMSPQPNNQKRJNMLSNQQLRMPNOMOONMLPOLNKMSQONNLNQSPPLOOSPQLQLMKNPOPMOMQLNONNUOQMOPLNQPNQOLMLMMLPLMOMNPQMQJOPNMKTPNQNKRKMLQPQKPKPQNOPNKTLQMQOORIPOKPSMLOPPQPRLPQPNPOPQPSSQQTMQJQNQSMOOOPNQMNORJMPQOOMQPRLLOOPQNOKRPPPMPQMSPPLONPKSOOMKQLKOJOSNNRQOLTNOPOONRLSNSQKQNOQNRNPUQKPSRKNQQMPPTTMJKPNLNOPPONOMRNOOQPNORMPNRMVNSM
tu'u'o	General-purpose right-bracket for arbitrary grouping of Lojban text; end highlight / selection marker.	{tu'e'ei}…{tu'u'o} is a general-purpose parentheses or grouping brackets.  It explicitly supports {xi} subscripts to create new bracket pairs, and it explicitly does not require a UI cmavo or other indicator to follow.  It does not override groupings already specified in the grammar, e.g. tanru, but since it provides a grammatical marker to select a range of text, it can be used e.g. to explicitly specify a range of text for an attitudinal to apply to.  These brackets / parens simply add tokens or markers to otherwise grammatical Lojban text, and the terminator {tu'u'o} can be used for selecting a desired range of text to apply a UI too after the terminator, even through multiple layers of terminators.  Otherwise, these general brackets can be used to select or highlight text, as general indicators that a range of grammatical Lojban text is marked for some reason.\n\nni'o {tu'e'ei}…{tu'u'o} can cross through arbitrary terminators and tokens, e.g. «.i mi broda lonu tu'e'ei brode kei .i do broda tu'e'o brodi lonu brodo kei» is grammatical.  Thus {tu'e'ei}…{tu'u'o} function grammatically more like UI than TO…TOI.\n\nni'o Example: optional brackets (e.g. like ‘[]’ or ‘()’ in the sense of ‘optional’): « .i lo'u« mi broda lo brode [ku] »le'u cu dunli lu« mi broda lo brode {tu'e'ei} {ma'o'ei} {narbilga} ku {tu'u'o} »li'u ».\n\nni'o Synonym: {fu'o}.	experimental cmavo	close parenthesis;end highlight		KPROPPOPSKQMPPUSNMPLRRLPPSQORRJORPMSPMQNNKRQPQNOIRPPNQROLKQNORNPNKNNQSNLPSMOUOPMOQRQQPMNRSRMTPKNOMNPSPONKJQLPLNLRLJMNPQRONLPPNKOSLMMLOJOGORMLQPOOPNOMPNRQUSNMQMKOLPOMORONOLQOONRMLNNQPQNNRMMLOQONLKNQPOQORMKPOONNNPMONSKLMLMMPNOOPMNLKROORNPMMQQMOMNQLOQLRONNPLLNMLMQPOOQNPUOQRONMMLQQLMPNNNNNQPQOSQPKQOMMJQRPNROOPPMLSXNPLQPPNOIJLLMONNRNQRJLROPQNQPNMPMRLPNPPRRPPRMMSPRLKRNOOPMKPKNMMPTPRLUSOO		UI3e
ty bu	letteral for þ (thorn)	See CLL 17.5 (https://lojban.github.io/cll/17/5/). Eth (ð) is {dy.bu}.	bu-letteral	thorn		LRQMNNPNPNSNQNMQKPOLPRRNQQONPLOQOMOQQNQPPMONKPMRLSRMOMQJNOPOPQMQMKSNJOQMPPLPQMPNJQQQPPPMPNPLPRPTQSIPPPNONMKLMNRKOLPNMOUPOQLQLPQOQRNJNLNOKKMPOKMMSNMOSROPKQSLTQQMROMNLONORONONPOMOLONONQOQPNPPPWROHLLOPOPRRQNPMMOIONOSJOLLMNONMJOPORTLNQTPQNOONSNUSOPLMMPQPTILNOMNQLPRQONQOQPNKMQNOROQMMMKOMNMLNPNPJLMNNNLMQNPMOOLOJOQLRWRPQONQSOMPMNROQMPSPQNLRRPQNNRRNPKQNLNKSQPKMROORURMOOLPNRNLOPPNNRRLPOUNPR		BY*
u'e	attitudinal: \n{u'e} - wonder\n{u'enai} - commonplace.	See also {manci}, {fadni}.	cmavo	wonder		OPPONQTORNTNQPNNOLLPPOQROONNPPKSONORSOPNLLOOOQNMKONOKPQRMLQQLSNSOPLNMTOQQSPPPKMQMQNQPMNOQPOONPQPPHOPRPQRMMOMPNNINLKQMKMJPQNONMTOTNPNNONQMRRNKPNQOPOQPQPMONPNOQRONPIOOQRPRNNRPTSOMLLPNOPKQQMPOMOORNNJOQQPLOMMQPQPLOOPPNUJQOMMQLJOMNOVOMNPNVLOOOTQSOLSRMMLOUPLKOINMNMQMOIQLNNTOOLMMMONPMPQMLMNVNLPOPOPMMMNKKJRQQQRNNPLNLRVOQNRKOROJPNPPMPOQQKMORQOPPLRORNKJQPRPPPNNLLONOPKPMPTOMOPNQMOPJQPROKNUQMN		UI1
ue	attitudinal: \n{ue} - surprise\n{uecu'i} - not really surprised\n{uenai} - expectation.	See also {spaji}.	cmavo	surprise		MPRRQOQOTNULQMMMNMMNPQQQRNLOONOOONOPPOPPLMRRPPKOJOMOLMOOMKPMKSPNMOPMOSPPRSPNTQKQMNMNPOKPMQLMNSOPOIMQQUNPLKMMPNOIMKKTMOLNQUMONMSORLPQPOOPMUOQLOLRPPNQOSPLOPOQNQOONOIKKOSOPOLPPQPLOMNOSRSLPTMPOLOMNNNJPSPOMPLNMNVNPMPROQRONPNMRNOONQLQLMRQNSMNNQRPUROTONLMORTLJMIMLPMNNOKOOONQOPNMMQLOONNPMLOOQONPMOPQQQPQJMKPNRPMOPNMPNTQRROTMQSONQMMPONOMLPPPOQOPQOOOSOHLPNUMMPJMLKOQLSKOLRTNMQNPPONLLSSPOLOUNKO		UI1
uaigry'eiksyspe	$x_1$ is the eventually-to-be ex-spouse/divorcee of $x_2$.	As in a pending divorce case. Technically, a future marriage-terminating death could count for these purposes too.	lujvo	future ex-spouse		LNRPPORMXOVQSNOQMLMRQRMOPMNMQRPPLPMPOOPMLLRNOPJLKQLMMSRNNOLPOSPNPOQMOQOMLSKQWPNNKOQNMQKONQMMRRPPOOMOMOKQNNLNPKNIOLMULPSNMSIOOLROPLNPPPKPOOROLMPONRMORPOOLRPRMOMPPLMOKQQQONMPKJSOQMRKOQNMMOLPPLQSMMONSMOPVPPLNNRTNQNPRPQMMPMNQQOOMPMMQLQRMMOMQTNMPKMQNMLOQQQPLLNLPPQKOLPMQMQSQPPNRPPOORNMLPMOPOSRLPOPMNPOHNPLOKRNKOMRMJMSRNLMMOMOOOOINNSMSPPQOMLLRNPOLMPLKRSRMNPPSOLOPMPRQNMSOLPOKOPNMKOQQRLPSQSO	uaigry'eiksyspe
uaigrynolraitru	$x_1$ is the future (but not current) regent of $x_2$ by standard $x_3$.	Can apply to an heir-apparent, or their heir-apparent, or in a retrospective to a person who becomes regent in a previously unforeseen manner. The "future" part of the description "once and future king" in reference to King Arthur would be sufficient to make Arthur a supposed uaigrynolraitru.	lujvo	future king;future queen;future regent;heir-apparent		IPPNMQNNUNRNSNLQLNNOQQNQNMNOSRNMJPLSOQROONQOSPNNKNNLQPPQNJQLNRSMKNOONQLNONLNUQNONNMONOMKNQPKSULROLMPNQNRLMPKPLNJNOMTJNMLPRPOPMNOPQOPOONPOOQNGNNQNOOOOSOPOQQOMQNONINLLNQRNKNPLMRPMMMLNPOJLQMNQKPTLLPOQONQQPONPQORMRNPRLULQQJMQRLOOOPNPLRRMLIQPQQNQOLQONKNNRQQKNLMONMOPIOQQLOOPOMOTOQRSRSONOPRPLQOLPQQQOUOLMMPONQLKOQJNLTRPJNNMKPOMPQKMMNLOPPORKPOLQPONQPIKNPOLPQPRLOPQKSPRLLTPORQNPPOQMOQQRMOTPQR	uaigrynolraitru
uaigryspe	$x_1$ is the fiancé(e)/fiançx/betrothed (future spouse) of $x_2$ according to custom/law/agreement $x_3$.		lujvo	betrothed;fiancé;fiancée;fiançx		LRPPMNTNUOSMSMOONKLROMPOONPSOQQPORMOOPNMLJRPQRNPKQKNNTSRONNOQTPQJMONPOPOMRMNTOPKKNQOMRMOOPMMRONPOMKQMQKSNRNNNKNKPLMSJORPMRKOQKOOPQOQNQNNJNROJQNRMRKPQRMNMQRQOQMPPMOPOLKTNMMPINQPTLOMTOONONMONNMQKKONRQMQSQPOMMOQLSNPOMPPOQKOQNMOKONTQLTPPNMKQNSMOLOSQLLQOQUQNNJMLNQPJNNMNLOURNNPSPOOOOQNNNRQSNRTLPMNOPRMLNRMMMRQMNPQMJMRRPNOMMOOLNQKMMSIROPQQKOLSQNOPOPKLQQQNPLOQLMROOSRRLOPNOQONMNLMMLPROPLPQSM	uaigryspe
uaigri zei eikse	$x_1$ is a not yet but soon to be former $x_2$ as of time $x_3$ according to standard $x_4$.	If a divorce is going to happen but has not yet happened, then the spouses are mutually .{uaigri} {zei} .{eikse} {speni}.	zei-lujvo	not yet former		LNSPOQOKVNUNSNQRNLNPNQMOQLOPQSOQKSNPORQNKKQMMQKNLPKOPPTRNMNMOSOOPQPOPQQOMOKMVRPLIRPNLPINMOPPSROMPQKQLTLPMNOMONOIOKMPLOPPNQLONKRONMNOJOKNKMQQJLLOOOPRNPOQLORQLPKOPLNPKPMOOMMLMKNMOORMNRNKLPMPQKNPNOPOPNORQPQLQOSTMPMPRPQNNSLOSNSOPROMRKSRLNNKQQOSTNOSQLLONPSRJMNKLONJLJNLONNQPPNNQNQOQOOOPPOPONPSMNNPNORNKLOOMNPMLPNRMMRPQPNOPONOPNQHNOSKQORQMLNNRMONNOPPJRPNMMPQRMOORNQOPNKTPMQPJMOPNKPSSSNNUPRP
ubutycys zei cacra	$c_1$ is $c_2$ hours in duration (default is 1 hour) by the Coordinated Universal Time (UTC) time standard.		zei-lujvo	UTC hour		ONRPOMOORLSMPPONNIMNSOOQROQOTRKQSROQRMPNPKROMTNMLTRTMNSRLRPOMSOQPPKOOMLNKPMLTPQMOQQPRQOUPOPMORNNRTNOQOMRPMOPNPNKOINSKPQNNOLKMPQOMPOKMOLONPONINLRRRPNPMMOPOONNPOOLQOOQQOPQONLONPKQPNORNRMPPJRPLQNOOONQOONTRMLSPNTLQNLNOSOMNJNQRKOQQLPLMRVPQOMMMPOUOLRRLLMSPRNNOLNMPILLOONPMLRMSNLMOPKSPQPNMPNQKNQJPQOONPSIMJOPPOOMOOOJORUMOLQKRNONMNJOONLTQSMMKMMMOPNQOOLKQORNNPPOLLLNMPRSKKONOOQMORQNKQSQNPMOTKM
u bu zei sance	$x_1$ is a close/high back rounded vowel sound produced by $x_2$.	Synonyms: {usnce}, {usna}.	zei-lujvo	close back rounded vowel;close back rounded vowel sound;high back rounded vowel;high back rounded vowel sound;U sound		OIQNKNRMRMUMSLSPOMMNOUPQQPQOQQLPNMORQNQMKLQPNRKMKNOPJPPPNPNQLQTMNPNLOQNPLQLLTONPLPONMQMLMPMPPTNNSOOOPONOPPOOSMPJPLNQLLNNNQKOPKOOQSOMOOLNKPQNIMQNOQIONQQQONROLPPOPOIMNPOPNPKQONNLOHQNPSPKQPKOOLRLKJMQQORPSQPMOPSONPJKPOQMNNHOQPKONTNPLOUPOOLLNMRMSPPUQIOPMPNPRONNPKLMNLNLPKPRQQNOMMSORRKOPNOONKSPKRQPRMLUOPONLKPPMQNNNMQSNPPROMPOMNSMPPNNUKONMOMPMRSMPROOMPMSKNPNOMOOPLPRTNPRQORMOOSOOLPSNPNMTSPR
u bu zei zunsna	$x_1$ is a voiced labiovelar approximant/glide sound produced by $x_2$.	{zi'evla} synonym: {uasnce}. Cf. {ubu zei sance}/{usnce}/{usna}, {ibu zei zunsna}/{iasnce}, {zunsna}, {nalmosysna}.	zei-lujvo	voiced labio-velar approximant;voiced labiovelar approximant;voiced labio-velar approximant sound;voiced labiovelar approximant sound;voiced labio-velar glide;voiced labio-velar glide sound;voiced labiovelar glide sound;voiecd labiovelar glide;W sound		LLTLJMQPPKUIRMPQQPQPQSPQSROPRQMPONPPNNSNKLRONQLKKRLMMQMNPPQPORTPMOMLPRPOLNJOVLQNNNMMNRLMOOKNMQNMQPPPPONONNLMRMNIQNLRMNNOORKORJNORQNMPOLPJMOQKPNPONLLPRPQOPQOLRNMNLMPNONOONLONMOOQIPMQSQHOOKQQNRNOKMPROQQSONLLNNQJPLLNNQMNNGMMPMOMUPRLOSULOKNPNQNPMPSRLJRNRONOPNMNJPPNQPLOMOPPPPKONSMQQMQMMMOOLQOKSNMSKPUMQNNLKPPQOSQNNOSMOPRNMPOMLOMMPONSNRMOPOQPSOOMPQKLNLPLOMQPMNPLHQQSONQRNSKOQOPPMPSMPMORRSM
uafli	$x_1$ fails to understand / figure out $x_2$ (du'u) about $x_3$.	A {uivla} based on {ua} and {fliba}. The implication is that x2 is a correct understanding of x3, but x1 fails to achieve it.	fu'ivla	misunderstand		OMQOPKRMQOTKTPQPKNLOPOLPOQMPTOMNNOSRQOQQNPRKPQNPONKPNOROKSLMQRRPRNMKKTLMLONPTOONMOQPNLPJMPPMRRTQSKNRNTOMOLNNQNQJOQNRPOONPOPPPJOOLPMMMNMRNSQPLRQRNQNQQNLOKQTPNNNONOJMQNNONPNLQMQJMNOPSRTJJQOQRLORJPKLOPMOQPQLNORNOOSPJPRMNKLMONPOLTPLMMRLPNMNLPMNSLMRRNJNNTQMNMLNMQNNKOLNONMQRNSQQMPMRPOQRNJPNPQTMRLRSNQPMKPSHLNLNPQPNONPNMQOMQOOLPPLMQNMQMMMNPMSOPMOMNNMNQKTMNPPSOPLQOOLRONRRPNMMMSQONQOKRLPQUQP
uaigri	$x_1$ is a future but not current/eventual $x_2$ as of time $x_3$ according to standard $x_4$; $x_1$ is a soon-to-be-$x_2$; $x_1$ is an example of an $x_2$-apparent.	Actual soonness is not implied; that wording is just an artifact of English translation. $x_2$ should be a role or possession of a property; unless $x_1$ is an or could be an event, it should not be one either (more generally, they have to match type in a sense). Use of this word is, inherently, a prediction about the future; $x_4$ is not the standard by which the expectation/prediction is presently made but by which anyone/anything next becoming an $x_2$ would/will be judged. $x_4$ is the standard by which $x_2$ will be claimed (to be) but by which $x_2$ is claimed to currently not be; commencement/assumption of the state of being an example of an $x_2$ must occur in the future but must still (in the present) not apply. It may have been true of/possessed in in the past, but this case is not considered, under normal circumstances, to be resumptive: the state may have been done/terminated (but not necessarily finished) but definitely/regardlessly will be started anew. This word is good for the titles "President-elect", "heir-apparent", and "crown-prince". See also: ".{eikse}".	fu'ivla	-apparent;eventual;future		LMTRSOLMTPSLQOPOOJOQPPNPQKPNQRMPMPNRQNQMLJQOPRQNJMJOQNPSNNNJNQRLMSONPPPPMONNWQOOPQPMMRKQOORKOSOPPLMNOSLQOMPMPMRHNKKRIPNPOSMLPKPONMKOKOPPOMOOGROONOQPNPMKOQSQLPLQPLLOLQQLOPKNOLONMMQMMPQLOPKPNLQOLNPPOOPOPPQNROQVONNPPPWOOOJMPRLOPQMOMKQPNOJMKOPPRLNROKKNNPRQKOJNOPNOQJNMQNKONPNNQRPPRPPPLNMQOOQPMPPOSNRRIOKNOQSOLRPLNLRQPNKOKPNOPPRLNOQMSPSNMOMPMMOORPPJNPMRJPONQLPNQLROSOLSOIQNNOQONKPSPQOMRPPP
uakci	The sight of $x_1$ makes $x_2$ believe that what they perceive (including $x_1$ itself) isn't real		fu'ivla			NLSRRKOMUNTKSNQNNOONOONOQMONQPMSLPPTQNQNLMSMPRPQMOHQNOOPNOONQUQNNQONPPQQLPMNQNNONSQPPRMMLROKKQOMPPMMORLNPLQMPNQINMMQKMJMMQPPRJNOORQHONMPOQORJRPQJOMPNPNMMQSTKQNRNOJLPPPPQPJOMQOLJKPQRQQLOQNNOKRQLNNMNPOPONMJNOQSPLROQPTMNMJKQMIOKSQMLLROOQLLKTOKUQMQRNKQMTSLOMNRNPONKPPLQKKOONQOMOOOPNNNQOQOSONPOPQSSOQQNNLQKOQRNNQNPNLRMQMNKQOOPNRNNQPPPMPLKQOPNNPPRQOMLRIQKOSMOPONQPQLQONTONQNOTQQPMPOPSLOTROP
uakmaio	$x_1$ is a macaw of species $x_2$	May also include conures. See also {spitaki}, {babgalo}.	fu'ivla			MORQNJRMQPUGPPOQQMOPRUNPMNMNQOIPORRRQMRSMQSPMNJPNPIMLQTPJHOORSNOLMMQQOSPPNLQSOPMHPQMRQNMIOPMONOQQPJONOPOLLOPQNNJRONQKNRKQSNNSNPOPNONPMLOINMOIPOPNPOPNRPNMMOLLRSMOPIOOKJRRONMNJOMMNPQTOMOQONROOPNQMOOPSKOQNNLPNLPNOOQLRSORPMOMLMOMONQKQQOMILPOJSPPONMOOOMORQPNNOQOOJOLNPRQNPVNRQMPPSNOKQPJOQOLOOPPPLQOLOSKNONMMQTMPQOPMOVQQJPNKROMNONMPMQQRQQMPNPPNNMMQNQMPMPMQONPOROMPQOQNLRMPPRMOPOSOKPSMPPSOSR
ualdo	$x_1$ is a waldo, trackpad, touchpad, a remote manipulation slave device that mimics the motions of $x_2$ (master device)	Includes 'computer mouse'. Usually master device is a person, operator or a device manipulated by such operator. See also {xance}	fu'ivla	mouse;remote manipulator;telefactor;telemanipulator;touchpad;trackpad;waldo		KJRMNLSMQPVQSNORPOQNPPNNKOOJQPLPNQNPOLMMMNSMQRLPLPMPQPPQRMRROQPNQNMNPQOKNSMIQOQQJOOOPPLPOOMLONOMPPLOPONNMNOLRMOILNONNQPRNOKOQNNOPOPLQQPNNPRNIRQLNRNMOSMQRRNQSQLPJMLOPJOPLLNLJMRLQIMNQJRHNQOQNLPRQLROSPMOROPMKPKPJPNPOKNONNLNLRIOJRQPNMQPMMLNNNRTQPMNROTQNQQPRPPPPQRNNQPMRNRQRLLOOPNNQJKONLQNRLOUKRQSNPSSQQOPPLPLQORONOOUONMNIPNOMORJNPMMPOOMNPTOOPPPRORNLQLSMPQONRMNOKQORMLRONPJNPMNRMPONMNNSTPP
