@rowCount	5743
w	d	n	t
stick figure	[object Object]	(a simple drawing)	n
sticking plaster	band-aid	(adhesive bandage)	n
stick note	{post-it note}		n
stick out	stick it out	(to persist)	v
stick out like a sore thumb	diferenciar-se entre outros	(be very noticeably different)	v
stickpin	tie clip	(pin to hold necktie)	n
sticky note	{post-it note}		n
stiff	dolorido	(of muscles, or parts of the body)	adj
stiffen	endurecer	(to make stiff)	v
stiffly	rigidamente	(in a stiff manner)	adv
stiff neck	[object Object]	(discomfort or pain when trying to turn or move the neck)	n
stiffness	[object Object]	(rigidity)	n
stigma	[object Object]	(part of the pistil)	n
stigmatize	estigmatizar	(to characterize as disgraceful or ignominious)	v
stiletto	[object Object]	(short sharp stabbing weapon)	n
still	ainda	(up to a time, as in the preceding time)	adv
stillborn	[object Object]	(dead at birth)	adj
still life	[object Object]	(work of art)	n
stilt	[object Object]	(walking pole)	n
stimulate	estimular, incentivar	(to encourage into action)	v
stimulation	[object Object]	(pushing or goading toward action)	n
stimulus	[object Object]	(in psychology: anything effectively impinging upon any of the sensory apparatuses of a living organism)	n
sting	picar, morder	(of an insect: to bite)	v
stinger	[object Object]	(pointed portion of an insect)	n
stingray	[object Object]	(fish)	n
stingy	avaro	(covetous, meanly avaricious)	adj
stink	feder, tresandar	(have a strong bad smell)	v
stinkbird	{hoatzin}		n
stinking	[object Object]	(bad smell)	adj
stinky	[object Object]	(having a strong, unpleasant smell)	adj
stipule	[object Object]	(basal appendage)	n
stir	mexer	(to incite to action; to arouse; to instigate; to prompt; to excite)	v
stir-fry	refogar	(to fry something quickly in hot oil)	v
stirrup	{stapes}		n
stirrup bone	{stapes}		n
stir up	fazer agitação [Brazil]; provocar [Portugal]	(to cause (trouble etc))	v
stitch	sew together	(unite by stitches)	v
stoat	ermine	(stoat)	n
stochastic	estocástico, aleatório	(random)	adj
stock	[object Object]	(supply of anything ready for use)	n
stock exchange	[object Object]	(building and the associated organization)	n
stockholder	[object Object]	(one who owns stock)	n
Stockholm	Estocolmo	(capital of Sweden)	prop
Stockholm syndrome	[object Object]	(psychological condition)	n
stocking	[object Object]	(garment (for translations of "sock", see sock))	n
stock pigeon	[object Object]	(pigeon)	n
stockpile	estocar	(accumulate a stockpile)	v
stoic	[object Object]	(proponent of a school of thought)	n
stoichiometric	estequiométrico	(of, or relating to stoichiometry)	adj
stoichiometry	[object Object]	(the study of the relationships of reactants and products in chemical reactions)	n
stoicism	[object Object]	(school of philosophy)	n
stoker	{poker}		n
stole	[object Object]	(an ecclesiastical garment)	n
stolen	roubado, furtado	(that has been stolen)	adj
stomach	aturar	(to tolerate or accept something)	v
stomachache	[object Object]	(pain in the abdomen)	n
stompie	butt	(cigarette butt)	n
stone	apedrejar, lapidar	(kill by pelting with stones)	v
Stone Age	[object Object]	(prehistoric period)	prop
stoned	chapado, doidão	(high on drugs)	adj
stone fruit	[object Object]	(fruit with soft flesh and a hard pit)	n
Stonehenge	Stonehenge	(ancient group of standing stones in England)	prop
stone marten	beech marten	(Martes foina)	n
stonemason	[object Object]	(one who works in stone)	n
stoner	[object Object]	(a habitual user of cannabis)	n
stoning	{lapidation}		n
stooge	{straight man}		n
stool	{footstool}		n
stop	parar	(tarry)	v
stopped	[object Object]	(not moving)	adj
stopwatch	[object Object]	(timepiece)	n
storage	[object Object]	(the price)	n
store	armazenar, guardar	(keep (something) while not in use)	v
storeman	{warehouseman}		n
storey	[object Object]	(floor)	n
stork	cegonha	(large wading bird)	n
storm	irromper	(to move quickly and noisily)	v
storm in a tea-kettle	[object Object]	(big fuss made in a small context)	n
stormy	tempestuoso	(of or pertaining to storms)	adj
story	{storey}		n
storyteller	[object Object]	(person who relates stories to an audience)	n
stout	{obstinate}		adj
stove	[object Object]	(heater)	n
stovepipe hat	top hat	(stovepipe hat)	n
stowaway	[object Object]	(person who hides on a ship, train, etc.)	n
straddle	[object Object]	(to sit or stand with a leg on each side of something)	v
straggler	lanterninha		n
straight	[object Object]	(part of a racecourse or running track that is not curved)	n
straight away	right away	(very soon; immediately)	adv
straighten	endireitar	(make straight)	v
straightforward	fácil	(presenting few difficulties, easy)	adj
straight man	escada	(supporting comic)	n
strain	[object Object]	(to separate)	v
strainer	[object Object]	(utensil)	n
strait	estreito	(narrow channel of water)	n
straitjacket	[object Object]	(a jacket-like garment)	n
Strait of Gibraltar	[object Object]	(Strait of Gibraltar)	prop
Strait of Magellan	[object Object]	(Strait of Magellan)	prop
Strait of Messina	[object Object]	(narrow section of water between the eastern tip of Sicily and the southern tip of mainland Italy)	prop
strand	encalhar	(to run aground)	v
strange	desconhecido	(not yet part of one’s experience)	adj
strange quark	[object Object]	(strange quark)	n
stranger	[object Object]	(person whom one does not know)	n
strangle	estrangular, sufocar	(to kill someone by strangulation)	v
strangler	[object Object]	(someone who strangles)	n
strangury	estrangúria	(painful, frequent need to urinate)	n
strap	[object Object]	(specifically, a strip of thick leather used in flogging)	n
strappado	[object Object]	(form of torture)	n
Strasbourg	[object Object]	(city in France)	prop
stratagem	[object Object]	(tactic)	n
strategic	estratégico	(of or pertaining to strategy)	adj
strategical	{strategic}		adj
strategically	estrategicamente	(in a strategic manner)	adv
Strategic Defense Initiative	{Star Wars}		prop
strategus	[object Object]	(leader or commander of an army)	n
strategy	[object Object]	(science and art of military command)	n
stratosphere	[object Object]	(region of the uppermost atmosphere)	n
stratovolcano	[object Object]	(volcano)	n
Strauss	[object Object]	(surname)	prop
straw	{drinking straw}		n
strawberry	[object Object]	(plant)	n
strawberry tree	[object Object]	(translations to be sorted into the preceding tables)	n
straw hat	[object Object]	(a hat made from woven straw)	n
straw man	espantalho	(doll or scarecrow)	n
stray	[object Object]	(domestic animal at large or lost)	n
strayed	stray	(Who has lost his way)	adj
streak	[object Object]	(continuous series of events)	n
streak-backed antshrike	(Brazil) choca-de-roraima	(Thamnophilus insignis)	n
stream	[object Object]	(small river)	n
street	[object Object]	(paved part of road in a village or a town)	n
streetcar	{tram}		n
street child	{street urchin}		n
streetlight	[object Object]	(the light produced by these lights)	n
street organ	[object Object]	(mechanically played steeet organ)	n
street-smart	malandro	(having practical knowledge)	adj
street urchin	[object Object]	(child living, or spending most of their time, in the streets)	n
streetwalker	[object Object]	(prostitute who looks for clients on the streets)	n
strength	[object Object]	(quality of being strong)	n
strengthen	fortalecer, reforçar	(to make strong or stronger)	v
strength tester	{high striker}		n
strenuous	urgente	(urgent)	adj
stress	enfatizar, acentuar	(to emphasise (words in speaking))	v
stressful	estressante	(irritating; causing stress)	adj
stretch	esticar	(pull tight)	v
stretcher	[object Object]	(simple litter designed to carry a sick, injured, or dead person)	n
stretch out	estirar-se	(to lie fully extended)	v
stretch the truth	exagerar a verdade	(idioms: to exaggerate)	v
Streuselkuchen	[object Object]	(cake of German origin)	n
strew	espalhar, esparramar	(to distribute objects or pieces of something)	v
Stribog	[object Object]	(Slavic god)	prop
strict	tenso, teso	(tense; not relaxed)	adj
strife	[object Object]	(violent conflict)	n
strike	parar, paralizar	(to stop working to achieve better working conditions)	v
strikebreaker	fura-greve	(worker hired to replace a striking worker)	n
strike while the iron is hot	malhar enquanto o ferro está quente	(act on an opportunity promptly)	v
string	encordoar	(put strings on)	v
string bass	double bass	(instrument)	n
stringed instrument	[object Object]	(type of musical instrument)	n
string instrument	stringed instrument	(musical instrument that produces sound by strings)	n
string quartet	[object Object]	(group of four string players)	n
strip	[object Object]	(series of drawings, a comic strip)	n
stripe	[object Object]	(long straight region of a colour)	n
striped	listrado	(having stripes, decorated or marked with bands differing in color)	adj
striped alder	{American winterberry}		n
stripper	[object Object]	(one who removes one's clothes, especially as a form of paid entertainment)	n
strip poker	[object Object]	(variant of poker)	n
striptease	[object Object]	(arousing act)	n
stripy	{striped}		adj
strive	esforçar-se, batalhar	(to try to achieve)	v
stroganoff	[object Object]	(dish of sautéed pieces of beef)	n
stroke	acariciar	(to move one's hand or an object over the surface of)	v
stroll	passear	(wander on foot)	v
stromal	estromal	(of or relating to a stroma)	adj
stromatolite	[object Object]	(rock-like structure built by microorganisms)	n
strong	forte	(highly stimulating to the senses)	adj
strongbox	safe	(sturdy box with a lock)	n
stronghold	fortaleza	(a fortress)	n
strongman game	{high striker}		n
strong nuclear interaction	[object Object]	(strong nuclear interaction)	n
strong point	forte	(excellent characteristic or ability)	n
strontia	[object Object]	(a pale earth composed of strontium oxide)	n
strontium	[object Object]	(chemical element)	n
strop	{bad mood}		n
struck	[object Object]	(hit - past tense)	v
structural	estrutural	(of, relating to, or having structure)	adj
structure	estruturar	((transitive) to give structure to; to arrange)	v
struggle	lutar, debater-se	(to strive, to labour in difficulty, to fight)	v
strumpet	[object Object]	(A prostitute)	n
stub	desarraigar - v.	(to remove a plant by pulling it out by the roots)	v
stubble	[object Object]	(short stalks left in a field after harvest)	n
stubborn	teimoso, cabeça-dura	(refusing to move or change one's opinion)	adj
stud	stud poker	(type of poker)	n
student	{schoolchild}		n
studio	[object Object]	(place where radio or television programs, records or films are made)	n
study	estudar	(to take a course)	v
stuff	entupir	(to fill (something) up in a compressed manner)	v
stuffed animal	[object Object]	(a toy animal stuffed with straw, beans, cotton or other similar materials.)	n
stumble	tropeçar	(to trip or fall)	v
stumble upon	tropeçar	(to come across by accident; to discover by accident)	v
stumbling-block	{stumbling block}		n
stump	[object Object]	(remains of something that has been cut off)	n
stumped	[object Object]	(baffled)	adj
stunning	impressionante	(having an affect that stuns)	adj
stunt	[object Object]	(dangerous feat)	n
stuntman	dublê	(one who performs stunts)	n
stupa	[object Object]	(a dome-shaped Buddhist monument, used to house relics of the Lord Buddha)	n
stupefy	entorpecer, estupeficar	(dull the senses or capacity to think)	v
stupid	[literally, slang] estupidamente	(slang, dated: Extremely)	adv
stupidity	[object Object]	(property of being stupid)	n
stupor	[object Object]	(a state of reduced consciousness or sensibility)	n
sturdy	firme	(of firm build)	adj
sturgeon	[object Object]	(fish of family Acipenseridae)	n
stutter	gaguejar	(to speak with spasmodic repetition)	v
stutterer	gago	(one who stutters)	n
Stuttgart	[object Object]	(a city in Germany)	prop
sty	ascend	(to rise up)	v
stye	[object Object]	(bacterial infection of the eyelash or eyelid)	n
Stygian	[object Object]	(of, or relating to the river Styx)	adj
style	[object Object]	(manner of doing things)	n
stylist	{hairdresser}		n
stylobate	[object Object]	(top step of the crepidoma)	n
stylus	[object Object]	(tool for writing on clay tablets)	n
Styria	[object Object]	(Austrian state)	prop
Styrian	estírio	(someone from Styria)	n
styrofoam	[object Object]	(polymer)	n
Styx	[object Object]	(river of the underworld)	prop
sub-	sub-, so-	(under, beneath)	prefix
subarctic	[object Object]	(of, relating to, or characteristic of the subarctic)	adj
subatomic	subatómico [Portugal], subatômico [Brazil]	(relating to particles that are smaller than an atom)	adj
subatomic particle	[object Object]	(unit of matter smaller than an atom)	n
subclinical	subclínico	(without symptoms)	adj
subcontinent	[object Object]	(large landmass)	n
subculture	[object Object]	(portion of a culture distinguished by its customs or other features)	n
subcutaneous	subcutâneo	(Pertaining to the fatty layer under the skin)	adj
subdomain	[object Object]	(domain name prefaced with additional parts separated by a period)	n
subdue	subjugar	(to overcome, quieten, bring under control)	v
subgroup	[object Object]	(group-theoretical group within a larger group)	n
subject	submeter	(to cause to undergo)	v
subjective	subjetivo	(based upon subjective feelings or intuition)	adj
subjectively	subjetivamente	(in a subjective manner)	adv
subjectivity	[object Object]	(state of being subjective)	n
subjectivize	subjetivar	(to make subjective)	v
subjunctive	[object Object]	(subjunctive mood)	n
subjunctive mood	[object Object]	(subjunctive mood)	n
sublimate	sublimar	(to raise to a place of honor)	v
sublime	[object Object]	(something sublime)	n
subliminal message	mensagem subliminar	(message under normal perception)	n
submachine gun	[object Object]	(short range machine gun)	n
submarine	[object Object]	(undersea boat)	n
submerge	submergir	(to immerse (transitive))	v
submission	submissão	(the act of submitting)	n
submit	ceder, entregar-se	(yield or give way to another)	v
subnormal	denormal	(computing theory: denormal)	adj
suborder	[object Object]	(taxonomic category)	n
subordinate	subordinar, submeter, sujeitar	(to treat as of less value or importance)	v
subordinate clause	[object Object]	(a clause that cannot stand alone)	n
subpoena	[object Object]	(writ requiring someone to appear in court to give testimony)	n
subproduct	{byproduct}		n
subscribe	assinar	(to sign up to receive a publication)	v
subscriber	[object Object]	(a person who subscribes to a publication or a service)	n
Subscriber Identity Module	[object Object]	(component on a SIM card that stores information to identify a mobile phone user)	n
subscription	[object Object]	(the signing of one's name)	n
subsequent	subsequente, seguinte	(following in time)	adj
subset	[object Object]	(mathematics: of a set)	n
subside	esvaziar	(to sink or fall to the bottom; to settle, as lees)	v
subsidize	subsidiar, subvencionar	(To assist someone or something by granting a subsidy)	v
subsidy	[object Object]	(financial support)	n
subsistent	{inherent}		adj
subspecies	[object Object]	(rank in taxonomy)	n
substance	[object Object]	(matter)	n
substantial	substancial	(real, having to substance)	adj
substantive	substantivo	(grammar [?])	n
substitute	substituir	(to use in place of something else, with the same function)	v
substitute teacher	{supply teacher}		n
substitution	{substitute}		n
substratum	[object Object]	(a layer that lies underneath another)	n
subsume	classificar, incluir, subordinar	(to place under another as belonging to it)	v
subterfuge	[object Object]		n
subterranean	[object Object]	(below ground, under the earth, underground)	adj
subtitle	[object Object]	(textual versions of the dialog in films)	n
subtitled	legendado	(a film in which the dialogue is translated into another language, and displayed at the bottom of the screen)	adj
subtle	subtil [Portugal], sutil [Brazil]	(hard to grasp)	adj
subtlety	[object Object]	(quality or act of being subtle)	n
subtract	subtrair	(to remove or reduce)	v
subtraction	[object Object]	(process)	n
subtrahend	[object Object]	(A number or quantity to be subtracted from another)	n
suburb	periferia, subúrbio	(area on the periphery of a city or large town)	n
suburban	[object Object]	(relating to outskirts of a city)	n
subvention	{subsidy}		n
subversion	[object Object]	(systematic attempt to overthrow a government by working from within)	n
subversive	[object Object]	(a radical supporter of political or social revolution)	n
subvert	subverter	(to upturn convention by undermining it)	v
subvertisement	subvert	(piece of subvertising)	n
subway	[object Object]	(underground walkway)	n
subzero	{sub-zero}		adj
succeed	ter/obter sucesso/êxito, conseguir	(To obtain the object desired; to accomplish what is attempted or intended; to have a prosperous issue or termination; to be successful)	v
success	[object Object]	(person who achieves his or her goals)	n
successful	bem-sucedido, conseguido	(resulting in success)	adj
successfully	com sucesso	(in a successful manner)	adv
succinct	sucinto	(brief and to the point)	adj
succor	socorrer	(to give such assistance)	v
succuba	succubus	(a female demon or fiend)	n
succumb	sucumbir	(to yield to an overpowering force or overwhelming desire)	v
such	tal, assim	(like this, that, these, those; used to make a comparison with something implied by context)	determiner
such as	como	(like)	prep
such is life	assim é a vida	(used to express the acceptance of misfortune)	phrase
suck	chupar	(to work the lips and tongue on)	v
sucker	[object Object]	(someone or something that sucks)	n
suckle	mamar	(to nurse; to suck)	v
suck off	fazer um boquete, chupar	(to give a blowjob)	v
sucrose	[object Object]	(a disaccharide)	n
suction	sucção	(the process of creating an imbalance in pressure to draw matter from one place to another)	n
Sudan	[object Object]	(Republic of Sudan)	prop
Sudanese	[object Object]	(person from Sudan or of Sudanese descent)	n
sudden	{surprise}		n
suddenly	de repente, repentinamente, subitamente	(happening quickly and with little or no warning)	adv
Sudeten	[object Object]	(series of mountains)	prop
Sudetenland	[object Object]	(region in Czechia)	prop
sudoku	[object Object]	(a puzzle using numbers)	n
suds	[object Object]	(lather, foam)	n
sue	processar, demandar	(to file a legal action)	v
suede	[object Object]	(type of leather)	n
Suez Canal	Canal de Suez	(canal)	prop
suffer	sofrer	(to undergo hardship)	v
suffering	sofrimento	(condition)	n
suffete	[object Object]	(a magistrate of ancient Carthage)	n
suffice	satisfazer	(satisfy)	v
sufficient	suficiente	(of competent power or ability)	adj
sufficient unto the day is the evil thereof	basta a cada dia o seu mal	(today has provided enough to worry about)	proverb
suffix	sufixo	(letters or sounds added at the end of a word to modify the word's meaning)	n
suffocate	sufocar	((transitive) to kill someone by depriving him of a sufficient oxygen intake)	v
suffragist	{suffragette}		n
Sufism	[object Object]	(Islamic mysticism)	n
sugar	açucarar, suavizar	(to make something seem less unpleasant)	v
sugar beet	[object Object]	(type of beet)	n
sugar bowl	açucareiro	(small receptacle for serving sugar on a table)	n
sugar cane	[object Object]	(species of grass whose sap is a source of sugar)	n
sugarcoated	açucarado	(coated with sugar)	adj
sugarfree	{sugar-free}		adj
sugar glider	[object Object]	(Petaurus breviceps)	n
sugar mill	engenho de açúcar	(machine)	n
sugar pea	{mangetout}		n
sugar substitute	[object Object]	(food additives)	n
suggest	sugerir	(to recommend)	v
suggestion	[object Object]	(something suggested)	n
suggillation	{livor mortis}		n
suicide	[object Object]	(the person)	n
suicide bomber	[object Object]	(one who carries explosives)	n
suit	convir, adequar-se	(to be fitted to)	v
suitability	[object Object]	(quality of being suitable)	n
suitable	[object Object]	(appropriate to a certain occasion)	adj
suitcase	[object Object]	(large piece of luggage)	n
suite	[object Object]	(musical form pre-dating the sonata)	n
Sukhumi	[object Object]	(capital city)	prop
sulfhydryl	[object Object]	(sulfur analogue of hydroxyl)	n
sulfide	sulfeto	(any compound of sulfur and a metal or electropositive element or group)	n
sulfur	[object Object]	(element)	n
sulfuric acid	[object Object]	(H2SO4)	n
sulk	amuar, estar mal-humorado/de mau humor	(to express ill humor or offense by remaining sullenly silent or withdrawn)	v
sulky	emburrado	(gloomy)	adj
sully	sujar	(to soil, stain, dirty)	v
sulphur dioxide	sulfur dioxide	(the compound SO[2])	n
sulphuric acid	[object Object]	(H[2]SO[4])	n
sulphurous acid	{sulfurous acid}		n
sulphur tuft	sulfur tuft	(Hypholoma/Naematoloma fasciculare)	n
sultan	[object Object]	(ruler)	n
sultana	[object Object]	(female relative of a sultan)	n
sultanate	[object Object]	(state ruled by a sultan)	n
sum	somar	(to add together)	v
sumac	[object Object]	(sour spice)	n
Sumatra	Sumatra, Samatra	(the largest island of Indonesia)	prop
Sumatran tiger	tigre-de-sumatra	(Sumatran tiger)	n
Sumer	Suméria	(civilization)	prop
Sumerian	[object Object]	(language)	prop
summarise	summarize	(summarise)	v
summarize	resumir	(To prepare a summary)	v
summary	[object Object]	(condensed presentation)	n
summer	veranear	(spend the summer, as in a particular place on holiday)	v
summer solstice	[object Object]	(the moment when the hemisphere is most inclined toward the sun)	n
summer time	{daylight saving time}		n
summit	[object Object]	(peak, top of mountain)	n
summon	convocar	(to call people together)	v
sumo	[object Object]	(A stylised Japanese form of wrestling)	n
sum up	{summarize}		v
sun	[object Object]	(the star around which the Earth revolves)	prop
Sun	[object Object]	(star)	prop
sunbath	[object Object]	(period of tanning)	n
sunbathe	tomar banho de sol	(to expose one's body to the sun)	v
sun bear	[object Object]	(Helarctos malayanus)	n
sunbed	tanning bed	(tanning device)	n
sunblock	{sunscreen}		n
sunburn	queimadura solar	(burn)	n
Sundanese	[object Object]	(language)	prop
Sunda Strait	Estreito de Sunda	(strait between Java and Sumatra)	prop
Sunday	[object Object]	(day of the week)	n
sundial	[object Object]	(simple timekeeping device which makes use of sunlight)	n
sundown	{sunset}		n
sunfish	peixe-lua	(fish of the family Molidae)	n
sunflower	[object Object]	(flower)	n
sunflower oil	[object Object]	(vegetable oil)	n
sunglasses	[object Object]	(tinted glasses worn to protect the eyes from the sun)	n
sunlight	luz do sol	(electromagnetic radiation given off by the sun)	n
Sunni	[object Object]	(Sunni Islam, a branch of Islam)	n
Sunnite	{Sunni}		n
sunny	ensolarado	(weather, day)	adj
sunrise	[object Object]	(time of day)	n
sunscreen	[object Object]	(a form of sunblock)	n
sunset	[object Object]	(time of day)	n
sunshade	[object Object]	(something to keep the sun off)	n
sunshine	[object Object]	(location on which the sun's rays fall)	n
sun shower	[object Object]	(rain shower)	n
sunspot	[object Object]	(region on the sun's surface)	n
sunstroke	[object Object]	(heatstroke caused by an excessive exposure to the sun's rays)	n
suntanned	tanned	(having a suntan)	adj
sunup	sunrise	(time of day)	n
super	súper	(better than usual)	adj
super-	super-	(superior in size, quality, number, degree, status, title or position)	prefix
superation	[object Object]	(the act of superating)	n
supercalifragilisticexpialidocious	supercalifragilisticoespialidoso	(supercalifragilisticexpialidocious)	adj
supercilious	supercilioso, altivo, soberbo	(haughty)	adj
superconductivity	[object Object]	(property of a material whereby it has no resistance)	n
supercontinent	[object Object]	(very large continent in the Earth's past)	n
superego	[object Object]	(part of the mind)	n
superfamily	superfamília	(group of related proteins or other molecules)	n
superficial	superficial	(shallow, lacking substance)	adj
superfluous	[object Object]	(excess of what is sufficient)	adj
superfluousness	{superfluity}		n
superhero	super-herói	(a fictional crime-fighting character with superpowers)	n
superhighway	super-autopista	(US An expressway especially one designed for high speeds)	n
superintendent	[object Object]	(a person who is authorized to supervise, direct or administer something)	n
superior	superior	(located above)	adj
superiority	[object Object]	(the state of being superior)	n
superlative	superlativo	(highest degree of something)	n
supermajority	{qualified majority}		n
superman	[object Object]	(übermensch)	n
Superman	[object Object]	(a fictional character with superhuman powers)	prop
supermarket	[object Object]	(store)	n
supermodel	supermodelo	(famous fashion model)	n
supermoon	[object Object]	(a full moon or new moon, when the Earth–Moon distance is in the lowest tenth of its range)	n
supernatant	flutuando	(floating on the surface of a liquid)	adj
supernatural	sobrenatural		adj
supernova	[object Object]	(exploding star)	n
supernumerary	walk-on	(person in a play or movie with a minimal part)	n
superpower	[object Object]	(sovereign state)	n
supersede	substituir	(Take the place of)	v
superstar	[object Object]	(very famous person)	n
superstition	[object Object]	(a set of beliefs that future events may be influenced by one's behaviour in some magical or mystical way)	n
superstitious	[object Object]	(susceptible to superstitions)	adj
superstring	[object Object]	(hypothetical physical object)	n
supervise	supervisar, supervisionar [Brazil]	(to be in charge of)	v
supervision	[object Object]	(the act or instance of supervising)	n
supervisor	[object Object]	(a person with the official task of overseeing the work of a person or group)	n
supine	[object Object]	(passive)	adj
supper	jantar	(to eat dinner)	v
supper hour	dinnertime	(all senses)	n
suppertime	dinnertime	(all senses)	n
supplant	suplantar, substituir	(to take the place of, to replace)	v
supplementary	suplementar, adicional	(additional)	adj
suppletive	supletivo	(grammar)	adj
supply	suprir, prover, fornecer, abastecer	(to provide, make available for use)	v
supply and demand	[object Object]	(economic model of pricing)	n
support	dar suporte	(to provide help regarding something sold)	v
supporter	[object Object]	(Person who supports, an adherent)	n
suppose	supor	(theorize; hypothesize)	v
supposed	{obliged}		adj
suppository	[object Object]	(medicine in the form of a small plug that is inserted into a bodily cavity)	n
suppress	suprimir, abafar	(to restrain an expression)	v
suppression order	{gag order}		n
suppurate	supurar	(form or discharge pus)	v
supremacy	[object Object]	(authority over all others)	n
supreme	[object Object]	(dominant)	adj
supreme court	supremo tribunal	(court of law representing the highest legal authority within a jurisdiction)	n
Supreme Leader	[object Object]	(head of state of Iran)	n
supremely	supremamente	(to the highest degree)	adv
Supreme Soviet	[object Object]	(Soviet parliament)	prop
sura	[object Object]	(chapter of the Qur'an)	n
sure	tá, claro, tudo bem	(yes, of course)	interj
surely	certamente, seguramente	(certainly, undoubtedly)	adv
surety	[object Object]	(law: promise to pay on behalf of another)	n
surf	surfar	(to ride a wave)	v
surface	[object Object]	(up-side of a flat object)	n
surface car	{streetcar}		n
surface runoff	[object Object]	(surface runoff)	n
surface tension	[object Object]	(the effect on the surface of a liquid)	n
surfboard	[object Object]	(a shaped waterproof plank used to surf on waves)	n
surfer	surfista	(person who rides a surfboard)	n
surfing	[object Object]	(sport)	n
surf riding	{surfing}		n
surge	[object Object]	(sudden transient rush or flood)	n
surgeon	[object Object]	(doctor who performs surgery)	n
surge protector	[object Object]	(appliance designed to protect electrical devices)	n
surgery	[object Object]	(room or department where surgery is performed)	n
surge suppressor	{surge protector}		n
surgical	cirúrgico	(of or relating to surgery)	adj
Suriname	Suriname	(country)	prop
surmount	superar	(to get over; to overcome)	v
surname	[object Object]	(name that indicates family)	n
surpass	ultrapassar, superar, suplantar, sobrepassar	(to exceed)	v
surplus	[object Object]	(funds in public treasury greater than ordinary needs)	n
surplus value	mais-valia		n
surprise	surpreender	(cause (someone) to feel surprise)	v
surprised	[object Object]	(caused to feel surprise)	adj
surprising	surpreendente	(that is or are a surprise)	adj
surrealism	surrealismo	(artistic movement and aesthetic philosophy)	n
surrender	render, entregar	(transitive: to give up into the power, control, or possession of another)	v
surreptitious	sub-reptício, secreto; ilícito, clandestino	(stealthy, furtive, well hidden, covert)	adj
surrogate	[object Object]	(A substitute)	n
surrogate mother	[object Object]	(woman who gives birth to a child not her own)	n
surround	cercar	(to enclose to prevent escape)	v
surroundings	[object Object]	(area surrounding someone or something)	n
Surtsey	[object Object]	(volcanic island off the coast of Iceland)	prop
Surtseyan	surtseyano	(of a volcanic eruption, that takes place in shallow seas or lakes)	adj
surveillance	[object Object]	(observation of individuals or groups of individuals)	n
survey	inspecionar, investigar	(to inspect; to examine)	v
surveyor	[object Object]	(person occupied with the process of determining positions on the Earth's surface)	n
survival	sobrevivência	(continued existence or life)	n
survive	sobreviver	(person: continue to live)	v
survivor	sobrevivente	(one who survives)	n
Susan	Susana	(female given name)	prop
Susanna	Susan	(female given name)	prop
sushi	[object Object]	(Japanese dish)	n
suspect	suspeitar	(imagine or suppose to be true, without proof)	v
suspend	suspender	(To hang freely)	v
suspended cymbal	[object Object]	(cymbal that is suspended horizontally)	n
suspender	[object Object]	(an item used hold up trousers)	n
suspenders	suspender	(trouser supporter)	n
suspension bridge	[object Object]	(bridge where the deck or roadway is suspended from cables)	n
suspicion	[object Object]	(act of suspecting something or someone, especially of something wrong)	n
suspicious	desconfiado	(distrustful)	adj
suspiciously	suspeitamente	(to a degree that makes one suspect something)	adv
sustain	sustentar	(to provide for or nourish something)	v
sustainability	[object Object]	(ecological sense)	n
sustainable	sustentável	(able to be sustained)	adj
suture	[object Object]	(seam)	n
Suva	[object Object]	(capital of Fiji)	prop
Svalbard	[object Object]	(islands north east of Greenland)	prop
Svalbard and Jan Mayen Islands	Svalbard e Jan Mayen	(two distinct dependencies of Norway)	prop
svarabhakti	[object Object]	(epenthesis of a vowel)	n
svelte	[object Object]	(attractively thin, slender)	adj
Swabia	[object Object]	(historical region of Germany)	prop
Swabian	[object Object]	(dialect)	prop
Swabish	[object Object]	(dialect)	prop
swag	{SWAG}		n
swagger	bravata	(prideful boasting or bragging)	n
Swahili	[object Object]	(language)	prop
swale	[object Object]	(shallow troughlike depression created to carry water)	n
swallow	engolir	(to take in, to consume)	v
swamp	afundar	(overwhelm)	v
swamp holly	{American winterberry}		n
swampy	pantanoso	(describing land that is wet like a swamp)	adj
swan	[object Object]	(waterfowl of the genus Cygnus)	n
swanling	cygnet	(baby swan, young swan)	n
Swansea	[object Object]	(a city in South Wales)	prop
swan song	[object Object]	(a final performance)	n
swap	trocar, intercambiar	(exchange or give (something) in exchange for)	v
swarm	fervilhar, pulular	(to teem, or be overrun with insects)	v
swarm spore	{zoospore}		n
swarthy	{tawny}		adj
swastika	[object Object]	(a cross with arms of equal length all bent halfway along at a 90° angle)	n
swatch	amostra	(a piece, pattern, or sample)	n
swathe	{swath}		n
sway	balançar	(To move or swing from side to side; or backward and forward; to rock)	v
Swazi	suázi	(Swati language)	prop
Swaziland	Suazilândia	(Kingdom of Swaziland)	prop
swear	jurar	(to take an oath)	v
swear word	[object Object]	(impolite or offensive taboo word)	n
sweat	transpirar, suar	(to emit sweat)	v
sweater	[object Object]	(similar garment worn for warmth)	n
swede	[object Object]	(yellow root of Brassica napus)	n
Swede	[object Object]	(Swedish person)	n
Sweden	[object Object]	(Scandinavian country)	prop
Swedish	[object Object]	(language)	prop
sweep	varrer (to clean with a broom), escovar (to clean with a brush)	(to clean using a broom or brush)	v
sweep something under the rug	varrer para debaixo do tapete	(to conceal a problem expediently)	v
sweet	{sweetheart}		n
sweet-and-sour	agridoce		adj
sweet dreams	bons sonhos, durma com Deus	(sweet dreams)	n
sweeten	adoçar, adocicar	(to make sweet to the taste)	v
