@rowCount	3394
w	d	n	t	q	g	s	r	v	b
banturucu	$x_1$ is the language with ISO 639-3 code ''trc'' (Copala Triqui).	Triqui Copala Triqui language	fu'ivla	LLLMKOSNRMVMOOQLMLQKRPNRQPNRUPLTPRQQNKPQJMQNPOLQMOMPNQMMPPNRLSQROOMLOMLMOSMPRNNMOQQSQPMOPNPPSTJQQQMNQQLNNORNSNJNNJJQMMRONOKNPLQOPTPQKLOKIOOLJQPRMNPOOQPNRUOOQRPOPOPMNOLVRNNNQNPNNMNQNPRLPPOPQNQPOMKMUNLORROLPLPOLNPQOORMMNNQPNMOOPKLIJUOQPRJOOSQQPNSOLNONORNPPNMLSLJONNMPLOQOMQKLNWKPORPKKPMQPMNRPOROKPNKOKLKPOPMMNPOPMTQPNSPOOOMLMMQOMMQQQPLNNNMTROPPPNKQORPLONOKPRSLOPUPIPSONMPMOMNPRNNOOPRSPM
dansrausi	$d_1$ (individual, mass) house dances to accompaniment/music/rhythm $d_2$.		fu'ivla	PJSNLNQHNLPNRJQOPQRQLOOTRQQPPOQQRNOQOMOTNOWLORLJOSNSMTQPPOQORPPONLMRSOQLPRNKNLNPMPOLNQNQLOMMMNNNNNNQNQPRKMPUOKLLMOONPKMPTMMNONLORNQLSMIPORSLLMMOMPOOOWLOMMSPNPRMLPKMNLNPQNOQLPNOQOPQLSRLPRNNPNRMMMPKTLPMPOPNNMOPKMPTPPSMMRJNQMIOOQNPPNOPSONNSORPRRSTMQQNMPRRPNNMLLMRLOIPOMQTNQIRLPPNQLPQQOMSNPMNNSNMNQPNOSLOONSLNLLMNLOTPSPOOLROPNNNPNSKQROOTNMMOQKPRNOMLOPQKMPPNQMONOPKMLNONMPMNQQONLPRNSQMOSOL	house
dansrbalbo'a	$d_1$ (individual, mass) balboa dances to accompaniment/music/rhythm $d_2$.	See also swing dance (={dansrsvinga}).	fu'ivla	OLMOKORMQNSMPKRTRPNPLNPTOOROOOQSONLRMLOPMPTMRQKOOOOOKUPJOLPSNRRRMJMPOROJNRNMRPNPJNPMMRNPOOLRNOKNPNMQPPSQIMNQQMLKMPOQPMKOROPMKNLOTMTMNMILNSPMNPOPNMNQLSOLLRTOMPQNIONKPLOSPKMOOPONROORQRSMOTOOPPPLMNNLQJPLQSQLRPQPMMPPMQQJKPIRQNNOOPNOSLONRNMLNNUPPRNQOQQLLORSQNQNOLLNNNLPPNPSOQGPLNPMPLROQNNNNNOOOTQJKRQPKSMPNMRMMNPMONMPPQROONQOMMMMPSPJPPPRTRMPRQNQSPQKLMNTLLNRRMLOOMOOOOPPOOQOOQOOOLMRLQQMPPNM	balboa
dansrbaleto	$d_1$ (individual, mass) dances ballet to accompaniment/music/rhythm $d_2$.	Ballet dance works/ballets (={dansrbaleto zei selfi'i} / {dansrbaleto zei draci}).	fu'ivla	OJPPKNSJRMRPQNOQOQOONNNSPMPMPQMPRQMQOJLSLMRMSQMLKSMPLRRMONOORRSRLLMQSQOIPSNKSLMPLPNMPROROPJQLOPNQMOMPSQQHMOQPLNJNNNQKMMSROMOLMLOQPSKONMNLRSOMROOOPMQOVLNNPPPLPQMKPNKPNQRPLLOMOOMQKPROOSJMTKNOMPNMNNLULMOTQPNPOQPJMNPOQQNOQIOOOMOPRMOPMPMRPKMONQORQNSOPRLKRSQPNONNKMOMOMNQMRQPQKPNLNLPLRQNMNOOMOPMRQNNMRQOSINOLSONKMMOOPTPNOONKRONNNNPOPLQPQNTNRLQQNPQOMKJOORJKOPPQMORLOLQOQRMMOLPQQONNOSOSMNQSRM	ballet
dansrbreiki	$d_1$ (individual, mass) is breaking/b-boying/b-girling/breakdances to accompaniment/music/rhythm $d_2$.	B-boy/b-girl (=lo nanmu/ninmu dansrbreiki)	fu'ivla	MJTPLNRLQNTKPLRSQOLONNOQPPONQPNQPPOQONNRLMSLSSMNMQOOLWQLMNPQNVSPQMNOPTQLMTNKRLOOLOQMMPOPNPJOOQOMLPOQOSRQKJNOTLPMMLMOPOMQPNLNKLLOQMRNNPMNJOPLKOSNQMMPOUMOORQPNOPOLQNINNOPMJLOMNONPJOQOQPNPQLOQLQNKMNOSLMNRQONNPRQMNPNKQQJPNKONMKONQMQOLRRRQKKMMTLQTOROPOLNQTOQPNONONOKOMMPOMTQPKSOOOOPMONLMKPNKPRMQNMOMPQOPJLKJQNLLNPNKPVQMOOMNNOMNLORRPKSRPOONNNRQPQRPQMLNNTKKOPQPNSMQSOQNPTOPNNPRRONMORNSPOQOQN	b-boying;b-girling;breakdance;breaking
dansrbuga	$d_1$ (individual, mass) bugg dances to accompaniment/music/rhythm $d_2$.	Bugg is a common dance style in Sweden and is very popular on the dancefloors, when dansbands play. Dansband (=lo se dansrbuga {zgibe'e}). Dansband music (=lo se dansrbuga zgike).	fu'ivla	PMRNLPROPMOMQJQQOPOMMNNNPNPOQNOUMOOPOLLTMQPLLRLOMPNMPQRLQOOQRRQQMMPQMPLIMVPONMNMJNOLPPPQOQNQOOMPTPOQPSRPOKQORIKLOPMMOOOOTPMPOPKORPRLOKKLMTRMNRPOLKMRQSQOPTQNNOQNNPLLOLNOVIKPNNOMOLPPTQSOQOLOOMSKROQMPFPOOQPNMQNNMMPNONVOKPJQOOMOLSLQRMTOPPLLOLQMRROQMMROORUOKOQQRKNOMPNNNPPRQPNQLLQQOPMRLMNNOONPOQLOLMTQNPLNMOPOMMLPLLNSOKRPMPSORMLNTLOMOQPMPOPPMTMQQPMMNPOMQKOQQNKPLMUONLROIPQNQOONOMOSNSPOMMPO	bugg
dansrbugivugi	$d_1$ (individual, mass) boogie-woogie dances to accompaniment/music/rhythm $d_2$.		fu'ivla	MLQNLPSJPLRMPLRRORRLMNMROPOPOPOPPOMOMMOUMORMPPJNORNPNURNPOQQOSQOLMNOQTNIOSPJONMPMOMHLPNTOPJNNLROPOROQQQPMNOSRMMMOONQMNLQUONOLOJORNRMSMKNNTPOLPOOLONQLVMMNPPPOPQMLMOMMOONTMIQLQOPQNPPOQRMRSLOOOQIMOOMQHOMPPOPRNQMJNPQNQQMLNHONOLOOROPRLTPSNJKONTQPSOVNPTNLQSQROPMMIMONOLNOOPRPTLQKPNLPMLPNONMMMMPMQPMNLPPLQKMLKQOMPKQNOOTPOQPLPOOONNPRPPMQPPPRPNPLSNOPQPNLOOQJKNSMOLOPORMOQNQMLNOOQQNLMOPLTOMOQRK	boogie-woogie
dansrcacaca	$d_1$ (individual, mass) cha-cha-cha dances to accompaniment/music/rhythm $d_2$.		fu'ivla	MKQOMPUJQMRMRLOPPRPMKNMSNPQOMNOQPPKPLMOSLOTMSPKNMSPQNUOLMNONNPPQLKMPRRLLPSNMPNLNORQLQQPPOLMQKNLQPNOPQQNQLNPSPLNMNMPRNMNQROLMLNNORORNQLKOKQSNNONOQNONLXPLPPRPOPQNLQLNONQQOMLNLPRNOOOPOPRKQRPNRPMKLONLTLNNRQQNONQSILNQLPRMMMHQROMORPNTPLQNSOMLQKUPOSPUNRQLJPUORPNLOKKNKQLONLQSQOJRMOPLOLOPONMPNNMMMTNLOQRNLQLMMNSRMNNONMLQOOQMONPOMLMRPQRIQSPQSPNQORNPQOOLMPOQIJMMPQOPNNQNPRQQMNOMNQRLNNPROPNNQQQL	cha-cha-cha
dansrcarlstani	$d_1$ (individual, mass) dances charleston to accompaniment/music/rhythm $d_2$.		fu'ivla	MLQQJRPIOOPNQKOSRPRNLNORNPOQPQPPQOONPMOUNPUOPOLOMRNQLRPNNNOPOROQLNLRRQPJMROLQMKOLMQMNNMPOOJMJNPMNONOORROLPPVRJMNLONQNMKQROLPLLMORNRNRNLJJQSMNOPMMPMLOTNLOQPQPPSQLOPOONQSRNLRMNNNTLPPPSTMPSNLQPQKNMPMRLPOTNQPONROLLLQQNPLNPKOMMJOMRQRPLPPRNLMONQPQTQRNNPJKSQQPLNPNHKSJPMMOMPSSRKQNQOKQNRONMMNPQMNQSOOMQOPNPKOMMNOLLMONQORQSNOPKOOOPKQQPOIORNQTMPNPMOORQSNLOOQKLPPNRNLLNPKNPPSOOPNLQMMMNOUPTPNMPNL	charleston
dansrcerxi	$d_1$ (individual, mass) oriental/belly dances/dances raqs sharqi to accompaniment/music/rhythm $d_2$.	Raqs sharqi (Arabic: رقص شرقي‎ [ˈɾˤɑʔsˤe ˈʃæɾʔi]; literally "eastern/oriental dancing") is the style of "Oriental Dance, Egyptian Dance, Arabic" dance more familiar to Westerners, performed in restaurants and cabarets around the world.	fu'ivla	PLPOKMRIRMSNSKQQRNOLKMRRRLSOQQPQQRMQMMORMJSMQQLMKRNONQRLMOMPPRTOLLOQRNMLMRKMRMJOKQQKMRLPONLPLMQNPLOMSPQRKMNROLMKNKPQMNLONPNNNLLOPQQMPNNMLRSNNPQNOOKPNTNONQQOMOROMNJMNOQRRMOPMQPLMLQORQSKPPJPQJLLLNONPQPRRRRLMOPOMPNOOQRNOOGPPPNONSMQQKRQOOOLPOTNQSNTONQJIQSPOPMNNKMNKPLMOLPROPKQLJPMTPPSNMNMNOPPMRQLMMRPLRKNLOQSNKMLOMPTNNOONKPOJMMNPTOLTQPPQPMOOQQPPPQKKRORMNNNSPMOQKQNRLQPNNPLNRQLPNPPMQPPRQPM	belly dance;oriental dance;raqs sharqi
dansrcimcami	$d_1$ (individual, mass) dances shim sham to accompaniment/music/rhythm $d_2$.		fu'ivla	OLPNIOQIPNROQKRRPROONJMSOOPOPOOSLOKQLLKRNOSLOQLMNMLPPTRMOLNPOTONONMRQQOIQSNLPJLNLQRMPPORMPLPKMSNNSNPRSNOKKNUPMNKLNLQPMIRRPOPLLIOSPSLPMMMPQROKMNINQONNVOKMPPNNQRMMNNMPLQPSMPQIQNPPOQQNOQKONNNPOMLKMOMQONNPRRNQMNQNPMPLPQNMOJMQLIONONSRLPPQROLRNQPPTPTORQNJSRQRPQLLJMQMPLPOMSTNOJSOLPLSKOPMLLQOONNKQQKNPQPMRLONNSPQNMORNPTPOOOPMPOOKQPOPPIQROPPNNOQTNOQOPKNPOQJOPPLQMPMPQMOOPSONONMQSPQNNQNQPNQQNN	shim sham
dansrdisku	$d_1$ (individual, mass) disco dances to accompaniment/music/rhythm $d_2$.		fu'ivla	OGPPKPSLQMSMQKRPQQONKLNRQNQPOOOROPNOMNNUMOTMPOKLMSOPOUQLMOQNPOPNMNNRRPNKMQMLPNJPOQNKPQOPKOKQNLOPPNQPPRNPJNOURMLMKNOQNOOPQPLOMNLOQNQNSMJNMOONOOPKPNLNMWOOMRMPOOPONQPONNQQPMKPLPPMQNOSQQSJPQNMPPQLLQMLUJNOQQPMNMROLKNPOPSNNOGPQONORQQQQNPOSROLNMQOQSQSMNRKKRTQOPQOMIMPKQIKOMRVOPISLNQMQKOONMLONNNOQRNOMPRPPQLKKLRONMNOLONTPPQMQNQOONLQSPQKRSOPSPPNPSNRPNPMNPORIJPMPRLQOPOJONQQLMOONRPNPMPONTONQPPM	disco
dansrdja'aza	$d_1$ (individual, mass) dances jazz dance to accompaniment/music/rhythm $d_2$.	Not to be confused with swing dance. See also jazz music (={zgirdja'aza}).	fu'ivla	OJPOJPSKRMRQSJPRQQMPKNNSPOPPNRORPQKRMNNRKOSMQSKMLRLPNSQMMPPSQPQRMMNOTNOKLROMSPPNMQPKNRMTORJQMMPNONNORRRRJNOSPKOLNMOPOOMPQOLLJNLOQOTLNOKNMQSMNOPNMNOPMULONRSOKOQMJPNJQNQPNLKQLPOMQLPSQPRKNTLPOMPONNLMSLQNSSQOPORPJJMRLQRLMNGQPQLOPSNOQNPMQOLNNOQOPQMTPQPMLRRRPQQOPILPQNKNPLPSQSKQLMMOPNNOPLLNMMOONSQMLNQONSLNQLQPQMNONNOROQOOLNROOONNORQLQONNQPOMPPNQQMQLKMOQKKMRRPKOQKPLLOOQMMONOROPMNPSLTOLOROI	jazz dance
dansrfandango	$d_1$ (individual, mass) dances fandango to accompaniment/music/rhythm $d_2$.		fu'ivla	ONOPLNQJPNTMLLQPSROMLLPSQNPRRPNROPMRNKLTNOUMRPIPQQMNPRQNNLNQRPMOLLNQRQOLPRLNOHKOPOQKNPORMOMNMMNQONNPPQROLRNQQLKNLONQLNJSQOLPOLLOQORNROLKKPPNLPPKNONOPWKMLPPPNQPOKSMLOJPPSOJQJPPNSNPPOPPLPPPOLQQMONOKRLQONQQMMMMPKNNRNRRNPPLOSLLONQNRQNPOPNNLNLPPQSOQMOROMPSOOQQNMKOPMPNPOORQMQKPOKONRLRQMLOPOLMOPTRNPPSRNTLMOMSMNLMNOKPUPQSOPMRONJNPPQQJQSQQTOOORTNQRONINROSNLONLPNOLOOHQNPRMMQLORQNPONQNRMKQRMO	fandango
dansrflamenko	$d_1$ (individual, mass) dances flamenco to accompaniment/music/rhythm $d_2$.		fu'ivla	PKMQLQQJPKROQMQQPOPNMONTMMNRNPOTNOLNOPMUMMRORNLMOROONTTJMORORTNPKJQPPQPJQQLNPMKPNNPKPRNQMQIOONNMQPNPPPPQKPNSOKNNKONRMMJRRQNROLJORPPLRKMMKSQQNPONLMMNLVNMLQONPQOLLNOKOMNRPNKQKOOQQNNNROQNOSNOOMQMNONKVLOOQPROOLPQKLMQPRQMNTIORMMOQTORSNPNQOOMOMPOORQQKNOMIQQNOPNNLJNSLQNQOPORMPKPPLQMOMOPQMMQPLNNQSOOMRRONSJLMNRQPNMMOOOTQPTOQLQONMLRPPQKOQQQUPONRRONPNOJLNNSNMNOLMNMMONLPQORPMPMNPTMPOORMTPLMTQJ	flamenco
dansrfoxtroti	$d_1$ (individual, mass) dances foxtrot to accompaniment/music/rhythm $d_2$.		fu'ivla	NHPOLPRLPJPOOLOOOQPNLLQQOPOOQNPSNPKOOJNUNNSOOQILORLPOTSNPMOPRQPQMLLQPPNLNSMLRKLQMPOLQQNTNTIPMNOOPMNOQPPQJLNQQKNMKPOSNNKPROLPNKKOROPLRNKOPRRMKNMKMQLMQXMNNONPPOOMKRNKOKRSQMMNKOONQNPRPPRNORMOPNRKNPOISOOOQNTNONONKNMRNPPOPPJMPMLOORORPNPQQOOONMQPQTQQNPPOLRSNPMPLMINRNQJPQNQTMNIQQQPNRLNPPLMOLOMMQQOQOOSQPSLNPLTNPONMNQOUQOSPPOROMNLQPOPJQROQTOPMORNQQLOLKONSMNOQNQLNNOONPOPRJNMKRPQOQNNSMSNMNRRN	foxtrot
dansrgunse	$d_1$ (individual, mass) dances the Duck/Chicken/Bird Dance to accompaniment/music/rhythm $d_2$.	The name of the original Swiss song was "Der Ententanz" (The Duck Dance).	fu'ivla	LLQOPNTJTLQORKOOMNPMLOPTPOQLQPOPPOMPNOMQMNSKRSKLOVOOMTRPOPNQNQSPMMLMOQNMQSMKPOORNNLLOSOPNNKPMPRLRNPOSPOONNNPPNNLPMONMKLNTNNNLQKORNTKQNNMKPQLKNQNPNNQPULPOQQOKOONLNMJQMOQQJLMLPONPKQONPRLPQJNMLRNONLMPLRMQMQOMRSOMNMQLRTNOLKPRNJOOSNPOMRPRMKNNNSQRSSQQMRMKRURQMLNOMLONPLMNKPPQPKRNKQLRNNPLOPNNNMQMONLQLPSOSMQOLSRNNMPMORRQONRMNSOMOMNRPQKVMMPTOLOPQPTQPNKKORRLNHOOPPOLMRLPRQPMMLLOQRPNMPQNRPMPRRN	bird dance;chicken dance;duck dance
dansripopi	$d_1$ (individual, mass) dances to hip-hop music/rhythm $d_2$.		fu'ivla	OKQOLOTJQNRQQJPQNRMNLNNTNPPPPPOSPQMQOMNSOMSNPOKLLRMPNTQNOPQQQPPROLMQQPQJLSOMPMLPOPOJOPNQMOJPLLQOPMOPQSRQLKQSQMOJNOPQLPLNPOMNLLJOPORNQMKMMSRMLPOLLOMPOUMNMQPOMPPOKONLPMRQPMMMLRPNQMPQOPTKORMPOPOLMOOMSOPNQORONNQPKLNQNQQKOQIOOOJOQRQRRMRRRQNMONVPRROUMONMLQRRROPOLIMQLPLNQMPSPQKTKMNNRLPPPMJNMNMNLQONKOSOMPHNNNRNOOLNPQMSQQONKMOOMMNOPSRMSSOPSQNNNQNQPNQLJNPPKKPQNQNNPNPJMPQRKLONOQPNONQPJTMMQQTK	hip-hop
dansrjaiva	$d_1$ (individual, mass) dances jive to accompaniment/music/rhythm $d_2$.		fu'ivla	MJSNIORJQMRNPLQPPSPNLLOORPPNROQRPOMRMNNTNPTKRPKMNQKPNSRNQQOQOPRPLKMRQRPMMSNMOMNOLPQJPUORLPLOMOQOQQNPQQRQKNNRQKMMMOMPNNLOSNLPMMKORMRKRLKMNPPLLPOKMOOMPSLOMQRONPPMLNMMQMMQPLKPKNPQQNQPSQTMPPLNONQLMPNISNOPOOPNONPOLMOQNQSLNQKOPNIOMTNSPNRPRMKLQNRPPTRTOORLNRROMNQMLHNRNPLOONRWOQJTNNONQLPOOLJNNLMORSPOLLSNNQMLLNTPOPMLMPMTRRPONMTOOOLNRONLQRPORQQMQRMORPPLKPLQMMNQPPLNLRQMNORQLNNLORPNQNOQMTONNSPM	jive
dansrkaka	$d_1$ (individual, mass) can-can dances to accompaniment/music/rhythm $d_2$.	French: cancan ​[kɑ̃kɑ̃].	fu'ivla	OMOMKOUJRNRPRONOQQOQQPNPQNNPQMOPMONNLMMSKOOMPOLOOSQOOPSLJOORQPQOMMMSOQPJOROMPOMPMPMKPPNSOOJNOOPMRNMNPQQPHLMMTLJKPNNQNIMOOOKPOPNOQSSLQLLLMLTPMPQQSOMOMVLPKPPPRORLKQMLRPPQOMMQKQPPNNPRONSQPSMNOOSNNMKMRNMSRRONPLPPKLMPMQPLMPHPPLJORQNQRPPSQNLJQLQPKUPSKMONKSQPNNRLMNPQMNKONOSSOPLMOOSNPOQQQMMMNLMONOJMMPQNNSLONJPKJOLMQPORQPQMKOQONKKMPOQISOSNOPOPQSNOOQPMLPOTLNNNOQMPOPQOPOMSONOMOROPOMMVLSOMQQRP	can-can
dansrkalipso	$d_1$ (individual, mass) calypso dances to accompaniment/music/rhythm $d_2$.		fu'ivla	PJPPKPRKRNQLONQNORRQOMPSPOPQPQNQSOLRLLLTKNSPMNKNMRLPMTPMPNPPSQNOLONPRSQMPTNKPLKQOPMKPRORLNLPLLPOONONQQPQMOLSNMOMMQMTLNKSQNKNMMKOSPPLTMLMMQRNMPNNMPOOOUNLJSNPNPQMKQOKQMPSQONQMONRTOQPNPQNORJORMTJMNNKSMMORPRPOLPPLNOQMSQNMPJMPLIOPRPRPMQOQPOLQMQTQRPPLQRNLORPQOPMLHLQLPNRPMQSOOKRMPPLOLOQNOKNNNNMQTMLOQTNMQKOLMROOQMNOOMRQQONNLSOPOKOQPRLPRNPTPOORSLNPOPLJPNQLMNNLONPLONMPOOTNNPNQSPOMMLRMSNONSPI	calypso
dansrkanastaili	$d_1$ (individual, mass) dances gangnam style to accompaniment/music/rhythm $d_2$.	(Korean: 강남스타일, IPA: [kaŋnam sɯtʰail])	fu'ivla	MLROLPSKRNTNQKSRPOOLOONPQQQNQQNQOQKPNOQTLLSLPQKMKQPOLRQMNRPQORQNLMNRSQQLMSILTONONQPLLSLPMPNQMNQOOMOOSRNQMMPMQMNKLONNLMKSOMINMNOOQPQJQMMKLSQMIONOLOLNMUMNMPSONPONLOJKNOPQQMKSIRPLQKPOPRSKOQMOOKQMOMNKSLPMQQPLRPQQJPMPOOQKOOHONPLOPSOQQNRQRRNNNOTNRUNTNMPPMRQOONRLNKNMOPLNQMQSQQKOMKQLPOPMNOMPMKNNKQTMPMPPMRKLMNQOOPLNNPRUPPOPLOPOOLPONRPLSOQNQNMNNRNOQPPLMQORMLOPPPLPSLQMOMPPJNPNNQOMLNPQLROKRRNM	gangnam style
dansrlambada	$d_1$ (individual, mass) dances lambada to accompaniment/music/rhythm $d_2$.		fu'ivla	OKPPIPOKPKUKNMPOPPPOLNMSQQPOPPQOTOLRNLOSMNTLQOLNORKOPSQMRLOQPQPQLMNONRQJRQMKRKMQNPMKMQOOONLPKMOPPONOPPNPINNTOLNMMPNQONJQQMPONLLORLPLSLJMNOTNLPMNOOMNNUPNNRTONPQMLOOONNMQROLOKOPPRNPSPORMORNNOOQLMONJTKOMPQNMPLPMJORRNPPMMOKOPJNOQQOPRMPSRQNONLSQSTPOPQPMMRPRPLPNMIOTNQMRNOQSMPJRMNPLQKQPPMNNOMOMNQPKMPQPLRHNMLSMRLOPROPTQSPNOLSONLKOOQNJSQPQSQMOPPMQQNOKMNMSJLNPPONPMNOLPPQQNONNNSPNONNQMSPORQPL	lambada
dansrlimbo	$d_1$ (individual, mass) dances limbo to accompaniment/music/rhythm $d_2$ under bar $x_3$.		fu'ivla	OMPOJPTMOOROOLPTRSQRNNMTNNQPQOJVOMOROKKTQNTLPRLONRMOOTPKPNOOPSQQOLOQPQOHSQMOOONMLONKLSNQMPLQMJQPOPMNRTQTLLPPRNMMOMMNLNNRSOMNLLLORMSKOMILMQNMORNLNPPNOSNMNUONMPPOLNMIPOMQRMMNMNPLRNPORQTLMQLOPQPLNOMKSKNMPRONONNNMNQQQPRMKPJQNMMOPSQNONOMQPNLPNOPORQPPNQJLNTQKPSNMLNOLRNOONRQQOGPMPOMSJPNOMKPQMOMRVPMLPQRMSMQNNTMMLMNMQOSONQNNKQONNMNQROKSOQLRQSNOSNNSOQLMMOPJNQONOMOMOOPPPOPPOSOMPQPRLOPOSOOOQOM	limbo
dansrlindixopi	$d_1$ (individual, mass) dances lindy hop to accompaniment/music/rhythm $d_2$.		fu'ivla	NJPNMQRJONQPPJQSOSOLNNPSNNPNQOQSMQMNPOMUPNSLMPIMMSNPNRRONMPPRPORNKKQSNQIMTMLPNLQKRPLNQORONLNMNQOSKOPPSQPJMQRPNMLPPOPNNJOQOLOKPOORNRMROLLOSPNLPMKNOPNOVNMLPONOQRLJPLMOMRRPNLNIPOOPOQQQQTMQPNPQPQIOONLSKOPPPSNNNRNKMMRNOQNMQJOOOMOQPPRTMRORPMNQNWPQSRQNNNJMRRQPQSNKJNOOTKLNMRSQPJQMNPMRMOPPLJKMNKOOPLNLMPOPPKMPMUNNOONNRPQQNPNKMRONMNPPQOLRPPQTQPNPSNPOOPLJOPPMKNRNQNNMOPKMQPPNLOMNSNNQNPQIRMONQQM	lindy hop
dansrloki	$d_1$ (individual, mass) dances locking to accompaniment/music/rhythm $d_2$; $d_1$ is a locker.		fu'ivla	MLROMQTIUNTOQJQPPQMPNNNRNPOPROKMQQNROLMTLNRNPSKMKQMUMURNRNOSPUPROMLQROOJORNMOMOQKNOLLQMPOPKPNNPOPQKORURPMKPPOLNMNONQMOMTQNMMLLLOOLPNONKMJTSLKPPNOQPOPSOOOQQNOPOMNOLKRLOLNKMNLOMMPLRQOORKQRLPPRRMPONKTNNNQQONOPPNMLOTJPQPNQJPPNKOPQNOQMMNOOKLNPUPRSNTNLNPKQQRNNMNMNMMNNKNQMNUMQKOOPPMQIOQMKMNONNONPNLKOUQPRLONKRONMLNOOQTNOOOKKQONNOOPRQLURQOPPMONQOPTPQNLNPSLOPMOPNRNLRNOMMRLQPPMSOMOMPSQSQNOQOL	locker;locking
dansrmazure	$d_1$ (individual, mass) dances mazurka to accompaniment/music/rhythm $d_2$.	In Polish, this musical form is called "mazurek"—a word derived from "mazur," which up to the nineteenth century denoted an inhabitant of Poland's Mazovia region.	fu'ivla	NMORJORJRNSNRMPTPQQQNOPRSNNOQQMQQPPQNMLQONRMQPLPJSLOLPQLOQNPQSROKLLPQSQHOQLJRLLRNQKKORNPOPMPKPOLRPQNTOPQNMOOPKLJKLNQNMMQNPNOQQKOPOQMPNMMNPROMONLNPNPMTLOMSQPKPPNKNKLNMQOOILOKNNNPIRPPTNONSMMNIRMQMOMRPQORRSNPQRQLNMNMTSOPQJOOLKOPSNOQLOQNQMKPNROPTRSNMPMJPQMOONOMJONLRKOOMQSQQMPMMQNSNQRLKNQPLMLNSOMONRQMRLNMOQNOMOMMMPROONPLMNOOONNOQNMTPPMRNMPOOQRQQMNKSOTLMOOPSMPQIQMPPQRNONLORPPKLPRQTNMPQQM	mazurka
dansrmerengei	$d_1$ (individual, mass) dances merengue to accompaniment/music/rhythm $d_2$.		fu'ivla	QMPOJPPMRMRLPKQQQQNNOOOOONONTNPTQPMQNLNTONRMNQMOLQLQMRSKMMOQPSSPKLNRPOQJORMKQOLOLPQLOQOPNNLQJNSPMNLORQOOINMPRIMNLQNPMNLNRMNPOMKORORIQKMNNQSNKONLOOMMNUOOOTQOQNPMLQLLMONRPMLOLOPNQONQSSPLORLLNMQMOPLMTMQPONQMOOROPPMONPQMNRLNOKLOPQNUSMQQMNKMNNPQUTOQOPRLLTSMOMQOLGNOORMOOMRUOQJPLOQNRLPONKLMLMMMOSQOOPRQMQKONLSMMLMJNNRSQQPOPNROMLJOTPQNPSPNRMRMSONPSPNLNOOPLNOROOOOQPPIORQSNMOKPSPOOOMQOTNOPPPN	merengue
dansrminu'eto	$d_1$ (individual, mass) dances minuet to accompaniment/music/rhythm $d_2$.		fu'ivla	NKRMKRQNRLTNQKNPRQPOLLNPONQPRQQRQOKQOLNTKOQNOQLLKPLRNRPKMNROPNRPMKNPOSQLPROLNMJMMPNOQQPSOOLQLONLQPKOPQQRJNOQPLLNLNNQOKKQQPMOLOMOQQQLPMJNMPRMNPMLPQOLMTPMNQSMOOPLLPNNQOPRPMLOLQQPQLQPOQROMQLNQNPMNNNJTJMNTQTQRLQNKLMQLPSNMRILMNKOOPPRRNSQPPOJOMOSRRSPOPPLIUSQMOPMMHNSLPLPLLRSPPJOLMPNPMQONLMMONNNPRONLPSQQRKNNLRMNMNNMOPQSPOQONSOPMMOQNOLPROOSPONROOOPROHMOQPKJOQPPMONRNLOPOQNQNNQTQNQNNRKTOMMTPM	minuet
dansrpangra	$d_1$ (individual, mass) is/are banghra dancing to accompaniment/music/rhythm $d_2$.		fu'ivla	PLPPJORJSLRJQKPNPONNLQPRRNQORQORRQMRNQORNOTKQRLNMQMPMRPHONOQQPQQOKNQRQOKNSNKPLMOKPPKOSMTMMMQMPPNOPPOOSNQHMNRPJMMMMPPLNMPNOMPNKLOPPRLOLKLKPRLMNOMOOKONXLOPPSQMOQOKMNLONNOOOLNKQOPOLQRSOSLORMRONPNMNOLUPPRQSPMMNPTKLLNOQQKMQJPPPJOPSMQOQRNQPOMONRNPTNSNPNJLROSPOPMKJNPMOLOOQPVOSLSLMOLRLRQNLKLNKOOMQNPNOQNNRJNNMSOOMNOPNQSRQNOOLPONKNLOPPMPRQPQNNMPPNNPPOMJRPRKLOORPMONPROQONSNPLOMOQPOMORLRPNSQRL	banghra dance
dansrpolka	$d_1$ (individual, mass) dances polka to accompaniment/music/rhythm $d_2$.		fu'ivla	PNPQJPQIQKQNQLQRQQQMMKMRQONNOOPRQPNQPONVMQSMOPJMMSKOOSTLQPPMPNQPMKNQOQOKOQOLOJLRMSOIOQPRKOLPMMPOPOQOTNQNKNPRRONKLMMSONMQTONONPKOQOQMSLMLLPQNMONKNPKPPUMNMPPPOOSNLPMNLOPRQLMQMOOOOMRPMPRNPPMNQQQKLPQMTKPMQRPOOKQOINOPMNQOMPIMONKOQRRORMQORPMKPQRRQRQSJOPPJRTNRNMKMKNSJPMNNMOUOOJSLLNNQNNQMMNOMOONORMJLOSSLSKLKOQQONKPOOQSQQPOOPQOPONOONRIOQMPRNONORORRNNNKPPPLLNPMRKPMMPLPPROMMMLNSQNMOQPMTOPPQTL	polka
