@rowCount	5744
w	d	n	t
hungry	faminto	(eager, having a desire for something)	adj
hunker	ficar de cócoras	(To crouch or squat close to the ground)	v
hunt	caçar	(to search for something)	v
hunter	[object Object]	(person who hunts game)	n
hunting	[object Object]	(chasing and killing animals for sport or to get food)	n
huntress	caçadora	(female who hunts)	n
Huocheng	{Khorgas}		prop
Huoerguosi	{Khorgas}		prop
hurdle	[object Object]	(artificial barrier over which people or horses jump in a race)	n
hurdy-gurdy	{barrel organ}		n
hurl	[object Object]	(vomit)	v
hurler	{pitcher}		n
hurler on the ditch	back-seat driver	(opinionated person who offers advice)	n
hurley	{hurling}		n
hurrah	urra, oba, eba	(expressing approval, appreciation, or happiness)	interj
hurricane	[object Object]	(weather phenomenon)	n
hurry	apressar	(to speed up the rate)	v
hurry up	apressar-se	(go faster)	v
hurt	ferir, machucar, aleijar	(to cause physical pain and/or injury)	v
husband	[object Object]	(male partner in marriage)	n
husbandry	[object Object]	(agriculture)	n
husk	[object Object]	(exterior of certain vegetables or fruits)	n
hussar	[object Object]	(light cavalry of any of several European armies)	n
Hussite	[object Object]	(follower)	n
hustle	apressar-se	(to rush or hurry)	v
hustler	{prostitute}		n
hut	[object Object]	(small wooden shed)	n
hutong	{lane}		n
Hávamál	Hávamál	(second book of the Poetic Edda)	prop
hyacinth	[object Object]	(plant of the genus Hyacinthus)	n
Hyacinth	{Hyacinthus}		prop
Hyades	Híades	(daughters of Atlas)	prop
hybrid	[object Object]	(something of mixed origin)	n
Hyde Park	[object Object]	(name of a park)	prop
Hyderabad	[object Object]	(capital of Andhra Pradesh)	prop
Hydra	[object Object]	(one of Pluto's moons)	prop
hydracid	[object Object]	(chemistry: an acid that does not contain any oxygen)	n
hydrangea	[object Object]	(shrub)	n
hydrargyrum	[object Object]	(cognate translations of hydrargyrum — otherwise see mercury#Translations, see also: mercury)	n
hydrate	[object Object]	(solid compound containing or linked to water molecules)	n
hydraulic	hidráulico	(Related to hydraulics)	adj
hydraulics	[object Object]	(engineering science that deals with liquid in motion)	n
hydride	[object Object]	(compound of hydrogen)	n
hydro-	hidro-	(pertaining to water)	prefix
hydrocarbon	[object Object]	(compound of carbon and hydrogen)	n
hydrochloric acid	[object Object]	(strong acid made by dissolving the gas, hydrogen chloride)	n
hydrocyanic	cianídrico	(of or pertaining to hydrocyanic acid or its compounds)	adj
hydrofoil	[object Object]	(wing)	n
hydrofracking	{hydraulic fracturing}		n
hydrogen	[object Object]	(chemical element)	n
hydrogenate	hidrogenar	(treat or react with hydrogen)	v
hydrogen bomb	[object Object]	(thermonuclear bomb)	n
hydrogen peroxide	peróxido de hidrogênio	(H[2]O[2])	n
hydrology	[object Object]	(science related to water)	n
hydrolysis	[object Object]	(a chemical process of decomposition)	n
hydromechanics	{fluid mechanics}		n
hydrophobia	[object Object]	((pathology) rabies, see also: rabies)	n
hydroquinone	[object Object]	(the diphenol para-dihydroxy benzene)	n
hydrostatic	hidrostático	(of or relating to hydrostatics)	adj
hydrotherapist	[object Object]	(therapist who performs hydrotherapy)	n
hydroxide	[object Object]	(univalent anion)	n
hyena	[object Object]	(Animal)	n
Hygiea	[object Object]	(Greek goddess of health, cleanliness, and sanitation)	prop
hygiene	[object Object]	(conditions and practices that promote and preserve health)	n
hygienic	[object Object]	(pertaining to hygiene)	adj
Hyōgo	{Hyogo}		prop
hygrometer	higrômetro	(instrument that measures humidity)	n
hygroscopic	higroscópico	(readily taking up and retaining water)	adj
hymen	[object Object]	(membrane which occludes the vagina)	n
Hymen	[object Object]	(Greek god of marriage)	prop
hymn	[object Object]	(a song of praise or worship)	n
hyoid bone	[object Object]	(bone in the neck)	n
hypallage	hipálage	(literary device)	n
hyperbaton	hipérbato	(rhetoric)	n
hyperbola	[object Object]	(geometric curve)	n
hyperbole	[object Object]	(rhetorical device)	n
hyperbolical	{hyperbolic}		adj
hyperborean	[object Object]	((Greek mythology), one a race of people living in the extreme north)	n
hypergeometric distribution	[object Object]	(probability distribution)	n
Hyperion	[object Object]	(moon)	prop
hyperkalemia	[object Object]	(the condition of having an abnormally high concentration of potassium ions in the blood)	n
hyperlink	[object Object]	(link from one electronic document to another)	n
hypernatremia	[object Object]	(abnormally high concentration of sodium in blood plasma)	n
hypernatremic	hipernatrêmico	(having an abnormally high concentration of sodium in blood plasma)	adj
hypernova	[object Object]	(the gravitational collapse of a massive star to form a black hole)	n
hypernym	[object Object]	(superordinate grouping word)	n
hyperonym	{hypernym}		n
hyperopia	farsightedness	(disorder of the vision)	n
hypersensitivity	[object Object]	(heightened immune response to an antigen)	n
hypersonic	hipersónico [Portugal], hipersônico [Brazil]	(five times the speed of sound)	adj
hyperspace	[object Object]	(notional space in science fiction)	n
hypertension	[object Object]	(abnormally high blood pressure)	n
hypertensive	hipertensor	( of or pertaining to, or causing hypertension )	adj
hypertext	[object Object]	(uncountable: text for the Web)	n
Hypertext Markup Language	[object Object]	(language)	prop
hyperthermophile	[object Object]		n
hyperthermophilic	hipertermófilo	(thriving in an extremely hot environment)	adj
hypertrophy	hipertrofiar	(to increase in size)	v
hyphen	[object Object]	(symbol used to join words or to indicate a word has been split)	n
hyphenation	[object Object]	(inclusion and location of hyphens)	n
hypnagogic jerk	{hypnic jerk}		n
Hypnos	[object Object]	(Hypnos, the Greek god of sleep)	prop
hypnosis	[object Object]	(a trancelike state)	n
hypnotherapy	[object Object]	(treatment of disease through hypnotism)	n
hypnotise	hypnotize	(hypnotise)	v
hypnotism	[object Object]	(hypnotism)	n
hypnotist	[object Object]	(person who uses hypnotism)	n
hypo-	hipo-	(Medical sense)	prefix
hypoallergic	{hypoallergenic}		adj
hypocapnia	[object Object]		n
hypochondria	[object Object]	(psychological disorder)	n
hypochondriac	hipocondríaco	(affected by hypochondria)	adj
hypochondriasis	[object Object]	(excessive fear of or preoccupation with a serious illness)	n
hypocorism	[object Object]	(hypocoristic)	n
hypocrisy	[object Object]	(Claim, pretense, or false representation of holding beliefs, feelings, or virtues that one does not actually possess)	n
hypocrite	hipócrita	(person practising hypocrisy)	n
hypocritical	hipócrita	(characterized by hypocrisy or being a hypocrite)	adj
hypohydration	{dehydration}		n
hyponym	[object Object]	(more specific word)	n
hypostasis	livor mortis	(postmortem lividity; livor mortis; suggillation)	n
hypotaxis	[object Object]	(syntactic subordination)	n
hypotension	[object Object]	(disease of abnormally low blood pressure)	n
hypotenuse	[object Object]	(The side of a right triangle opposite the right angle)	n
hypothalamic	hipotalâmico	(pertaining to the hypothalamus)	adj
hypothalamus	[object Object]	(a region of the brain, below the thalamus)	n
hypothesis	[object Object]	(tentative conjecture in science)	n
hypothesise	supor	(to believe or assert)	v
hypothetical	hipotético	(based upon a hypothesis)	adj
hypothyroidism	[object Object]	(disease state)	n
hyrax	[object Object]	(mammal of the order Hyracoidea)	n
hysteresis	[object Object]	(a property of a system)	n
hysteria	[object Object]	(behavior exhibiting excessive or uncontrollable emotion)	n
hysterical	histérico	(prone to having hysterics)	adj
i	[object Object]	(name of the letter I, i)	n
I	eu	(personal pronoun)	pron
iambic	iâmbico, jâmbico	(consisting of iambs or characterized by their predominance)	adj
iambic pentameter	[object Object]	(a poetic meter)	n
Iamblichus	[object Object]	(Greek philosopher)	prop
I am blind	{I'm blind}		phrase
I am English	[object Object]	(I am English)	phrase
I am hungry	{I'm hungry}		phrase
I am thirsty	{I'm thirsty}		phrase
I am tired	{I'm tired}		phrase
I am twenty years old	{I'm twenty years old}		phrase
I am ... year(s) old	{I'm ... year(s) old}
IANAL	ENSA	(I am not a lawyer)	phrase
Iapetus	[object Object]	(the Titan)	prop
Iberia	[object Object]	(region south of the Pyrenees)	prop
Iberian	[object Object]	(Native to Iberia)	adj
Iberian lynx	lince-ibérico	(Lynx pardinus)	n
Iberian Peninsula	Península Ibérica	(peninsula)	prop
Iberian Sea	{Balearic Sea}		prop
ibex	[object Object]	(type of wild mountain goat)	n
ibid	ibid.	(in the same place)	abbr
ibis	[object Object]	(Threskiornithid)	n
-ible	-ável, -ível	(expressing capacity or worthiness in a passive sense)	suffix
iBook	[object Object]	(device)	prop
IBSA	[object Object]	(India, Brazil, and South Africa)	initialism
ibuprofen	[object Object]	(pharmaceutical drug)	n
-ic	[object Object]	(Note: these translations are a guide only. For more precise translations, see individual words ending in -ic)	suffix
I came, I saw, I conquered	vim, vi, venci	(used to indicate a total swift victory)	phrase
ICAO	[object Object]	(International Civil Aviation Organization)	initialism
ice	assassinar	(to murder)	v
ice age	[object Object]	(period of extensive glaciation)	n
iceberg	[object Object]	(huge mass of floating ice)	n
icebox	{refrigerator}		n
icebreaker	[object Object]	(ship designed to break through ice)	n
ice-cold	[object Object]	(distant)	adj
ice cream	[object Object]	(in a cone)	n
ice cube	cubo de gelo	(small piece of ice used for cooling drinks)	n
ice cube tray	{ice tray}		n
iced coffee	[object Object]	(beverage)	n
iced tea	[object Object]	(beverage)	n
ice floe	{floe}		n
ice hockey	[object Object]	(hockey)	n
Iceland	[object Object]	(country in Europe)	prop
Icelander	[object Object]	(a person from Iceland or of Icelandic descent)	n
Icelandic	[object Object]	(language)	prop
Icelandic Sheepdog	[object Object]	(Icelandic Sheepdog)	n
Icelandish	{Icelandic}		prop
ice lolly	picolé	(frozen juice)	n
ice rink	rinque de patinação, pista de gelo	(a surface for roller skating)	n
ice skate	[object Object]	(a light boot, fitted with a blade, used for skating on ice)	n
ice skating	patinação no gelo	(the act, or the sport, of skating on ice)	n
ichthyological	ictiológico	(ichthyological)	adj
ichthyologist	ictiólogo	(expert in ichthyology)	n
ichthyology	[object Object]	(branch of zoology devoted to the study of fish)	n
icicle	[object Object]	(a spear-shape of ice)	n
icing sugar	{powdered sugar}		n
icky	[object Object]	(unpleasantly sticky; yucky; disgusting)	adj
icon	[object Object]	(small picture, computer icon)	n
iconoclast	[object Object]		n
iconoclastic	iconoclástico	(pertaining to iconoclasm)	adj
iconostasis	iconóstase	(a wall of icons)	n
icosahedron	[object Object]	(a polyhedron)	n
ICU	UTI, unidade de terapia intensiva	(intensive care unit)	n
ID	ID card	(identification or identity documentation)	n
Idaho	[object Object]	(US state)	prop
ID card	[object Object]	(card or badge showing the official identity of the wearer)	n
idea	[object Object]	(image formed in the mind)	n
ideal	[object Object]	(a perfect standard of beauty, intellect etc.)	n
ideal gas	gás perfeito	(hypothetical gas)	n
idealism	[object Object]	(an approach to philosophical enquiry)	n
identical	idêntico	(bearing full likeness)	adj
identification	[object Object]	(the act of identifying, or proving to be the same)	n
identify	identificar	(to establish the identity of someone or something)	v
identity	[object Object]	(the sameness some individuals share to make up the same kind or universal)	n
identity card	ID card	(a card showing one's identity)	n
identity theft	roubo da identidade	(the deliberate assumption of another person's identity)	n
ideogram	[object Object]	(a symbol)	n
ideologic	{ideological}		adj
ideological	ideológico	(of or pertaining to an ideology)	adj
ideologically	ideologicamente	(in an ideological manner; with respect to ideology)	adv
ideologue	[object Object]	(advocate of a particular ideology)	n
ideology	[object Object]	(doctrine, body of ideas)	n
ides	[object Object]	(day in the Roman calendar)	n
idiom	[object Object]	(expression peculiar to a given language)	n
idiomatic	[object Object]	(pertaining or conforming to the mode of expression characteristic of a language)	adj
idiomatical	idiomatic	(idiomatical)	adj
idiopathic	idiopático	(disease or condition having no known cause)	adj
idiosyncrasy	[object Object]	(way of behaving or thinking)	n
idiosyncratic	idiossincrásico, idiossincrático	(peculiar to a specific individual)	adj
idiot	[object Object]	(person of low general intelligence)	n
idiotic	idiótico	(pertaining to or resembling an idiot)	adj
idiotypic	idiotípico	(Of or pertaining to an idiotype )	adj
idle	perder tempo	(to lose or spend time doing nothing)	v
idleness	[object Object]	(state of being idle; inactivity)	n
I'd like to kiss you	eu gostaria de te beijar, eu gostaria de beijar-te, eu gostaria de beijar você, gostaria de te beijar, gostaria de beijar-te, gostaria de beijar você	(I'd like to kiss you)	phrase
I'd like to know	[Brazil] eu gostaria de saber	(phrase)	phrase
Ido	[object Object]	(artificial language reformed from Esperanto)	prop
idol	[object Object]	(representation of anything revered)	n
idolator	{idolater}		n
idolatry	[object Object]	(worship of idols)	n
I don't care	eu não me importo, não me importo	(I don't care)	phrase
I don't eat fish	(eu) não como peixe	(I don't eat fish)	phrase
I don't eat meat	eu não como carne	(I don't eat meat)	phrase
I don't eat pork	eu não como carne de porco	(I don't eat pork)	phrase
I don't know	(eu) não sei/conheço, sei lá [informal]	(“I don’t know”)	phrase
I don't speak English	eu não falo inglês	(I don't speak English)	phrase
I don't think so	de jeito nenhum	(sarcastic)	phrase
I don't understand	eu não entendo	(I don't understand)	phrase
idyll	[object Object]	(poem or short written piece)	n
idyllic	idílico	(of or pertaining to idylls)	adj
i.e.	isto é, ou seja	(that is)	abbr
if	[object Object]	(a theoretical condition)	n
if and only if	se e somente se	(implies and is implied by)	conj
iff	sse, sss	(abbreviation of if and only if)	abbr
if I were you	se eu fosse você	(advice introduction)	phrase
if only	oxalá, quem me dera/quem dera (que) (a sentence in the subjunctive mood follows)	(signifies a wish)	phrase
if the shoe fits	se a carapuça serviu	(idiomatic)	phrase
-ify	-ificar, -fazer	(to produce verbs meaning to make)	suffix
if you can't beat them, join them	se você não pode vencê-los, junte-se a eles	(if your adversaries are stronger than yourself, it is better to join the adversaries)	proverb
igloo	[object Object]	(Inuit snow house)	n
Ignatius	Inácio	(male given name)	prop
igneous rock	[object Object]	(one of the major groups of rock that makes up the crust of the Earth)	n
ignis fatuus	{will o' the wisp}		n
ignition	[object Object]	(the act of igniting)	n
ignominy	[object Object]	(Great dishonor, shame, or humiliation)	n
ignorance	[object Object]	(condition of being uninformed or uneducated)	n
ignorance is bliss	a ignorância é uma bênção	(Ignorance is bliss)	proverb
ignorant	[object Object]	(characterized by ignorance)	adj
ignore	ignorar	(to deliberately pay no attention to)	v
iguana	[object Object]	(any of several members of the lizard family Iguanidae)	n
Iguazu	Iguaçu	(waterfalls)	prop
I hate you	[informal] eu odeio-te, [to a man, formal] eu odeio-o, [to a woman, formal] eu odeio-a	(expression of intense dislike)	phrase
I have a cold	estou gripado [used by a male], estou gripada [used by a female], estou resfriado [used by a male], estou resfriada [used by a female]	(I have a cold)	phrase
I have a fever	eu estou com febre	(I have a fever)	phrase
I have AIDS	(eu) tenho AIDS, (eu) tenho SIDA	(I have AIDS)	phrase
I have a question	eu tenho uma pergunta, tenho uma pergunta	(I have a question)	phrase
I have asthma	eu tenho asma	(I have asthma)	phrase
I have cancer	(eu) tenho cancro [Portugal], (eu) tenho câncer [Brazil]	(I have cancer)	phrase
I have diabetes	tenho diabete, eu tenho diabete, tenho diabetes, eu tenho diabetes	(I have diabetes)	phrase
I have high blood pressure	tenho pressão alta	(I have high blood pressure)	phrase
I have no money	eu não tenho dinheiro	(I have no money)	phrase
I haven't the foggiest	não faço a mínima ideia	(I don't know)	phrase
ikebana	[object Object]	(ikebana)	n
I know	eu sei	(response indicating agreement with prior statement before it was made)	phrase
I know you are but what am I	[object Object]	(assertion that an insult made by the party to whom the phrase is directed is actually true of that party)	phrase
Iliad	[object Object]	(ancient Greek epic poem about the Trojan War)	prop
I like you	gosto de você, eu gosto de você	(I like you)	phrase
ilium	[object Object]	(bone)	n
I live in Melbourne	moro em Melbourne, eu moro em Melbourne	(I live in Melbourne (example city))	phrase
ill	[object Object]	(suffering from a disease)	adj
illation	[object Object]	(action of concluding or inferring)	n
illative case	[object Object]	(case used to indicate movement into something)	n
I'll call the police	chamarei a polícia, vou chamar a polícia	(I'll call the police)	phrase
illegal	ilegal	(contrary to or forbidden by law)	adj
illegal combatant	[object Object]	(one who engages in combat without meeting the Geneva Convention)	n
illegible	ilegível	(not clear enough to be read)	adj
illegitimate	ilegítimo	(not genuine; not authorized by good usage)	adj
illicit	ilícito	(unlawful)	adj
ill-intentioned	{malevolent}		adj
illiteracy	[object Object]	(inability to read)	n
illiterate	analfabeto, iletrado	(unable to read and write)	adj
ill-mannered	mal-educado, malcriado, grosseiro	(of or pertaining to having bad manners)	adj
illness	[object Object]	(a state of bad health)	n
illuminate	iluminar	(to shine light on something)	v
illumination	[object Object]	(the act of illuminating, or supplying with light; the state of being illuminated)	n
illusion	[object Object]	(anything that seems to be something that it is not)	n
illusionist	[object Object]	(one who works with illusion)	n
illusive	{illusory}		adj
illusory	ilusório	(illusory)	adj
illustrate	ilustrar	(to clarify)	v
illustration	[object Object]	(picture designed to decorate)	n
illustrator	desenhista	(person who draws pictures)	n
illustrious	[object Object]	(dignified)	adj
ill will	[object Object]	(ill-disposed attitude)	n
Illyria	[object Object]	(region in the Balkan Peninsula)	prop
Illyrian	ilírio	(inhabitant of the ancient Illyria)	prop
ilmenite	[object Object]	((mineralogy) a weakly magnetic dark gray mineral)	n
I lost my backpack	perdi minha mochila, eu perdi minha mochila, perdi minha bolsa, eu perdi minha bolsa	(I lost my backpack)	phrase
I lost my bag	{I lost my handbag}		phrase
I lost my glasses	perdi os meus óculos, eu perdi os meus óculos	(I lost my glasses)	phrase
I lost my handbag	perdi a minha bolsa, eu perdi a minha bolsa	(I lost my handbag)	phrase
I lost my keys	eu perdi minhas chaves, perdi minhas chaves	(I lost my keys)	phrase
I lost my wallet	perdi minha carteira, eu perdi minha carteira	(I lost my wallet)	phrase
I love you	(eu) gosto de ti [Portugal], (eu) estou gostando de você [Brazil], (eu) gosto de você	(platonic expression of inclination or liking)	phrase
I'm	(eu) sou	(I am)	contraction
I'm a Buddhist	eu sou budista, sou budista	(I'm a Buddhist)	phrase
I'm a Catholic	[object Object]	(I'm a Catholic)	phrase
I'm a Christian	[object Object]	(I'm a Christian)	phrase
image	[object Object]	(mental picture)	n
imagery	imitation	(imitation work)	n
imaginary	imaginário	(non-real part of a complex number)	adj
imaginary number	[object Object]	(number of the form ai)	n
imagination	[object Object]	(image-making power of the mind)	n
imaginative	[object Object]	(having a lively imagination)	adj
imagine	imaginar	((transitive) to form a mental image of something)	v
I'm agnostic	[object Object]	(I'm agnostic)	phrase
I'm allergic to aspirin	eu sou alérgico a aspirina	(I'm allergic to aspirin)	phrase
I'm allergic to penicillin	eu sou alérgico a penicilina	(I'm allergic to penicillin)	phrase
I'm allergic to pollen	[object Object]	(I'm allergic to pollen)	phrase
imam	[object Object]	(Muslim leader)	n
I'm a Muslim	[object Object]	(I'm a Muslim)	phrase
I'm an atheist	[object Object]	(I'm an atheist)	phrase
I'm a vegetarian	[object Object]	(I'm vegetarian)	phrase
imbalance	[object Object]	(property of not being in balance)	n
imbecile	[object Object]	(person with limited mental capacity)	n
I'm bisexual	sou bissexual	(I'm bisexual)	phrase
I'm bleeding	eu estou sangrando, estou sangrando	(I'm bleeding)	phrase
I'm blind	[object Object]	(I'm blind)	phrase
imbroglio	[object Object]	(an entangled situation)	n
imbue	imbuir	(to wet or stain completely)	v
I'm cold	estou com frio, tenho frio, sinto frio	(I'm cold)	phrase
I'm deaf	[object Object]	(I'm deaf)	phrase
I'm dying	eu estou morrendo, estou morrendo	(I'm dying)	phrase
I'm fine	estou bem	(response)	phrase
I'm fine, thank you	eu vou bem, obrigado (in response to como vai você?)	(expected, polite response to How are you?)	phrase
I'm gay	[object Object]	(I'm gay)	phrase
IMHO	EMHO, NMHO	(in my humble opinion)	initialism
I'm hot	estou com calor	(I'm hot)	phrase
I'm hungry	[object Object]	(I'm hungry)	phrase
I'm in love with you	eu estou apaixonado por você [male speaker], eu estou apaixonada por você [female speaker]	(declaration of romantic feeling)	phrase
I miss you	sinto sua falta, sinto saudade de você, tenho saudades de você	(I miss you)	phrase
imitate	imitar	(to follow as a model)	v
imitation	[object Object]	(copy)	n
I'm Jewish	[object Object]	(I'm Jewish (religious))	phrase
I'm looking for a job	procuro trabalho, procuro emprego	(I'm looking for a job)	phrase
I'm lost	[object Object]	(I'm lost)	phrase
immaculate	imaculado	(having no stain or blemish, spotless, undefiled, clear, pure)	adj
Immaculate Conception	imaculada conceição	(The doctrine of the Roman Catholic Church)	prop
Immanuel	Emmanuel	(male given name)	prop
I'm married	[object Object]	(I'm married)	phrase
immaterial	imaterial	(having no matter or substance)	adj
immature	imaturo	(not fully formed)	adj
immediate	imediato	(without delay)	adj
immediately	imediatamente	(in an immediate manner)	adv
immense	maravilhoso, ótimo	(supremely good)	adj
immensely	imensamente	(hugely; extremely; vastly)	adv
immensity	[object Object]	(the state or characteristic of being immense)	n
immerse	imergir, submergir	(to put under the surface of a liquid)	v
immersion	imersão	(the act of immersing or the condition of being immersed)	n
immethodical	{unmethodical}		adj
immethodically	{unmethodically}		adv
immigrant	[object Object]	(person who comes to a country to settle)	n
immigrate	imigrar	(to move in from another country or area)	v
immigration	[object Object]	(the act of immigrating)	n
imminent	iminente	(about to happen, occur, or take place very soon)	adj
immolate	sacrificar, imolar	(kill as sacrifice)	v
immoral	imoral	(not moral)	adj
immortal	[object Object]	(one that is not susceptible to death)	n
immortality	[object Object]	(condition of not being susceptible to death)	n
immune	[object Object]	(protected due to innate resistance to pathogens)	adj
immune system	[object Object]	(system that protects the body from foreign material and organisms)	n
immunization	[object Object]	(process of immunization)	n
immunize	imunizar	(to make someone or something immune to something)	v
immunology	imunologia	(branch of medicine)	n
immure	emparedar	(to put or bury within a wall)	v
I'm mute	[object Object]	(I'm mute)	phrase
I'm not religious	não sou religioso	(I'm not religious)	phrase
imp	[object Object]	(mischievous child)	n
impact	[object Object]	(the force or energy of a collision of two objects)	n
impair	prejudicar, enfraquecer, diminuir, empiorar, piorar	(have a diminishing effect on)	v
impala	[object Object]	(African antelope)	n
impale	empalar	(put to death by piercing with a pale)	v
impart	comunicar, passar	(communicate the knowledge of)	v
impasse	[object Object]	(a road with no exit; a cul-de-sac)	n
impassionate	{impassioned}		adj
impassive	impassível	(Having, or revealing, no emotion)	adj
impatience	[object Object]	(quality of being impatient)	n
impatient	impaciente	(restless and intolerant of delays)	adj
impeach	impugnar	(to bring legal proceeding against public official)	v
impede	impedir	(to get in the way of; to hinder)	v
impel	impelir	(To urge a person; to press on; to incite to action or motion via intrinsic motivation)	v
imperative	{imperative mood}		n
imperative mood	[object Object]	(imperative mood)	n
imperfect	[object Object]	(past tense)	n
imperfection	[object Object]	(state of being imperfect)	n
imperfective aspect	[object Object]	(grammatical term)	n
imperial	imperial	(related to the British measurement system)	adj
imperialism	[object Object]	(the policy of extending power, by force)	n
imperious	imperial	(imperial or regal)	adj
impermeable	impermeável	(impossible to permeate)	adj
impersonal	impessoal	(lacking warmth or emotion)	adj
impersonally	impessoalmente	(in an impersonal manner)	adv
impertinent	impertinente	(insolent, ill-mannered)	adj
impervious	impérvio	(unaffected or unable to be affected by)	adj
impetrate	impetrar	(to procure upon request)	v
impetuous	impetuoso	(describing one who makes arbitrary decisions)	adj
impetus	impulso	(the force or energy associated with a moving body; a stimulus)	n
impish	levado, travesso	(mischievous)	adj
implacable	implacável	(not able to placate or appease)	adj
implantation	[object Object]	(surgery: act of inserting an implant)	n
implement	implementar	(bring about)	v
implementation	[object Object]	(process of moving an idea from concept to reality)	n
implicate	intertwine	(to intertwine)	v
implicature	[object Object]	(An implied meaning)	n
implicit	implícito	(implied indirectly)	adj
implied	subentendido	(suggested without being stated directly)	adj
implode	implodir	(to collapse or burst inward violently)	v
implore	implorar	(to beg for)	v
imply	implicar	(to have as a consequence)	v
impolite	[object Object]	(not polite)	adj
import	importar	(to bring in from a foreign country)	v
importance	[object Object]	(significance or prominence)	n
important	importante	(having relevant and crucial value)	adj
importantness	{importance}		n
importunate	importunar	(to obtain by importunity)	v
importune	importunar, incomodar	(to harass with persistent requests)	v
impose	impor	(to establish or apply by authority)	v
impossible	impossível, insuportável	(very difficult to deal with)	adj
impossibly	impossivelmente	(to the point of impossibility)	adv
imposter	impostor	(Someone who attempts to deceive by using an assumed name or identity or other devious disguise)	n
impostor	[object Object]	(someone who uses assumed identity)	n
impotable	undrinkable	(not drinkable)	adj
impotence	[object Object]	(powerlessness)	n
impracticalness	{impracticality}		n
impregnate	impregnar	(to saturate, to infuze)	v
impress	impressionar	((transitive) affect (someone) strongly and often favourably)	v
impressed	impressionado	(strongly affected, especially favourably)	adj
impression	[object Object]	(overall effect of something)	n
impressionable	impressionável	(susceptible to influence)	adj
impressionism	[object Object]	(movement in art)	n
impressive	impressionante	(making, or tending to make, an impression; having power to impress)	adj
impressively	impressionantemente	(in an impressive manner)	adv
imprison	aprisionar, prender, encarcerar	(to put in or as if in prison; confine)	v
imprisonment	[object Object]	(confinement)	n
improper	impróprio	(unsuitable to needs or circumstances)	adj
improve	melhorar	(to make something better)	v
improved	melhorado	(that has been made better)	adj
improvement	melhora, melhoramento, melhoria		n
improvisation	improviso	(that which is improvised; an impromptu)	n
improvise	improvisar	(to make something up as one goes on)	v
imprudence	[object Object]	(quality or state of being imprudent)	n
impudence	[object Object]	(quality of being impudent)	n
impudently	{shamelessly}		adv
impulse	[object Object]	(sudden force that impels)	n
impulsive	impulsivo	(highly reactive; inclined to make rapid decisions without due consideration)	adj
impure	impuro	(impure)	adj
impurity	[object Object]	(the condition of being impure)	n
imputation	[object Object]	(that which has been imputed)	n
impute	imputar	(To reckon as pertaining or attributable; to charge; to ascribe; to attribute; to set to the account of; to charge to one as the author, responsible originator, or possessor)	v
I'm sick	eu estou doente	(I'm sick/ill)	phrase
I'm single	[object Object]	(I'm single)	phrase
I'm sorry	sinto muito, perdão, desculpa	(I'm sorry)	phrase
I'm straight	sou hétero, sou heterossexual, eu sou hétero, eu sou heterossexual	(I'm straight)	phrase
I'm thirsty	eu tenho sede, tenho sede	(I need a drink)	phrase
I'm tired	[object Object]	(I am tired (in need of rest or sleep))	phrase
I'm twenty years old	tenho vinte anos de idade, tenho vinte anos, eu tenho vinte anos de idade, eu tenho vinte anos	(I am twenty years old)	phrase
I must go	preciso ir	(I must go)	phrase
I'm ... year(s) old	eu tenho ... anos de idade
in	em	(surrounded by)	prep
-in'	{-ing}		suffix
inacceptable	{unacceptable}		adj
inaction	[object Object]	(want of action or activity)	n
in addition	além disso, ademais	(also; as well)	adv
inadequate	inadequado	(Not adequate)	adj
in advance	{beforehand}		adv
inadvertently	sem querer	(unintentionally)	adv
inadvisable	[object Object]	(not advisable)	adj
in a flash	rapidamente	(very quickly)	adv
inalienable	inalienável	(incapable of being alienated, surrendered, or transferred to another; not alienable)	adj
inane	inane, vão, vazio, fútil	(lacking sense or meaning)	adj
inanition	[object Object]	(A state of advanced lack of adequate nutrition, food or water, or a physiological inability to utilize them; starvation)	n
in any case	de todo modo, de qualquer forma, seja como for, em todo caso	(at any rate)	adv
in a pinch	em caso de emergência	(in a difficult situation)	adv
inappropriate	[object Object]	(not appropriate or suitable)	adj
inasmuch as	no que, quando	(to the extent that)	conj
inaudible	inaudível	(unable to be heard)	adj
inaudibly	inaudivelmente	(in context of not being heard)	adv
inaugurate	inaugurar	(to dedicate ceremoniously)	v
inauguration	[object Object]	(act of inaugurating)	n
inbalance	{imbalance}		n
in between	entre	(between)	prep
in-box	[object Object]	(electronic folder)	n
in broad daylight	em plena luz do dia	(in blatant and visible manner)	adv
incalculable	incalculável	(very great or numerous)	adj
incalculably	incalculavelmente	(in an incalculable manner)	adv
Incan	incaico		adj
incandescent	light bulb	(incandescent lamp)	n
incantation	[object Object]	(formula)	n
incapacity	[object Object]	(lack of a capacity)	n
incarcerate	prender, encarcerar, aprisionar	(to lock away in prison)	v
incarnate	encarnar	(to represent in a concrete form)	v
incendiary	inflamado, acalorado	(inflammatory, emotionally charged)	adj
incense	[object Object]	(A perfume often used in the rites of various religions)	n
inception	[object Object]	(the creation or beginning of something)	n
incessantly	incessantemente	(in a manner without pause or stop)	adv
incest	[object Object]	(sexual relations between close relatives)	n
inch	movimentar-se pouco a pouco OR movimentar-se aos poucos	(to move very slowly)	v
in charge	[object Object]	(having responsibility)	adj
inchworm	{measuring worm}		n
incident	incidente	(event or occurrence)	n
