@rowCount	3536
bangu	w	n	d	t	s	r	g
loglan	norsmu	⬅ nor+smu(pi)	B is «uneven».	1-Cpx	1a		uneven
loglan	norso	⬅ norsk	B is an element/inst. of «Norwegian» culture.	N-Prim	1n		Norwegian
loglan	norso	⬅ norsk	«Norwegian», pert. to things Norwegian.	N-Prim	a		Norwegian
loglan	lo norso		«Norwegian culture», the mass of all such elements.		n		Norwegian culture
loglan	norspi	⬅ nor+spi(cu)	B is «worldly», as distinct from spiritual.	1-Cpx	1a		worldly
loglan	lopu norspi		«worldliness», pert. to bodily rather than spiritual interests.		n		worldliness
loglan	norste	⬅ nor+ste(ti)	B is the «negation»/«contradiction» of B.	1-Cpx	2n		negation,contradiction
loglan	norste	⬅ nor+ste(ti)	«negative»/«contradictory», pert. to sentences.	1-Cpx	a		negative,contradictory
loglan	norste	⬅ nor+ste(ti)	«negate»/«contradict», sentence ....	1-Cpx	vt		negate,contradict
loglan	norstetaa	⬅ nor+ste(ti)+ta(kn)a	K «contradict» person D in statement P.	2-Cpx	3v		contradict
loglan	norstetaa	⬅ nor+ste(ti)+ta(kn)a	«contrary»/«contradictory»/«negative», pert. to one who -s.	2-Cpx	a		contrary,contradictory,negative
loglan	po norstetaa		a «contradiction», an act of -ing persons.		n		contradiction
loglan	norstifa	⬅ nor+stifa	B is «flexible»/«non rigid» in movement V.	1-Cpx	2a		flexible,non rigid
loglan	norstifa kotrae		«floppy disk».		n		floppy disk
loglan	norsto	⬅ nor+sto(lo)	B is an «impermanent»/«passing»/«transient»/«ephemeral»/«transitory» aspect of N.	1-Cpx	2a		impermanent,passing,transient,ephemeral,transitory
loglan	po norsto		an «impermanence», a spec. state of -ence.		n		impermanence
loglan	pu norsto		«impermanence»/«transience», a prop. of passing things.		n		impermanence,transience
loglan	norsusdarli	⬅ nor+sus(ke)+darli	G is more «dishonourable»/«dishonorable»/«disgraceful» than J.	2-Cpx	2a		dishonourable,dishonorable,disgraceful
loglan	lopu norsusdarli		«dishonour»/«dishonor»/«disgrace», mass property.		n		dishonour,dishonor,disgrace
loglan	po norsusdarli		an instance of «dishonour»/«dishonor»/«disgrace».		2n		dishonour,dishonor,disgrace
loglan	nortaa	⬅ nor+ta(kn)a	B is «dumb»/«mute», unable to talk.	1-Cpx	1a		dumb,mute
loglan	nortakcea	⬅ nor+tak(na)+ce(nj)a	B become «dumb»/«mute», unable to speak.	2-Cpx	1a		dumb,mute
loglan	nortci	⬅ nor+t(it)ci	K «fast»/abstain from eating for reasons S.	1-Cpx	2v		fast
loglan	po nortci		a «fast» (for ...).		n		fast
loglan	nortcimorcea	⬅ nor+t(it)ci+mor(to)+ce(nj)a	D «starve» to death.	3-Cpx	1v		starve
loglan	lopu nortcimorcea		«famine»/«starvation», mass property.		n		famine,starvation
loglan	po nortcimorcea		a/some «starvation».		n		starvation
loglan	nortepli	⬅ nor+tepli	B is «secular».	1-Cpx	1a		secular
loglan	nortistia	⬅ nor+tis(ra)+ti(sr)a	K «eliminate»/«discard»/«drop»/«reject» B from selection process V.	2-Cpx	3v		eliminate,discard,drop,reject
loglan	nu nortistia		a «discard», one «eliminated» (by ... from ...).		n		discard,eliminated
loglan	po nortistia		an inst. of «elimination».		n		elimination
loglan	nortoi	⬅ nor+to(gr)i	K «quarrel»/«disagree» with K about V, e.g. I have no quarrel with that.	1-Cpx	3v		quarrel,disagree
loglan	fu nortoi		a «disagreement», that which is -ed about.		n		disagreement
loglan	po nortoi		a «disagreement», a spec. act of -ing.		n		disagreement
loglan	nortorjai	⬅ nor+tor+ja(lt)i	C is an «odd number», one not divisible by two.	1-Cpx	1n		odd number
loglan	nortorjai	⬅ nor+tor+ja(lt)i	«odd»/«uneven», of odd numbers.	1-Cpx	a		odd,uneven
loglan	nortrecycea	⬅ nor+trec(i)+y+ce(nj)a	D «become disinterested» in B.	2-Cpx	2v		become disinterested
loglan	lopu nortrecycea		«disinterest», mass property.		n		disinterest
loglan	po nortrecycea		an instance of «disinterest» in ....		n		disinterest
loglan	nortsidaspa	⬅ nor+tsi(me)+daspa	B is «innocent» of V.	2-Cpx	2a		innocent
loglan	lopu nortsidaspa		«innocence», mass property of being not criminally responsible.		n		innocence
loglan	po nortsidaspa		an instance of «innocence» (of ...).		n		innocence
loglan	norvau	⬅ nor+va(tl)u	B is «worthless» to D.	1-Cpx	2a		worthless
loglan	norveicea	⬅ nor+ve(tc)i+ce(nj)a	B is «prevented» from happening.	2-Cpx	1v		prevented
loglan	norveicko	⬅ nor+ve(tc)i+cko(zu)	N «prevent» event V from happening, nonintentional.	2-Cpx	2v		prevent
loglan	norveicko	⬅ nor+ve(tc)i+cko(zu)	«preventive», of that which -s.	2-Cpx	a		preventive
loglan	nu norveicko		«preventable», capable of being -ed.		a		preventable
loglan	po norveicko		a «prevention», an act of -ing.		n		prevention
loglan	norveimao	⬅ nor+ve(tc)i+ma(dz)o	K «prevent» event V from happening, intentional.	2-Cpx	2v		prevent
loglan	norveimao	⬅ nor+ve(tc)i+ma(dz)o	«preventive», of that which -s.	2-Cpx	a		preventive
loglan	nu norveimao		«preventable», capable of being -ed.		a		preventable
loglan	po norveimao		a «prevention», an act of -ing.		n		prevention
loglan	norvia	⬅ nor+vi(zk)a	B is a «blind» person/animal.	1-Cpx	1n		blind
loglan	norvia	⬅ nor+vi(zk)a	«blind», sightless.	1-Cpx	a		blind
loglan	norvia	⬅ nor+vi(zk)a	a «blind» person, one who is blind.	1-Cpx	n		blind
loglan	lo norvia		(the) «blind», mass term.		n		blind
loglan	lopu norvia		«blindness», mass term of properties.		n		blindness
loglan	pu norvia		a «blindness», a spec. property.		n		blindness
loglan	norviacko	⬅ nor+vi(zk)a+cko(zu)	N «blind» D by V.	2-Cpx	3v		blind
loglan	norviacpu	⬅ nor+vi(zk)a+cpu(la)	N «attract» S to D with force C, e.g. magnetism, gravity.	2-Cpx	4v		attract
loglan	norviacpu	⬅ nor+vi(zk)a+cpu(la)	«attracting», pertaining to that which -s.	2-Cpx	a		attracting
loglan	nu norviacpu		«attracted», pertaining to the thing -ed.		a		attracted
loglan	po norviacpu		an «attraction», a spec. instance of -ing.		n		attraction
loglan	norvolsoa	⬅ nor+vol(si)+so(nd)a	V is an «unvoiced sound», phonetics.	2-Cpx	1n		unvoiced sound
loglan	norvolsoa	⬅ nor+vol(si)+so(nd)a	«unvoiced», of speech sounds.	2-Cpx	a		unvoiced
loglan	noryrispeu	⬅ nor+y+ris(pe)+pe(rn)u	B is a «knave»/«wretch»/«rascal»/«rogue»/«villain», intended sense to be selected.	2-Cpx	1n		knave,wretch,rascal,rogue,villain
loglan	noryriu	⬅ nor+y+(s)ri(s)u	G is more «jocular»/«facetious»/«unserious» than J.	1-Cpx	2a		jocular,facetious,unserious
loglan	noryriucue	⬅ nor+y+(s)ri(s)u+cu(ts)e	K «joke»/«jest» B to D.	2-Cpx	3v		joke,jest
loglan	noryriucue	⬅ nor+y+(s)ri(s)u+cu(ts)e	a «joker»/«jester», one who -s.	2-Cpx	n		joker,jester
loglan	nu noryriucue		a «joke»/«jest», that which is said -ingly.		n		joke,jest
loglan	po noryriucue		a «joke»/«jest», an instance of -ing.		n		joke,jest
loglan	noryrui	⬅ nor+y+ru(ln)i	B is a «rule» proscribing V to actors K under conditions N.	1-Cpx	4n		rule
loglan	noryrui	⬅ nor+y+ru(ln)i	«proscription», a rule which proscribes.	1-Cpx	n		proscription
loglan	noryrui	⬅ nor+y+ru(ln)i	«proscribe» ... to ... under ..., of rules.	1-Cpx	vt		proscribe
loglan	norzavduo	⬅ nor+zav(lo)+du(rz)o	B is/are «harmless» to D.	2-Cpx	2a		harmless
loglan	nosoa	⬅ no+soa	«despite» (premise) ..., used before designations of unentailed claims.	Cpd	pp		despite
loglan	nosoaki	⬅ no+soa+ki	«even though»/«although», of unproductive premises, as in '{nosoaki ... ki ... }; despite ..., ...'.	Cpd	c		even though,although
loglan	nostaa	⬅ no(r)s(a)+ta(kn)a	K is a «Norwegian speaker», a speaker of the ... language.	2-Cpx	1n		Norwegian speaker
loglan	notbi	{gurnoigui}, {nirnoikai}, {noipli}, {noirdurtoi}, {noirselsru}, {noirsifkoi}, {noirsifsui}, {noirsimcea}, {noirsimymao}, {noirskudaa}, {noirskufia}, {noirskuroi}, {noirspali}, {noirtiaklaki}, {noirtsetaa}, {notfaufio}, {notfecfau}, {notgui}, {notguinurtro}, {notgunpeu}, {notkao}, {notkei}, {notkeu}, {notkrikasfa}, {notlenfoa}, {notlensea}, {notnamsri}, {notnurpondaa}, {notpai}, {notpeu}, {notpurcue}, {notpuu}, {notsia}\n⬅ 3/4R inoi | 2/3C bie | 2/3S otr o | 2/3F autre	B is «other»/«another»/a «different»/not the «same» object/person as B.	C-Prim	2a	not,noi	other,another,different,same
loglan	notbi	{gurnoigui}, {nirnoikai}, {noipli}, {noirdurtoi}, {noirselsru}, {noirsifkoi}, {noirsifsui}, {noirsimcea}, {noirsimymao}, {noirskudaa}, {noirskufia}, {noirskuroi}, {noirspali}, {noirtiaklaki}, {noirtsetaa}, {notfaufio}, {notfecfau}, {notgui}, {notguinurtro}, {notgunpeu}, {notkao}, {notkei}, {notkeu}, {notkrikasfa}, {notlenfoa}, {notlensea}, {notnamsri}, {notnurpondaa}, {notpai}, {notpeu}, {notpurcue}, {notpuu}, {notsia}\n⬅ 3/4R inoi | 2/3C bie | 2/3S otr o | 2/3F autre	«another»/«other», not the same thing as.	C-Prim	n	not,noi	another,other
loglan	notbi	{gurnoigui}, {nirnoikai}, {noipli}, {noirdurtoi}, {noirselsru}, {noirsifkoi}, {noirsifsui}, {noirsimcea}, {noirsimymao}, {noirskudaa}, {noirskufia}, {noirskuroi}, {noirspali}, {noirtiaklaki}, {noirtsetaa}, {notfaufio}, {notfecfau}, {notgui}, {notguinurtro}, {notgunpeu}, {notkao}, {notkei}, {notkeu}, {notkrikasfa}, {notlenfoa}, {notlensea}, {notnamsri}, {notnurpondaa}, {notpai}, {notpeu}, {notpurcue}, {notpuu}, {notsia}\n⬅ 3/4R inoi | 2/3C bie | 2/3S otr o | 2/3F autre	be «different from», another thing.	C-Prim	v	not,noi	different from
loglan	lo notbi		(the) «others», the mass of such others.		n		others
loglan	notfaufio	⬅ not(bi)+fa(tr)u+fi(lm)o	K «sympathize»/feel «sympathy for» D about V, i.e. feels ...'s trouble.	3-Cpx	3v		sympathize,sympathy for
loglan	notfaufio	⬅ not(bi)+fa(tr)u+fi(lm)o	«sympathetic», of one who -izes.	3-Cpx	a		sympathetic
loglan	po notfaufio		a «sympathy», a spec. state of feeling -ic.		n		sympathy
loglan	notfecfau	⬅ not(bi)+fe(r)c(i)+fa(tr)u	K «meddle» in N by doing V.	3-Cpx	3v		meddle
loglan	notfecfau	⬅ not(bi)+fe(r)c(i)+fa(tr)u	a «meddler».	3-Cpx	n		meddler
loglan	notgui	⬅ not(bi)+gu(nt)i	G is more «alien»/«exotic»/«foreign», characteristic of other countries than J.	2-Cpx	2a		alien,exotic,foreign
loglan	po notgui		an «exoticness», a spec. state/condition.		n		exoticness
loglan	pu notgui		a «foreignness», a spec. property.		n		foreignness
loglan	notguinurtro	⬅ not(bi)+gu(nt)i+nur+tro(li)	B is a «colony» of country F in location N.	3-Cpx	3n		colony
loglan	notgunpeu	⬅ not(bi)+gun(ti)+pe(rn)u	B is a «foreigner»/«alien»/«stranger» to B.	3-Cpx	2n		foreigner,alien,stranger
loglan	notgunpeu	⬅ not(bi)+gun(ti)+pe(rn)u	«foreign»/«alien», of foreign persons.	3-Cpx	a		foreign,alien
loglan	notkao	⬅ not(bi)+ka(kt)o	K «simulate B»/«pretend to be» ..., without malice.	2-Cpx	2v		simulate B,pretend to be
loglan	notkao	⬅ not(bi)+ka(kt)o	a «simulator»/«pretender», one who -s to be ....	2-Cpx	n		simulator,pretender
loglan	po notkao		a «pretension»/«pretense»/«simulation», an act of pretending to be ....		n		pretension,pretense,simulation
loglan	notkei	⬅ not(bi)+ke(cr)i	K «pity»/feel «sorry for» D, i.e. feels ...'s sorrow.	2-Cpx	2v		pity,sorry for
loglan	lopu notkei		«pity», general property.		n		pity
loglan	nu notkei		«pitiable», conv. of pity.		a		pitiable
loglan	po notkei		a «pity», a state/condition/instance of -ing. 'That's a pity'.		n		pity
loglan	notkeu	⬅ not(bi)+ke(rj)u	K «care for»/be «custodian» of D for third party B.	2-Cpx	3v		care for,custodian
loglan	notkrikasfa	⬅ not(bi)+kri(do)+kasfa	K «persecute» D on pretext N, e.g. different religion.	3-Cpx	3v		persecute
loglan	notkrikasfa	⬅ not(bi)+kri(do)+kasfa	«persecutor», one who -s.	3-Cpx	n		persecutor
loglan	lopo notkrikasfa		«persecution», mass term.		n		persecution
loglan	nu notkrikasfa		«persecuted», pert. to one who is -d.		a		persecuted
loglan	po notkrikasfa		an instance of «persecution».		n		persecution
loglan	notlenfoa	⬅ not(bi)+len(gu)+fo(rm)a	P is a «translation»/«interpretation»/«transformation» of text/document/speech B into other language D by translator/interpreter K.	3-Cpx	4n		translation,interpretation,transformation
loglan	nu notlenfoa		the «source document» of translation ....		n		source document
loglan	notlensea	⬅ not(bi)+len(gu)+se(tf)a	K «translate»(s) document B into target language D from source language S.	3-Cpx	4v		translate
loglan	notlensea	⬅ not(bi)+len(gu)+se(tf)a	a «translator».	3-Cpx	n		translator
loglan	notnamsri	⬅ not(bi)+nam(ci)+sri(te)	K «forge» name P on surface/document D.	3-Cpx	3v		forge
loglan	nu notnamsri		a «forgery» of ... on ....		n		forgery
loglan	po notnamsri		An instance of «forgery».		n		forgery
loglan	notnurpondaa	⬅ not(bi)+nur+pon(su)+da(nz)a	K «covet» B of D.	3-Cpx	3v		covet
loglan	notpai	⬅ not(bi)+pa(rt)i	B is the «other part»/«rest» of F.	2-Cpx	2n		other part,rest
loglan	notpeu	⬅ not(bi)+pe(rn)u	B is «another»/someone «else»/«other than» B.	2-Cpx	2n		another,else,other than
loglan	polcue	⬅ pol(di)+cu(ts)e	K «vote» V on issue N.	2-Cpx	3v		vote
loglan	polcue	⬅ pol(di)+cu(ts)e	a «voter», one who votes.	2-Cpx	n		voter
loglan	lo nu polcue		(the) «vote», mass term of votes.		n		vote
loglan	nu polcue		a «vote», an expression registered by -ing.		n		vote
loglan	poldi	{bitpoldi}, {nerpolsange}, {nurgarpolgru}, {polcue}, {poldilri}, {poldorja}, {polgru}, {polgrugai}, {polkingru}, {polpai}, {polprusa}, {polsange}, {polsekre}, {polsensi}, {polsesmao}, {poltia}, {polylilfa}, {polylimji}, {sicypolpai}\n⬅ 3/5C guo di | 4/7S politic o | 4/7F politique | 4/7G politisch | 3/6E polity | 4/8R politika	F is a «state»/«nation»/«polity», self governing polity of citizens B.	C-Prim	2n	pol	state,nation,polity
loglan	poldi	{bitpoldi}, {nerpolsange}, {nurgarpolgru}, {polcue}, {poldilri}, {poldorja}, {polgru}, {polgrugai}, {polkingru}, {polpai}, {polprusa}, {polsange}, {polsekre}, {polsensi}, {polsesmao}, {poltia}, {polylilfa}, {polylimji}, {sicypolpai}\n⬅ 3/5C guo di | 4/7S politic o | 4/7F politique | 4/7G politisch | 3/6E polity | 4/8R politika	«civil»/«political»/«national», pertaining to states/polities.	C-Prim	a	pol	civil,political,national
loglan	lo nu poldi		«people», the citizenry of polity ....		n		people
loglan	lo nu poldi		«citizenry»/«public», the citizens of state ....		n		citizenry,public
loglan	lopo poldi		«citizenship», general term of being a citizen.		n		citizenship
loglan	lopu poldi		«statehood»/«nationhood», the general self governing prop.		n		statehood,nationhood
loglan	nu poldi		«national»/«civil», pert. to citizens.		a		national,civil
loglan	nu poldi		a «citizen», of nation/state ..., conv. form.		n		citizen
loglan	pu nu poldi		a «nationality», a prop. of being a -al.		n		nationality
loglan	poldilri	⬅ pol(di)+dilri	K «represent» D politically.	2-Cpx	2v		represent
loglan	poldilri	⬅ pol(di)+dilri	a «representative», political, one who -s.	2-Cpx	n		representative
loglan	nu poldilri		a «constituent»/-ncy, conv. of represent.		n		constituent
loglan	po poldilri		a «representation», political, a spec. act.		n		representation
loglan	poldorja	⬅ pol(di)+dorja	N is a «civil war» between factions K (pl) over issue V.	2-Cpx	3n		civil war
loglan	polgru	⬅ pol(di)+gru(pa)	B is a «political party»/«faction» of polity F.	2-Cpx	2n		political party,faction
loglan	polgrugai	⬅ pol(di)+gru(pa)+ga(rn)i	F is a/the «federal government», of confederacy B.	3-Cpx	2n		federal government
loglan	polhimerasi	⬅ ISV	B is a «polymerase» of S, an enzyme.	Bor.	2n		polymerase
loglan	polhimeri	⬅ ISV	B is a «polymer» of S.	Bor.	2n		polymer
loglan	polhonio	⬅ ISV	B is some «polonium», element 84 (Po).	Bor.	1n		polonium
loglan	polji	{safpolji}\n⬅ 3/3E pole | 3/3F pole | 3/3G Pol | 3/4S polo | 3/5R polus | 3/6C pei ji	B is a «pole»/«post»/«mast» of F.	C-Prim	2n		pole,post,mast
loglan	polka	{poktaa}\n⬅ polski, Polish word	B is an element/instance of the «Polish» language.	N-Prim	1n		Polish
loglan	polka	{poktaa}\n⬅ polski, Polish word	«Polish», pert. to the Polish language.	N-Prim	a		Polish
loglan	lo polka		«Polish», the mass of such elements.		n		Polish
loglan	polke	⬅ polski, Polish word	B is a «Polish» place/territory, a region inhabited by Poles.	D-Prim	1a		Polish
loglan	polki	⬅ polski, Polish word	B is «Polish», a Polish person.	D-Prim	1a		Polish
loglan	polkingru	⬅ pol(di)+kin(ci)+gru(pa)	F is «alliance» of polities B.	3-Cpx	2n		alliance
loglan	polko	⬅ polski, Polish word	B is «Polish», of Polish culture.	D-Prim	1a		Polish
loglan	polne	{polnyduo}\n⬅ ISV	B is some «pollen» of F.	S-Prim	2n		pollen
loglan	polnyduo	⬅ poln(e)+y+du(rz)o	K «pollinate» D by V.	2-Cpx	3v		pollinate
loglan	polpai	⬅ pol(di)+pa(rt)i	B is a «state»/«county»/«district»/«ward»/«zone», partly self governing part of polity F.	2-Cpx	2n		state,county,district,ward,zone
loglan	polprusa	⬅ pol(di)+prusa	K «vote» for D in contest V.	2-Cpx	3v		vote
loglan	polprusa	⬅ pol(di)+prusa	a «supporter», political.	2-Cpx	n		supporter
loglan	nu polprusa		a «candidate», person to be voted for.		n		candidate
loglan	polsange	⬅ pol(di)+sange	K is a «minister» to state/ruler F on matters V.	2-Cpx	3n		minister
loglan	polsange	⬅ pol(di)+sange	«ministerial», pertaining to ministers.	2-Cpx	a		ministerial
loglan	polsange	⬅ pol(di)+sange	«counsel»/«advise» ruler ... on ....	2-Cpx	v		counsel,advise
loglan	po polsange		a «ministry», a spec. state of being a -er.		n		ministry
loglan	polsekre	⬅ pol(di)+sekre	B is a «secretary of state» of political entity F.	2-Cpx	2n		secretary of state
loglan	polsensi	⬅ pol(di)+sensi	B is a «political» science.	2-Cpx	1n		political
loglan	lo polsensi		«political» science, mass term.		n		political
loglan	polsesmao	⬅ pol(di)+se(n)s(i)+ma(dz)o	B is a «political scientist».	3-Cpx	1n		political scientist
loglan	polsi	{polsyduo}, {polsygru}\n⬅ 4/5F police | 5/7S policia | 5/8R politsia | 5/8G Polizei | 3/5E police	B is a «policeman»/woman of F.	N-Prim	2n		policeman
loglan	polsyduo	⬅ pols(i)+y+du(rz)o	K «police» D.	2-Cpx	2v		police
loglan	polsygru	⬅ pols(i)+y+gru(pa)	B is a «police department» of F.	2-Cpx	2n		police department
loglan	poltia	⬅ pol(di)+ti(sr)a	K «elect» D for office N.	2-Cpx	3v		elect
loglan	poltia	⬅ pol(di)+ti(sr)a	an «elector», one who -s.	2-Cpx	n		elector
loglan	fu poltia		an elected «office», conv. of elect ... to ....		n		office
loglan	lopu poltia		a/the «suffrage».		n		suffrage
loglan	nu poltia		«elected», conv. of elect.		a		elected
loglan	nu poltia		a «politician», one who is -ed.		n		politician
loglan	po poltia		an «election», an act/event of -ing.		n		election
loglan	polylilfa	⬅ pol(di)+y+lilfa	B is a «statute» of F legislating P, a law enacted by state/country/city ... with object ....	2-Cpx	3n		statute
loglan	polylimji	⬅ pol(di)+y+limji	B is a «frontier»/«border»/political «boundary» of F.	2-Cpx	2n		frontier,border,boundary
loglan	pomce	⬅ ISV	B is some «pumice» from S.	S-Prim	2n		pumice
loglan	ponceamao	⬅ pon(su)+ce(nj)a+ma(dz)o	K «transfer» (ownership) of B to D from S.	3-Cpx	4v		transfer
loglan	po ponceamao		a (specific) «transfer».		n		transfer
loglan	ponclibiu	⬅ pon(su)+cli(ka)+bi(vd)u	K behave «possessively» toward D.	3-Cpx	2v		possessively
loglan	ponclibiu	⬅ pon(su)+cli(ka)+bi(vd)u	«possessive», of one who behaves -ly.	3-Cpx	a		possessive
loglan	ponclibiu	⬅ pon(su)+cli(ka)+bi(vd)u	«possessively», like one who possesses.	3-Cpx	av		possessively
loglan	pu ponclibiu		a «possessiveness», a spec. property.		n		possessiveness
loglan	poncue	⬅ pon(su)+cu(ts)e	K «claim» that B is his.	2-Cpx	2v		claim
loglan	poncue	⬅ pon(su)+cu(ts)e	a «claimant», one who claims ownership.	2-Cpx	n		claimant
loglan	nu poncue		a «claim», a thing claimed.		n		claim
loglan	po poncue		a «claim», an act of -ing.		n		claim
loglan	ponda	{cikpoa}, {cikpoafoi}, {cmacejpoa}, {fatnorpoa}, {fizpoa}, {fospoa}, {furpoa}, {furpoacti}, {genfurpoa}, {kempoa}, {kojpoa}, {korpoa}, {minfospoa}, {minpoa}, {nevpoa}, {norpoa}, {norpoaflo}, {nurpoa}, {nurpoalimji}, {poaflo}, {poarjetro}, {recynorpoa}, {secfurpoa}, {sruciupoa}, {telfypoamai}, {trupoa}, {tsipoa}, {zavnorpoa}\n⬅ 2/2C da | 4/6F repond re | 4/7S respond er | 3/7E respond	K «react»/«respond» with behavior P to stimulus S under N.	C-Prim	4v	poa	react,respond
loglan	ponda	{cikpoa}, {cikpoafoi}, {cmacejpoa}, {fatnorpoa}, {fizpoa}, {fospoa}, {furpoa}, {furpoacti}, {genfurpoa}, {kempoa}, {kojpoa}, {korpoa}, {minfospoa}, {minpoa}, {nevpoa}, {norpoa}, {norpoaflo}, {nurpoa}, {nurpoalimji}, {poaflo}, {poarjetro}, {recynorpoa}, {secfurpoa}, {sruciupoa}, {telfypoamai}, {trupoa}, {tsipoa}, {zavnorpoa}\n⬅ 2/2C da | 4/6F repond re | 4/7S respond er | 3/7E respond	«responsive», reactive to stimulus/ i.	C-Prim	a	poa	responsive
loglan	nu ponda		a «response»/«reaction», a behavior produced in -ing.		n		response,reaction
loglan	po ponda		a «response»/«reaction», an event of responding.		n		response,reaction
loglan	pu ponda		a «responsiveness», a spec. property.		n		responsiveness
loglan	pongidei	⬅ ISV	B is a «pongid»/«ape» of genus/type F from S.	Bor.	3n		pongid,ape
loglan	ponja	{ponjytaa}\n⬅ J for Japanese	B is an element/feature/expression of the «Japanese» language.	N-Prim	1n		Japanese
loglan	ponja	{ponjytaa}\n⬅ J for Japanese	«Japanese», pert. to the Japanese language.	N-Prim	a		Japanese
loglan	lo ponja		«Japanese», the mass of such elements.		n		Japanese
loglan	ponje	⬅ J for Japanese	B is a «Japanese» place/territory, a region inhabited by Japanese.	N-Prim	1a		Japanese
loglan	ponji	⬅ J for Japanese	B is a «Japanese» (person).	D-Prim	1n		Japanese
loglan	ponji	⬅ J for Japanese	«Japanese», of Japanese origin.	D-Prim	a		Japanese
loglan	lo ponji		(the) «Japanese», the mass of such persons.		n		Japanese
loglan	ponjo	⬅ J for Japanese	B is an element/feature/expression of the «Japanese» culture.	D-Prim	1n		Japanese
loglan	ponjo	⬅ J for Japanese	«Japanese», pert. to the Japanese culture.	D-Prim	a		Japanese
loglan	lo ponjo		«Japanese», the mass of such elements.		n		Japanese
loglan	ponjytaa	⬅ ponj(a)+y+ta(kn)a	K is a «Japanese speaker», a speaker of the ... language.	2-Cpx	1n		Japanese speaker
loglan	ponkumkri	⬅ pon(su)+kum(tu)+kri(do)	B is a «communist», one who believes in -ism.	3-Cpx	1		communist
loglan	ponkumkri	⬅ pon(su)+kum(tu)+kri(do)	«communistic», pert. to communal creeds.	3-Cpx	a		communistic
loglan	ponkumkrisio	⬅ pon(su)+kum(tu)+kri(do)+si(st)o	V is an instance of «communism».	4-Cpx	1n		communism
loglan	ponkumkrisio	⬅ pon(su)+kum(tu)+kri(do)+si(st)o	«communistic», pert. to communal creeds.	4-Cpx	a		communistic
loglan	lo ponkumkrisio		«communism», mass term.		n		communism
loglan	ponkuu	⬅ pon(su)+ku(mt)u	B is the «common property» of F, owned in common by group ....	2-Cpx	2n		common property
loglan	ponkuu	⬅ pon(su)+ku(mt)u	«communal», of things owned in common.	2-Cpx	a		communal
loglan	ponkuu	⬅ pon(su)+ku(mt)u	in «common», owned in common by ....	2-Cpx	av		common
loglan	ponkuu	⬅ pon(su)+ku(mt)u	a «commons»/«condominium», something owned in common.	2-Cpx	n		commons,condominium
loglan	lo ponkuu		«commonwealth», the mass of common prop.		n		commonwealth
loglan	ponlai	⬅ pon(su)+la(nd)i	B is an «estate»/«land»/«parcel»/(real) «property», parcel of land owned by N.	2-Cpx	2n		estate,land,parcel,property
loglan	lo ponlai		«real estate», the mass of all owned land.		n		real estate
loglan	nu ponlai		a «landowner»/«landlord»/«proprietor», one who owns land, conv.		n		landowner,landlord,proprietor
loglan	po nu ponlai		a «proprietorship», a spec. state.		n		proprietorship
loglan	ponlilfurlei	⬅ pon(su)+lil(fa)+fur+le(tc)i	B is a «title»/«deed»/right of «ownership» to/in N.	3-Cpx	2n		title,deed,ownership
loglan	ponpai	⬅ pon(su)+pa(rt)i	B is a/the «share»/«portion»/«stock» of D in property F.	2-Cpx	3v		share,portion,stock
loglan	ponparbatsia	⬅ pon(su)+par(ti)+bat(mi)+si(tf)a	B is a «stock exchange», a place for exchanging stock in capital V of economy N.	4-Cpx	3n		stock exchange
loglan	ponpre	⬅ pon(su)+p(ap)re	B is a «title»/«deed» transferring property N to D from S.	2-Cpx	4n		title,deed
loglan	ponsu	{brapou}, {gunponkri}, {gunponkrisio}, {gunpou}, {humnurpou}, {humpou}, {kompou}, {lilpou}, {mropou}, {norponcue}, {norpou}, {notnurpondaa}, {nurponlai}, {nurponsei}, {nurpou}, {parponpre}, {parpou}, {ponceamao}, {ponclibiu}, {poncue}, {ponkumkri}, {ponkumkrisio}, {ponkuu}, {ponlai}, {ponlilfurlei}, {ponpai}, {ponparbatsia}, {ponpre}, {pontoa}, {ralspopou}\n⬅ 2/2E own | 3/4S pose er | 3/5F possed er | 2/5C sue yo | 2/5H swami	K «own»/«have»/«possess» D under social/legal system N.	C-Prim	3v	pon,pou	own,have,possess
loglan	ponsu	{brapou}, {gunponkri}, {gunponkrisio}, {gunpou}, {humnurpou}, {humpou}, {kompou}, {lilpou}, {mropou}, {norponcue}, {norpou}, {notnurpondaa}, {nurponlai}, {nurponsei}, {nurpou}, {parponpre}, {parpou}, {ponceamao}, {ponclibiu}, {poncue}, {ponkumkri}, {ponkumkrisio}, {ponkuu}, {ponlai}, {ponlilfurlei}, {ponpai}, {ponparbatsia}, {ponpre}, {pontoa}, {ralspopou}\n⬅ 2/2E own | 3/4S pose er | 3/5F possed er | 2/5C sue yo | 2/5H swami	an «owner»/«possessor»/«proprietor», one who owns.	C-Prim	n	pon,pou	owner,possessor,proprietor
loglan	nu ponsu		«ownable», conv. of own.		a		ownable
loglan	po ponsu		a «proprietorship»/«possession», an act of -ing.		n		proprietorship,possession
loglan	pu ponsu		an «ownership», a spec. property.		n		ownership
loglan	pontoa	⬅ pon(su)+to(kn)a	K «appropriate»/«seize»/take «possession» of B from D.	2-Cpx	3v		appropriate,seize,possession
loglan	nu pontoa		a «seizure»/«appropriation», a thing seized from ....		n		seizure,appropriation
