@rowCount	188
w	d	t	g	v	n	s
zvasta	$x_1$ stali lo ka ce'u zvati $x_2$	lujvo	zvasta	zvati;stali
zvasto	$x_1$ zvati lo stodi	lujvo		zvati;stodi
zvastu	$x_1$ stuzi gi'e se zvati $x_2$	lujvo	zvastu	zvati;stuzi
masnxa	$x_1$ se detri li xa noi sinxa lo xa moi be lu'i ro da poi masti li pa gi'e pagbu $x_2$ noi nanca li pa lu'u ku'o $x_3$	fu'ivla			.i lu lo masnxa li'u cu dunli lu lo se {ma'irdetri} be li {xa} li'u lo ka smuni to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {masti} .e zo {masnpa} .e zo {masnre} .e zo {masnci} .e zo {masnvo} .e zo {masnmu} .e zo {masnze} .e zo {masnbi} .e zo {masnso} .e zo {masndau} .e zo {masnfei} .e zo {masngai} .e zo {masnjau} .e zo {masnrei} .a bo {masnxei} .e zo {masnvai}
masnxei	$x_1$ se detri li xei noi sinxa lo xei moi be lu'i ro da poi masti li pa gi'e pagbu $x_2$ noi nanca li pa lu'u ku'o $x_3$	fu'ivla			.i dunli zo {masnrei} lo ka smuni .i lu lo masnxei li'u cu dunli lu lo se {ma'irdetri} be li {xei} li'u lo ka smuni to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {masti} .e zo {masnpa} .e zo {masnre} .e zo {masnci} .e zo {masnvo} .e zo {masnmu} .e zo {masnxa} .e zo {masnze} .e zo {masnbi} .e zo {masnso} .e zo {masndau} .e zo {masnfei} .e zo {masngai} .e zo {masnjau} .e zo {masnvai}
masnze	$x_1$ se detri li ze noi sinxa lo ze moi be lu'i ro da poi masti li pa gi'e pagbu $x_2$ noi nanca li pa lu'u ku'o $x_3$	fu'ivla			.i lu lo masnze li'u cu dunli lu lo se {ma'irdetri} be li {ze} li'u lo ka smuni to lo terbri cu se manri lo si'o zasni jbotamgau zo {detri} jo'u zo {ciste} toi .i srana zo {detri} .e zo {detke'u} .e zo {masti} .e zo {masnpa} .e zo {masnre} .e zo {masnci} .e zo {masnvo} .e zo {masnmu} .e zo {masnxa} .e zo {masnbi} .e zo {masnso} .e zo {masndau} .e zo {masnfei} .e zo {masngai} .e zo {masnjau} .e zo {masnrei} .a bo {masnxei} .e zo {masnvai}
ma'ulca	lo nu $x_1$ tavla $x_3$ cu se pagbu lo nu $x_1$ tavla fi $x_2$ .i $x_1$ cusku su'o srana be $x_2$ fi $x_3$	fu'ivla	ma'ulca		smudu'i zo {mlauca}
maxrnspelta	$x_1$ maxri la'o latmo.Triticum aestivum subsp. spelta.latmo.	fu'ivla
meldri'a	$x_1$ melbi $x_2$ fi $x_3$ .i je lo nu $x_2$ zgana $x_1$ cu rinka lo nu $x_2$ cinmo lo kambadri .i $x_2$ lifri joi gi lo kamymelga'e gi lo kambadri ri'a lo nu $x_2$ zgana $x_1$	fu'ivla	meldri'a		srana fa zo {melbi} .e zo {badri} .e zo {cinmo} .e zo {rinka} .e zo {zgana} .e zo {ganse} .e zo {melga'e}
menkini	ro da poi menre $x_2$ zo'u $x_1$ se menre lo me'au $x_3$ be da .i je ro da poi menre $x_1$ zo'u $x_2$ se menre su'o se me'au $x_3$ be ga da gi su'oi ge se menre be da gi menre be $x_1$	fu'ivla			ko catlu ke ji'a zo {menre} je zo {ckini} .i ji'a ko cipcta lo smuvelski lo ka drani
mifnrotpaci	$x_1$ mifra $x_2$ la'o gy.ROT-13.gy.	fu'ivla			zo mifnrotpaci mitsmuvla zo {rotpaci}
rinkini	$x_1$ fe $x_2$ rinka ja se rinka ja ckini be fi lo ka da rinka ce'u jo'u ce'u	fu'ivla			srana fa zo {rinka} .e zo {ckini}
rinsita	$x_1$ tamsmi me'o se'e 2665 ju'u 16 (to zo'oi ♥ toi) noi ka'u ta'e sinxa lo risna .a lo su'u prami .a lo cnise'i .a lo su'u jmive	fu'ivla
ro'imxu	ro da ro de zo'u ga nai ge da je de me $x_1$ gi da de drata gi ge da de gi de da ckini $x_2$	fu'ivla			so'i zo {simxu} se smuni lo ka ro'imxu .i zo {pu'amxu}
rotpaci	$x_1$ mifra $x_2$ la'o gy.ROT-13.gy.	fu'ivla			zo rotpaci mitsmuvla zo {mifnrotpaci}
rundini	$x_1$ cipni $x_2$ noi ke'a klesi la'o me. Hirundinidae .me	fu'ivla	rundini		smudu'i zo {tsubame} .e zo {irnodela}
rutrmango	$x_1$ noi grute ja tricu la'o ly. Mangifera .ly. cu spatrnakardiace $x_2$	fu'ivla
saskrsporte	$x_1$ saske lo si'o esporte ku $x_2$	fu'ivla			.e'u ko tcidu tu'a zo {saske} .e zo {esporte}
si'abzu	$x_1$ sipna binxo zukte	fu'ivla			va'i lo si'abzu cu zukte lo ka binxo lo ka sipna
silvusi	$x_1$ se vrusi lo vrusi be lo silna	fu'ivla			zo {silna} .i zo {vrusi}
singeni	$x_1$ lingeni $x_2$ noi mintu lo jai se jdice be ca lo nu vo'a jbena	fu'ivla
si'omdu	$x_1$ sidbo $x_2$ $x_3$ .i va'i $x_1$ $x_3$ si'o me'au $x_2$	fu'ivla
si'onsi	$x_1$ pensi ja finti $x_2$ noi ke'a sidbo	fu'ivla	si'onsi
sipnybzu	$x_1$ zukte fi lo ka co'a sipna	fu'ivla			zo {sipna} .i zo {binxo} .i zo {zukte}
sitlana	$x_1$ grute la'o jutsi Citrullus lanatus jutsi	fu'ivla
skli'iparte	$x_1$ mu'oi gliban. clip art .gliban	fu'ivla	clip art
u'anmo	$x_1$ .u'a zei cinmo $x_2$ .i $x_1$ cinmo lo ka ce'u jinga ja te prali ja se cnemu ja lo ka ce'u soi ke'a zabna cu co'a ckaji lo cnino kei $x_2$	fu'ivla	u'anmo		{a'anmo}; {a'enmo}; {a'inmo}; {a'onmo}; {a'unmo}; {ainmo}; {aunmo}; {i'anmo}; {i'enmo}; {i'inmo}; {i'onmo}; {i'unmo}; {ianmo}; {ienmo}; {iinmo}; {ionmo}; {iunmo}; {o'anmo}; {o'enmo}; {o'inmo}; {o'onmo}; {o'unmo}; {oinmo}; {u'enmo}; {u'inmo}; {u'onmo}; {u'unmo}; {uanmo}; {uenmo}; {uinmo}; {uonmo}; {uunmo}
uanmo	$x_1$ ua zei cinmo $x_2$ .i $x_1$ cinmo lo ka ce'u facki ja co'a sanji ja co'a jimpe kei $x_2$	fu'ivla	uanmo		{a'anmo}; {a'enmo}; {a'inmo}; {a'onmo}; {a'unmo}; {ainmo}; {aunmo}; {i'anmo}; {i'enmo}; {i'inmo}; {i'onmo}; {i'unmo}; {ianmo}; {ienmo}; {iinmo}; {ionmo}; {iunmo}; {o'anmo}; {o'enmo}; {o'inmo}; {o'onmo}; {o'unmo}; {oinmo}; {u'anmo}; {u'enmo}; {u'inmo}; {u'onmo}; {u'unmo}; {uenmo}; {uinmo}; {uonmo}; {uunmo}
uatno	$x_1$ pi'ai ki'ogra mitre te'ai re snidu te'ai ni'uci boi $x_2$	fu'ivla			{dikca} {klani} be fi lo {sornairauci'e}
u bu	pasomoi lerfu le lojbo	bu-letteral	U;ubu		{lerfu}	BY*
uebjugau	.i $x_1$ jungau $x_2$ lo du'u $x_4$ .urli $x_3$	fu'ivla	.urli jungau		.i .e'u catlu fe ji'a zo {urli}
ue cu'i	tcita le se cusku le du'u la'e ri na'e spaji le cusku	cmavo-compound	uecu'i		{ue} {cu'i}; {na'e} {spaji}	UI*
uegle'i	$x_1$ zukte ja ckaji $x_2$ pa'a lo nu $x_1$ sezgle (to ku'i na rinka tu'a lo panzi toi) .i lo nu $x_1$ ckaji $x_2$ cu rinka lo nu $x_1$ cintolcando ju la'a glevi'i noi pluka ja se djica $x_1$	fu'ivla
ue'inmo	$x_1$ cinmo fi $x_2$ fe lo ka to'e cando gi'e djica lo nu sutra lifri kei gi'e xanka ja gleki	fu'ivla
uengu	$x_1$ zukte lo ka rivbi lo ka jikca $x_2$ kei kei mu'i lo nu $x_1$ fengu $x_2$	fu'ivla			srana fa zo {fengu} je zo {rivbi} je zo {jikca}
u'enmo	$x_1$ .u'e zei cinmo $x_2$ .i $x_1$ se manci $x_2$ .i $x_1$ cinmo lo ka ce'u lifri lo cnino noi na fadni kei $x_2$	fu'ivla	u'enmo		{a'anmo}; {a'enmo}; {a'inmo}; {a'onmo}; {a'unmo}; {ainmo}; {aunmo}; {i'anmo}; {i'enmo}; {i'inmo}; {i'onmo}; {i'unmo}; {ianmo}; {ienmo}; {iinmo}; {ionmo}; {iunmo}; {o'anmo}; {o'enmo}; {o'inmo}; {o'onmo}; {o'unmo}; {oinmo}; {u'anmo}; {u'inmo}; {u'onmo}; {u'unmo}; {uanmo}; {uenmo}; {uinmo}; {uonmo}; {uunmo}
uenmo	$x_1$ ue zei cinmo $x_2$ .i $x_1$ cinmo lo ka ce'u se spaji kei $x_2$ .i $x_2$ fasnu gi'e na se kanpe $x_1$	fu'ivla	uenmo		{a'anmo}; {a'enmo}; {a'inmo}; {a'onmo}; {a'unmo}; {ainmo}; {aunmo}; {i'anmo}; {i'enmo}; {i'inmo}; {i'onmo}; {i'unmo}; {ianmo}; {ienmo}; {iinmo}; {ionmo}; {iunmo}; {o'anmo}; {o'enmo}; {o'inmo}; {o'onmo}; {o'unmo}; {oinmo}; {u'anmo}; {u'enmo}; {u'inmo}; {u'onmo}; {u'unmo}; {uanmo}; {uinmo}; {uonmo}; {uunmo}
uensni	$x_1$ uenzi $x_3$ gi'e sinxa $x_2$	fu'ivla
uenzi	$x_1$ bau $x_3$ se cusku gi'e srana $x_2$	fu'ivla			{cusku}, {bangu}, {gerna}
ue'i	sei ue'inmo	experimental cmavo			.i {ue'inmo}	UI1
u'e nai	tcita le se cusku le du'u la'e ri fadni	cmavo-compound	u'enai		{u'e} {nai}; {fadni}	UI*
ue nai	tcita le se cusku le du'u la'e ri se la'erji'i le cusku	cmavo-compound	uenai		{ue} {nai}; {la'erji'i}	UI*
uftu	fasnu fa lo voi $x_1$ lo .imla be ke'a cu zvada'o je cabda'o gi'e kai'u ti ta ce'ai ti ckaji se ju pevna lo ka ka'e se degja'o ta	fu'ivla			srana zo {tu} je zo .{ifti} je zo .{afta} je zo {degja'o}
za'enpli	$x_1$ pilno lo za'envla no'u $x_2$ $x_3$	fu'ivla			.i ko zgana zo {za'envla}
za'envla	za'e $x_1$ valsi $x_2$ $x_3$ .i va'i $x_1$ za'e zei valsi	fu'ivla			.i ko zgana lu {za'e zei valsi} li'u
zancari	$x_1$ gasnu lo nu $x_2$ sampu $x_3$ kei noi ke'a zabna	fu'ivla			zo'o zei valsi .i valsi krasi fa ra'oi zan joi zoi py. 断捨離(dancari) py.
zankava	$x_1$ xoi zabna cu vanbi ja tcini gi'e mapti lo nu $x_2$ kakne lo ka zukte $x_3$	fu'ivla	zankava		{zabna} {kakne} {vanbi}
zbusufukai	$x_1$ ckaji lo ka ce'u la bauspo fazykamni $x_2$ simsa gi'a ckini	fu'ivla			bysyfyky pacpanra la baupla fuzykamni .i sa'u zo zbusufukai cu se pilno fi lo nu xamsku lo sedu'u $x_1$ ka'esai baze'e daspo lo jbobau
ze'ilsipna	.i lo ka ce'u goi $x_1$ ze'ilsipna ce'u goi $x_2$ cu ka $x_1$ sipna ze'i $x_2$	fu'ivla			.i e'u ko catlu zo'e pe zo {sipna} .e zo {ze'i}
ze'irsaivi	$x_1$ cu jundi $x_2$ noi velsku vau xoi ke'a dukse lo ka ditcma kei lo nu $x_1$ snada lo te zukte be lo ka gasnu ke'a bei $x_1$	fu'ivla			{ze'i} {sai} {vitke}
ze'ogve	$x_1$ ragve $x_2$ fi $x_3$	fu'ivla	ze'ogve		srana fa zo {zo'agve} .e zo {zo'igve} .e zo {zo'i} .e zo {zo'a} .e zo {ze'o} .e zo {ragve}
zildika	fasnu fa su'o poi'i da de poi dubmau da gi'e sumji da $x_2$ zo'u ke'a ge se tolfa'o su'o nu de ckaji $x_1$ gi se fanmo su'o nu da ckaji $x_1$	fu'ivla			srana fa zo {zilzena} .e zo {jdika}
ziltodi	fasnu fa su'o poi'i da zo'u ke'a ge se tolfa'o gi se fanmo vau su'o nu da ckaji $x_1$	fu'ivla			srana fa zo {stodi} .e zo {zilzena} .e zo {zildika}
zilzena	fasnu fa su'o poi'i da de poi dubmau da gi'e sumji da $x_2$ zo'u ke'a ge se tolfa'o su'o nu da ckaji $x_1$ gi se fanmo su'o nu de ckaji $x_1$	fu'ivla			srana fa zo {zildika} .e zo {zenba}
zilzilo	lo si'o zilzilo cu brije'u ro da	fu'ivla			srana fa zo {sezni'i}
zmaduje	$x_1$ zmadu $x_2$ fi $x_3$ noi lo jai fa xi mo'e $x_4$ (to du li pa .a li re toi) no'a cu ca'a ckaji ke'a ma'i $x_5$	fu'ivla	zmaduje		lo ka zmadu na poi'i ro da ro de ro di zo'u lo du'u da de di me'au ke'a cu nibli lo du'u da .a de ca'a ckaji di .i zo zmaduje ku'i ja'a go'i
zmaduse	.i lo ka $x_1$ $x_2$ zmaduse cu ge ka lo stenili zi'o ce'ai ku'ai'i gi ge ka lo stekoni be ko'a bei lo stenili zi'o ce'ai ku'ai'i gi lo stekoni be ko'a bei lo stekoni be ko'e bei fo'a be'o be'o X ce'ai ge ko'a ko'e zmadu X gi lo stekoni be ko'e bei fo'a cu zmaduse X	fu'ivla			.i X1 liste .i ro da poi ke'a de lidne X1 zo'u da zmadu lo se lidne be da X2
zmo'una	$x_1$ pilno $x_2$ lo nu lifri $x_3$	fu'ivla			ra'oi -zmo- noi la .telselkik. finti cu ca'e rafsi zo zmo'una noi la cirko cu mapti finti ba lo nu TSK finti lo rafsi lo nu plixau lujvo zbasu kei lo se cuxna be fi lo'i na'e selpli rafsi
zo'agve	$x_1$ no'e ragve $x_2$ fi $x_3$ .i $x_1$ ragve na je nai to'e ragve $x_2$ fi $x_3$	fu'ivla	zo'agve		srana fa zo {zo'igve} .e zo {ze'ogve} .e zo {zo'i} .e zo {zo'a} .e zo {ze'o} .e zo {ragve}
zo'igve	$x_1$ dunli $x_3$ lo ka ma kau mlana $x_2$ gi'e se zvati ce'u	fu'ivla	zo'igve		srana fa zo {zo'agve} .e zo {ze'ogve} .e zo {zo'i} .e zo {zo'a} .e zo {ze'o} .e zo {ragve}
zva'ati	$x_1$ zvati lo nu mi do dei nau cusku	fu'ivla
zvailu	go $x_1$ jetnu gi jetnu fa $x_2$ gi'e ba bo zvailu fa $x_1$ fe $x_2$	fu'ivla			mukti fa lo nu djica lo nu da jbobau brivo la'o gy. while loop .gy .i srana fa zo .{ifle} .e zo {rapli} .e zo {krefu}
zvajuko	$x_1$ cirko lo ka ce'u djuno lo du'u $x_2$ zvati ma kau	fu'ivla	zvajuko		smudu'i zo {zvajuncri}
kucycuk	lo terjvi poi lo jivna joi lo seljvi cu slilu fi lo nu ciska lo kuctai fa'u lo cukla lo vei ci pi'i ci ve'o mei kurfa mo'u lo nu ga ci mitsi'u sinxa cu zvati lo linji gi lo kurfa cu culno	cmevla	kucycuk
samyuan	zo .samyuan., noi se krasi lo valsi befi lo glibau beife tu'ai «da poi prenu» li'u, cu cmene lo cevni be lo'e prenu poi lazni .i le go'i cu sinxa lo du'u le cusku cu ca'engau lo du'u la .samyuan. ku no'u lo datpre be cy be'o poi to'e itca cu basti cy lo ka ce'u fuzme da	cmevla
doi'u	sumka'i lo bavrai be lo gu'e .uenzi gi selpau lo sitna valsi	experimental cmavo				ZO
go'oi	brika'i gi'e tcita lo pa se li'erla'i valsi lo lamprurai bridi poi vasru lo bi'unai valsi	experimental cmavo			ko catlu ji'a zo {zo} .e zo {go'i}	GOhOI
je'oi	simsa zo poi .i ro roi tarti lo se tarti be zo poi bei va'o lo nu ri tcita lo nu pilno lo ku'antora .i va'i no roi ku lo smuni cu se pagbu lo si'o menre	experimental cmavo			xu by. noi barda cu cikna -> by. barda .i xu by. cikna // xu by. poi barda cu cikna -> su'oi barda cu me by. i xu lo poi'i barda gi'e me by. cu cikna // xu by. je'oi barda cu cikna -> xu by. barda gi'e cikna // .i ko catlu ke si'a zo {noi} je zo {poi} je zo {menre}	NOI
ji'ai	lo'u lo jibykai be lo ka le'u .i ji'ai broda cu jibykai lo ka broda	experimental cmavo			zo {jibykai} .e zo {jibri} .e zo {ckaji}	LE
ju'ei	fi'o {jutsi}	experimental cmavo
ju'oi	sinxa lo du'u le cusku cu djuno lo du'u le bridi cu jetnu kei a le danfu be le preti poi ga cy spuda ke'a gi gau cy zo kau tcita ke'a	experimental cmavo
ka'ai	fi'o {kansa}	experimental cmavo			.i {kansa}	BAI
ko'oi	tcita lo se cusku le du'u la'e vo'e te minde ja se cpedu ja se curmi ja se pacna ja se stidi ja se djica ja se bilga	experimental cmavo			{ko}; {au}, {a'o}, {e'o}, {e'u}, {e'a}, {ei}; {minde}, {cpedu}, {curmi}, {pacna}, {stidi}, {djica}, {bilga}	UI6
la'ai	jbocme fi'o nafte'i lo karsnarfa'o .i lo za'u pa cmene cu se jdijimte lo depybu'i	experimental cmavo	jbome'e;lojbo cmene		.i ji'a pilno ka'e fi lo sitsku be lo zunsnafamme'e	LOhU
lai'e	sumgadri le se li'erla'i sumti le du'u sinxa le se cmene be ri	experimental cmavo			.i lu lai'e ko'a li'u dunli lu zo'e noi se cmene ko'a li'u lo ka smuni .i .e'u viska la'e di'e ji'a .i zo {la'e} zo {la} zo {la'o} zo {la'ai} zo {la'au} zo {lu'u} zo {cmene}	LAhE
lai'u	lo'u lo se skicu be fo zo le'u	experimental cmavo			mu'a ganai do skicu ko'a fo la'e zoi gy. pedantic gy. gi ko'a na se cmene zo .pedantik. do .i lu'e lo ve skicu cu frica lo cmene .i ko'a na me la .pedantik. gi'e me lai'u .pedantik.	LA
lau'e	la'e di'e lu'u	experimental cmavo				KOhA2
lau'i	jorne lo li'erla'i valsi .i je smuni la'e zo ka'e	experimental cmavo			.i {la'a} {cu'i} .i va'o lo nu da'i zo ka'e cmavo ma'oi NA gi'e se smuni lo du'u su'o da poi cumki munje zo'u lo bridi cu jetnu da kei kei lu JA lau'i li'u .e lo'u GA lau'i le'u galfi lo smuni be lo se kuspe be vo'a la'e lu ka'e ku lo se kuspe li'u .i srana lo'u {na}-{nai}, {ka'e}-{lau'i}, {nu'o}-{nu'oi}, {pu'i}-{pu'ei}, {ca'a}-{ca'ai}, {ja'a}-{ja'ai} le'u .e lo modal zei logji pe la kripkes .i mupli fa lu ta se vinji tu noi farlu (ku'o) .i na ja lau'i ta mrobi'o li'u noi smudu'i lu na ku ta se vinji tu noi farlu (ku'o) .i ja ka'e ku ta mrobi'o li'u	NAI
lau'u	la'e di'u lu'u	experimental cmavo			.i mupli fa lu sicpi ce'o tanbargu .i lau'u noi pluka mi cu mukti lo nu sanga la tanbargu li'u .i srana zo {la'e} .e zo {di'u} .e zo {lu'u}	KOhA
le'au	tcita lo se cusku lo du'u va'o ri zo «le» se smuni lo se lidne poi .emna	experimental cmavo			smudunsi'u fa lu «le'au {ri'oirkai}» li'u jo'u lu «le'au ce'u ce'u ri'oirkai» li'u jo'u lu «sei ca'e mu'a lu «le broda» li'u lu «lo se .{emna} be lo ka ri'oirkai bei lo ka broda» li'u smudu'i» li'u	SEI
li'au	famyma'o ma'oi LUhEI	experimental cmavo			.i srana zo {lu'ei} .e so {li'u} .e zo {me'u}	LIhAU
li'i'e	sumtcita .i lu *li'i'e ko'a* li'u sinxa tu'a la'e lo'u *fi'o lisri ko'a* le'u ja lo'u *xoi ke'a se lisri ko'a* le'u	experimental cmavo			le {lisri} ka'e {fatci} ja {xanri}	BAI
lu'ei	galfi lo se li'erla'i selsku goi ko'a lo selbrisle i lo jalge stura cu se smuni lo du'u $x_1$ cusku ko'a $x_2$ $x_3$	experimental cmavo			.i zo {li'au} famyma'o .i na gendra gi'e ji'a to'e logji vau fa lo nu lo jufspi cu jorne lo jufra fu'e mu'a lo'u .i je le'u .onai lo'u .i ba bo le'u fu'o .i ku'i cafne fa lo nu lo na'e lojbo cu se pagbu lo go'i .i ma'oi {lu'ei} noi se stura lo selbrisle cu sidju fi lo nu ge logji gi fanva la'e di'u .i ji'a plixau fi lo nu ciska lu'e lo se draci .i mupli fa lu lu'ei ki'u lo nu la'e di'u na se tarti mi'a noi cinfo ku'o lo tamsmi sei spuda li'au .i ba bo la cinfo fau lo nu banli plipe cu cecla vofli pagre lo vacri gi'e snura zvabi'o lo ragve li'u to'i sitna joi galfi lo pagbu be la'au lo se manci te makfa pe la .oz. li'u noi xe fanva fu la selpa'i toi .e lu ko'a lu'ei u'i doi .maman. ko viska .i ta dasni cizra li'au i ko'e lu'ei .oi ko na degja'o .i ko smaji li'au li'u .i srana zo {li'au} .e zo {lu} .e zo {me}	LUhEI
lu'oi	galfi lo selbri lo selbri i robu'a zo'u loka'ei lu'oi bu'a ku ka'ei bo'a me bo'ai faibu noi bu'a bo'e bo'i li'o	experimental cmavo				SE
mau'a	galfi lo pa se lidne brisni poi pa sumti po'u zo ce'u cu pagbu ke'a ku'o lo selbrisni poi sinxa lo ka ce'u du'u ma kau ckaji ke'a	experimental cmavo			lu mau'a ce'u broda li'u smudu'i lu lo du'u ma kau broda li'u	LOhOI
me'au	.i sa'u dunli zo ckaji .ibo ku'i lo gerna cu dunli lo me zo me moi .i sa'e ka ce'u ckaji ce'u cu ka ce'u me'au ce'u .i pluja zmadu fa lo srana be za'u lo sumti	experimental cmavo	ckaji			ME
me do moi	$x_1$ cmima $x_2$ gi'e ckini do $x_3$	cmavo-compound	medomoi		{me} {do} {moi}
mei'e	galfi lo sumti porsi goi py. lo selbrisle .i $x_1$ menre lo cmima be py.	experimental cmavo	mei'e		srana fa zo {me} .e zo {menre} .e zo {cmima} .e zo {sumpoi} .i se famyma'o zo {mei'o}	MEIhE
mei'o	famyma'o ma'oi mei'e	experimental cmavo				MEIhO
mei'u	galfi lo se lamli'e sumti lo selbri .i $x_1$ me lo bi'u nai sumti moi $x_2$ fi $x_3$	experimental cmavo	mei'u		srana fa zo {me} .e zo {ckini} .e zo {srana} .e zo {ponse} .e zo {jinzi} .e zo {zasni} .e zo {mapti}	ME
mi'ai	lo su'o re mei je se cmima be mi ku goi ko'a ge'u jo'u lo drata be ko'a	experimental cmavo	mi'ai			KOhA3
no'e'u	li no'e'u du li no poi jbini lo nonmau ce lo nonme'a .i zo no'e'u sinxa lo du'u lo nonmau ba'e e lo nonme'a va'o se smuni	experimental cmavo			srana fa zo {no} jo'u zo {no'e} jo'u zo {no'ai}	PA4
po'a	fi'o ponse fe'u	experimental cmavo			.i lu po'a ko'a li'u dunli lu fi'o ponse ko'a li'u lo ka smuni .i mupli fa lu doi la noltrunau fi mi cange po'a la karabas fa lo piro se viska be mi'o li'u .e lu lo xanto cu po'a gunka lo nu bevri lo mudri li'u .i srana zo {po} .e zo {ponse}	BAI
pu'au	nau pu	experimental cmavo	pu'au		sinxa lo du'u lo nundumu be lo bridi poi vasru zo pu'au cu purci lo nu zo pu'au se cusku	CUhE
pu'ei	jorne lo li'erla'i valsi .i je smuni la'e zo pu'i	experimental cmavo			.i va'o lo nu da'i zo pu'i cmavo ma'oi NA gi'e se smuni lo du'u su'o da poi cumki munje zo'u ge lo bridi cu jetnu da gi lo cusku be vo'a cu cmima da kei kei lu JA pu'ei li'u .e lo'u GA pu'ei le'u galfi lo smuni be lo se kuspe be vo'a la'e lu pu'i ku lo se kuspe li'u .i srana lo'u {na}-{nai}, {ka'e}-{lau'i}, {nu'o}-{nu'oi}, {pu'i}-{pu'ei}, {ca'a}-{ca'ai}, {ja'a}-{ja'ai} le'u .e lo modal zei logji pe la kripkes .i mupli fa lu ta se vinji tu noi farlu (ku'o) .i je pu'ei ta mrobi'o li'u noi smudu'i lu ta se vinji tu noi farlu (ku'o) .i je pu'i ku ta mrobi'o li'u	NAI
ra'ai	sitsku lo pa nalsmucme bau lo jbobau sau lo jbobau ke seltidjvesna cu seji'e lo depybu'i	experimental cmavo	cmeme		simsa zo la'ai poi ku'i pilno lo pa nalsmucme	ZO
ra'oi	tcita lo pa rafsi noi se li'erla'i ku'o lo du'u vo'e rafsi	experimental cmavo	rafsi		.i .a'e so'o roi ku canlu bu .a denpa bu cu .ei lidne ja se lidne lo rafsi .i la zantufa xi pipavo .e lo balvi cu genturfa'i zo ra'oi poi cmavo ma'oi RAhOI to zoi zoi http://guskant.github.io/gerna_cipra/zantufa-0.14.html zoi toi .i mupli fa lu ra'oi.cra li'u .e lu ra'oi.cac li'u .e lu ra'oicai li'u .e lu ra'oicacy li'u .e lu ra'oi.gismy li'u .e lu ra'oigismu li'u	RAhOI
re'au'e	se se	experimental cmavo				SE*
ro'oi	namcu .i se zilkancu lo mulno .i ka'e se basti su'o re namcu	experimental cmavo			.i lu {ro'oi} {da} li'u du lu {na} {ku} {su'oi} {da} {na} {ku} li'u .i ko karbi zo ro'oi zo {ro}	PA4
ru'oi	ku'antora .i ro bu'a ro bu'e zo'u lo du'u ru'oi bu'a cu bu'e cu dunli lo du'u su'oi da poi ge ke'a bu'a gi ro'oi bu'a cu me ke'a cu bu'e	experimental cmavo			zo .{olkai} smujbi .i srana fa zo {ku'antora} jo'u zo {su'oi} jo'u zo {ro'oi} .i va'o su'o xanri gerna poi va'o ke'a lu «lo ti broda» li'u na sumsni cu cmavo ge nai ma'oi pa gi ja'ai ma'oi le	PA
sa'ei	.i lebna lo se lidne ke zo zoi zei naljbo ja cmevla .i sinxa lo nu ge ri simsa lo fatci sance gi lo cusku cu troci lo ka bacru ri	experimental cmavo			.i srana zo sance .e zo ci'oi .e zo ki'ai	COI2
slaka bu	lu slaka bu li'u bu'ivla zoi ly.,.ly.	bu-letteral				BY*
slasylta	$x_1$ cilta lo slasi .i $x_1$ slasi gi'e cilta	fu'ivla			zo {slasi} .i zo {cilta}
si'au	tcita lo se cusku noi la'e ri bridi gi fa'u na bridi ku'o lo du'u la'e ri simlu lo ka ce'u fa'u tu'a ri jetnu kei lo cusku be vo'e	experimental cmavo	si'au		{simlu}	UI2
si'u'i	vimcu lo pa li'erla'i valsi goi ko'a gi'e sinxa lo du'u se xalbo je xanri fa lo nu snuti fa lo nu cusku ko'a	experimental cmavo			krasi fa zo si jo'u zo .u'i	SI
te'oi	ro bu'a zo'u le ka ce'u te'oi bu'a cu ka ca ce'u bu'a	experimental cmavo			srana fa zo {xe'ei}	NU
tu'ai	tcita le se li'erla'i selsku le du'u sucta la'e ri .i krasi lo te sitna noi se fanmo zo li'u	experimental cmavo			.i lu {tu'ai} selsku {li'u} li'u dunli lu {tu'a} {la'e} {lu} selsku {li'u} {lu'u} {lu'u} li'u lo ka smuni .i mupli fa lu lo xindo cu facki tu'ai no li'u li'u .i srana zo {xu'u}	LU
zei'a	zo zei'a sumtcita gi'e cmavo ma'oi ta'e .i ca'e lo du'u «zei'a ko'a broda» cu du'u «zi'o zenba lo ni broda kei ko'a» kei gi'e va'i du'u «lo ni broda cu zilzena ko'a»	experimental cmavo			srana fa zo {zenba} joi zo {dei'a} joi zo {zilzena}	TAhE
ze'oi	galfi le pa se li'erla'i valsi goi ko'a pa selbri poi se smuni lo du'u «$x_1$ ckini la'e ko'a $x_2$»	experimental cmavo			zo ze'oi se finti fi lo nu rivbi lo nu pilno zo {zei} lo nu zbasu lo zasni tanru lo cmavo	GOhOI
zi'u	la'e lu'e	experimental cmavo				LAhE
zo'ai	sitsku cmavo .i galfi lo selbri lu'e ri	experimental cmavo				LE
zu'ai	lu ju'a nai mi jo'u do simxu lo ka ju'a ce'u broda ce'u li'u dunli fi lo ka se smuni vau fe lu mi jo'u do broda zu'ai li'u	experimental cmavo				KOhA7
