@rowCount	12099
drivanta	adrift
drivi	to drift, be adrift
drivo	drift
drivtabulo	driftwood, flotsam
drizelo	drizzle
droga	drug
drogacxo	(illegal) drug, narcotic
Drogedo	Drogheda
drogejo	drugstore
drogekscitita	high
drogemulo	drug addict
drogherboj	medicinal herbs
drogi	to dope, drug
drogisto	druggist
drogo	drug, pharmaceutical
drogstimulado	dope
drogvendejo	drugstore
drola	funny, funny-looking, queer
dromajo	emu
dromedaro	dromedary
dromiceo	emu
dromo	racing track
droni	to drown, sink
droni en detaloj	to drown in details
droni en sxuldoj	to be drowning in debt
dronigi	to drown
dronigxo	drowning
droninto	drowned body
dronmarcxejo	quicksand
dronmorti	to drown, die from drowning
droso	rudder-chain, tiller-rope
drosxko	drosky
drozero	sundew
drozofilo	Drosophila
druido	druid
drumisto	drummer
Drumnadrohxito	Drumnadrochit
drumo	drum set
drumomasxino	drum machine
drumonda flokso	annual phlox, Drummond phlox
drupo	drupe, stone fruit
du	two
du fojojn en cxiu tago	twice a day, twice every day, two times each day
du semajnoj	fortnight, two weeks
du-tona	dual tone
dua	second (order)
dua konfirma subskribo	countersignature
dua mondmilito	Second World War, World War II
dua persono	second person
duafoje	twice
duagrada	indifferent, mediocre
duagrada lernejo	secondary school
duagradeco	mediocrity
duagradulo	mediocrity
duakanona	deuterocanonical
duaklasa soldato	second class soldier
duaksa	biaxial
duala	dual
duala bazo	dual basis
dualeco	duality
dualismo	dualism
dualo	dual
duamana	second hand
duaranga	secondary
duaranga kontakto	subcontact
duargumenta rilato	binary relation
duatoma	diatomic
duba	doubtful, dubious, questionable, precarious, uncertain
dubanto	doubter
dubasenca	ambiguous
dubasence	ambiguously, equivocal
dubasenco	ambiguity
dube	in doubt, doubtfully
dubeblanka	whitish
dubeble	in a doubtful manner
dubeblua	bluish
dubebruna	brownish
dubeflava	tawny, yellowish
dubekolora	drab
dubelo	dowel
dubeluma	dim
dubelume	dimly
dubema	dubious
dubeme	dubiously
dubemolo	double flat symbol
dubenigra	blackish
duberugxa	reddish
dubeverda	greenish
dubi	to doubt, question
dubigi	to make doubt, place into doubt
dubinda	doubtful
dubinde	worthy of doubt, doubtful
dublado	dubbing
dublanto	double
dubleo	gold plate
dubli	to dub
Dublino	Dublin
dublisto	dubbing actor
dublo	dowel
dublono	doubloon
dubnio	Dubnium (Db)
dubo	doubt, misgiving
dubsenca	ambiguous
dubsenceco	ambiguity
ducelkarto	dual card
ducent	two hundred
ducentjara	bicentenary
duciklo	bicycle
ducxambra	bicameral
dudek	twenty
dudek unu	twenty-one
dudeka	twentieth
dudeka jarcento	twentieth century
dudekdua	twenty-second
dudekdujara	22-year-old
dudekedro	icosahedron
dudekjara	twenty two year-old
dudekjarulo	twenty year-old (person)
dudeko	score
dudekope	twenty together
dudieso	double sharp
dudimensia	two dimensional
dudirekta	reversible
dudualo	double dual
due	secondly
dueco	duality
duedro	dihedron
duelanto	dueler, duelist
duelbirdo	fighting cock, gamecock, ruff
duelementa	binary
dueli	to duel
duelo	duel
duenaskito	second-born
duenjo	chaperone
duentrancxa	bifid
duera	binary
duetagxa domo	two-story house
dueto	duet
dufadena	bifilar
dufaza	two-factor
duflanka	bilateral, two-sided
duflanka monopolo	bilateral monopoly
duflanka oligopolo	bilateral oligopoly
duflanka polipolo	bilateral polyopoly
duflanke	bilaterally
dufoje	twice
dufoje cxiutage	twice a day
dufokusa	bifocal
dufolia	bifoliate
duglasio	Douglas-fir
Duglaso	Douglas
dugongo	dugong
dugxemina	bigeminate
duhore	for two hours
duhufa	cloven-footed
duiliono	billion, trillion
duilo	median
dujara	biennial, two-year, two-year-old
dujare	for two years
dujarigxi	to become two years old, celebrate one’s second anniversary
dujarulo	biennial
duka	ducal
dukapa vico	double-ended queue
dukato	ducat
Dukbosko	Bois-le-Duc
dukerna	dual core
dukino	duchess
duklando	duchy, dukedom
duko	duke
dukolora	bicolor, of two colors
dukomponenta	binary
dukorna	bicorn, bicornuate, bicornuous
dukorno	caron, hacek
dukotiledona	dicotyledonous
dukrono	2-crown piece (Swedish coin)
dukto	duct, pipeline, tube
dukujo	duchy
dukultura	bicultural
dulineara	bilinear
dulingismo	bilingualism
dulingva	bilingual
dulingve	bilingually
dulingvigi	to make bilingual
dulingvismo	bilingualism
dulipa	bilabial, bilabiate
duliterajxo	digraph
dulito	bunk beds
duloba	bilobate
dulogxia	bilocular
duloka	dyadic, binary
duloka operacio	binary operation
dulorneto	binoculars
duluta	Duluthian
dulutano	Duluthian
dum	during, while, for, whereas, whilst
dum centoj da jaroj	for hundreds of years
dum iom da tempo	for a (little) while, for a short time
dum kelka tempo	for some (period of) time, for a while
dum kelkaj horoj	for several hours
dum la postaj tagoj	during the following days, over the next few days
dum la taglumaj horoj	during daylight hours
dum la tuta cetera vivo	for the rest of one’s life
dum la tuta jaro	all year long
dum la tuta nokto	all night long
dum lastatempaj jaroj	in recent years
dum longa tempo	for a long time
dum multe de semajnoj	for many weeks
dum pliaj du jaroj	for two more years
dum restas sxanco	while one still can, while there is still a chance
dum restas tempo	while there is (still) time
dum senfinaj horoj	for countless hours
dum tempo	at times, for a time
duma	momentary, temporary, short-lived, transient
Dumbartono	Dumbarton
dumdorme	in one’s sleep
dumdumo	dum-dum (ammunition)
dume	all the time, in the meantime, meanwhile, while, for the time being
dumetala	bimetallic
dumetalismo	bimetallism
Dumfriso	Dumfries
dumil	two thousand
dumkura	while running
dumkura permuteblajxo	hot plug device
dumkure	while running
dumkure permutebla	hot swappable
dummomenta	momentary, temporary, short-lived, transient
dummomente	for the moment
dumnokte	at night, during the night
dumodala	bimodal
dumolekula	bimolecular
dumonata	bimonthly
dumpingi	to dump
dumpingo	dumping
dumtage	by day, during the day
dumtajpa	while-typing, incremental (search)
dumtempa	temporary
dumtempe	for the time being, meanwhile
dumviva	lifelong
dumviva malliberigxo	life imprisonment
dumviva membro	lifelong member, lifetime member
dumvivo	lifetime
dumvoje	on the way, on the road
dunaskito	twin
dunaskitoj	twins
Dunblano	Dunblane
Dundalko	Dundalk
Dundino	Dunedin
Dundio	Dundee
dundumbo	dundumba
Dunfarlino	Dunfermline
dungado	hiring
dunganto	employer
Dungarvano	Dungarvan
dungato	mercenary
dungi	to employ, engage, hire
dungigxa	job, labor
dungigxado	employment
dungigxi	to be hired
dungigxo	job
dunginto	employer
dungitaro	labor force, personnel, staff, workforce
dungiteco	employment, work
dungito	employee
dungo	the act of hiring someone, employment
dungokontrakto	labor agreement, labor agreement, labor contract
dungolisto	muster roll
dungosoldato	mercenary soldier, soldier of fortune
dungperejo	employment exchange, labor exchange, labor exchange
Dunkeldo	Dunkeld
Dunkerko	Dunkirk
Dunkirko	Dunkirk
duno	dune
dunombro	dual (number)
Dunono	Dunoon
duo	couple, pair
duobla	double, dual
duobla dualo	double dual
duobla implico	equivalence
duobla kerno	dual-core, dual core
duobla klako	double click
duobla mentono	double chin
duobla neado	double negation
duobla precizeco	double precision
duobla vo	W
duoblabata	double stroke
duoblajxo	duplicate
duoble	twice, doubly
duoble alklaki	double-click
duoble pli facile	twice as easy
duobligi	to double, duplicate, redouble
duobligo	duplication
duobligxi	to duplicate
duoblo aux nenio	double or nothing
duodenito	duodenitis
duodeno	duodenum
duoedzineco	bigamy
duokula	binocular
duokuleco	binocularity
duolo	duplet
duona	half
duona rideto	half-smile
duonacida	bittersweet
duonadiciilo	half-adder
duonakcenta	with secondary accent
duonauxtomata	semiautomatic
duonblanka	whitish
duonboli	to parboil
duonboto	buskin
duonbruna	brownish
duonbusxe	inarticulately
duoncirklo	semi-circle
duondia	of a demigod
duondiametro	radius
duondiino	demigoddess
duondika	semi bold (font)
duondio	demigod
duondiri	to allude, hint, refer to, insinuate, suggest
duondorma	dozy, drowsy
duondormi	to doze, drowse
duondupleksa kanalo	half-duplex
duondupleksa regximo	half-duplex
duonduto	semitone
duone	by halves
duonebeno	half plane
duonebria	tipsy
duonesvenigi	to daze, stun
duonetagxo	mezzanine
duonfali	to stumble
duonfermi	to half close (eyes)
duonfermita	ajar
duonfilino	step-daughter
duonfilo	stepson
duonfratino	half-sister
duonfrato	half-brother
duonfreneza	half-crazy
duonglobo	hemisphere
duongrasa	marbled
duongrupo	semigroup
duonhisita	half-raised, half-staff (flag)
duonhisita flago	a flag at half-staff
duonhisite	at half mast
duonhore	for half an hour
duonhoro	half hour, thirty minutes
duoniga sercxo	binary search
duoniganto	bisector
duonigi	to cut in half, halve
duonigxi	to halve
duoninsulo	peninsula
duonjara	biannual
duonjaro	midsummer
duonkapono	capon
duonkodo	byte-code
duonkompreni	to begin to understand, half-understand
duonkonduka	semiconductor
duonkondukanto	semiconductor
duonkondukeco	semiconductivity
duonkonduktanto	semiconductor
duonkonduktila memoro	semiconductor memory
duonkonduktilo	semiconductor
duonkorpa	semi-acoustic
duonlevi	to tilt
duonlineara	antilinear, semilinear
duonluma	dim
duonlume	in the half-light, half-lit, dimly
duonlumo	dusk, half-light
duonmaldika	semi-light (font), semi light (font)
duonmalgrasa	semi-light (font), semi light (font)
duonmalplena	half-empty
duonmaratono	half marathon
duonmatura	half-baked
duonmejlo	half mile
duonmonato	fortnight
duonmondumo	demimonde
duonmorta	half-dead
duonmorte pro soifo	half dying of thirst
duonnormo	pseudonorm, semi-norm
duono	half
duonopero	musical, comic opera
duonpalto	short coat
duonpatrino	stepmother
duonpatro	stepfather
duonpermeabla	semi-permeable
duonplena	half-full
duonplezuriga	half-pleasing
duonposedanto	half owner
duonpreta	almost ready
duonrekto	half-line, ray
duonrideto	half-smile
duonringo	semiring
duonrondo	semicircle
duonsfera	hemispheric, hemispherical
duonsfero	half sphere, hemisphere
duonsumilo	half-adder
duonsurda	half-deaf
duonsxerce	half-joking
duonsxtrumpo	sock
duontono sube	flat (music)
duontono supre	sharp (music)
duontusxi	to touch lightly
duonvocxe	inarticulately
duonvoja	halfway
duonvoje	half the way, halfway (there)
duonvoje al	halfway to
duonvokalo	semivowel
duopa	binary, double, dual, duplex
duope	by twos, two together
duopo	ordered pair, couple
duopolo	duopoly
duopsonio	buyer’s duopoly
duorela	binaural
duparta	two-part
duparteca	bipartite
dupartia	bilateral
dupartiga	dichotomizing
dupartohava	bipartite
dupasxa	two-pass
dupersona lito	double bed
dupieda	bipedal, two-footed
dupiedulo	biped
dupleksa	duplex (communication)
duplikati	to duplicate, copy
duplikato	duplicate
dupo	dupe
dupolusa	bipolar
dupoluso	dipole
dupunkto	colon
dura	hard, major (in music)
duraluminio	duralumin
duramatro	dura mater
durdisko	hard disk, hard drive
durega	adamant
Durhamo	Durham
duriarbo	durian (tree)
durifrukto	durian
durio	durian
duriujo	durian (tree)
duro	douro
durtolo	buckram
dusekcanto	bisector
dusekci	to bisect
dusemajna	fortnightly
dusemajne	fortnightly
dusenca	ambiguous, equivocal
dusencajxo	ambiguity
dusenceco	ambiguity
dusignifa	ambiguous
dustabila	bistable
dustabila cirkvito	bistable circuit, flip flop
dustilusa kratago	midland hawthorn
Dusxanbeo	Dushanbe
dusxcxapo	shower cap
dusxejo	shower stall
dusxi	to shower
dusxi sin	to take a shower
dusxilo	showerhead
dusxkapo	showerhead
dusxkurteno	shower curtain
dusxo	douche, shower
dutaga	two-day
dutavola	dual-layer (DVD), double-layer (DVD)
dutermo	binomial
duto	second (musical interval)
dutona	dual tone
duum-dekuma prezento	binary-coded decimal notation
duuma	binary
duuma arbo	binary tree
duuma dosiero	binary file
duuma frakcio	dyadic fraction
duuma kodo	binary code
duuma nombrosistemo	binary number system
duuma operacio	binary operation
duuma sercxarbo	binary search tree
duuma sistemo	binary system
duvalenta	bivalent
duvalenteco	bivalency
duvalva	bivalve
duvalvulo	bivalve
duvalvuloj	bivalves
duveto	duvet
duzo	nozzle, jet
duxma	binary
dvd-disko	DVD disk
DVD-disko	DVD, Digital Versatile Disk, Digital Video Disk
DVD-ludilo	DVD player
DVD-spektilo	DVD player
dzeta	zeta
dzonko	Dzongkha
Dzungario	Dzungaria
Dzungarujo	Dzungaria
e	the letter E
E-kordo	E-chord
e-vorto	adverb
Eako	Aeacus
ebeeco	compliance
ebena	even, flat, level, smooth
ebena angulo	plane angle
ebena grafeo	planar graph
ebena kurbo	plane curve
ebenajxeto	level spot, level area
ebenajxo	plain, level area
ebenavoje	smoothly (of a path, road)
ebenbatita	beaten flat
ebene	evenly
ebenejo	plain
ebenigi	to even, level, (make) smooth
ebenigilo	roller
ebenigxi	to flatten
ebeno	plane (geom.)
ebi	to ebb
ebla	possible
ebla kliento	lead, potential client
eblas	it is possible
eble	maybe, mayhap, perchance, perhaps, possibly
eble jes	perhaps so
eble ne	perhaps not
ebleco	possibility
eblecoj	opportunities
ebli	to be possible
ebligi	to enable, render possible
ebligo	allowance
eblo	possibility
ebo	ebb (of tide)
ebona	ebony
ebonarbo	ebony tree
ebonito	ebonite
ebonkolora	ebony
ebono	ebony
ebonujo	ebony
ebria	drunk, intoxicated, tipsy, inebriated
ebrie	drunkenly
ebrieco	drunkenness, intoxication
ebrieta	buzzed, slightly drunk, tipsy
ebrigajxo	intoxicating liquor
ebrii	to be drunk
ebriiga	intoxicating
ebriigajxo	intoxicating substance
ebriige	intoxicatingly
ebriigi	to intoxicate, make (someone) drunk
ebriigxi	to get drunk
ebrio	drunkenness, intoxication
ebriulo	drunk person, drunk(ard)
Ebro	Ebro
ebulo	danewort, dwarf elder
Ebur-Bordo	Ivory Coast
ebura	ivory
Ebura Marbordo	Ivory Coast
ebura turo	ivory tower
Eburio	Ivory Coast
eburkolora	ivory-colored
eburmevo	ivory gull
eburo	ivory
eca kasxmemoro	property cache
ecara folio	property sheet
ecara pagxo	property page
ecaro	property set
ecidio	aecidium, aecium
ecigi	to qualify
eco	property, quality, attribute, qualification
eco-difino	property definition
eco-kampoj	property fields
eco-nomo	property name
ecodifino	property definition
ecokampoj	property fields
economo	property name
ecujo	property bag
ecx	even
ecx iom ne	not at all, by no means, anything but
ecx ne unu	not a single
ecx se	even if
Edamo	Edam
edelvejso	edelweiss
edemo	edema
Edeno	Eden
edeno	paradise
Edgaro	Edgar
edifi	to edify
edikto	decree, edict
edilo	aedile
Edinburgo	Edinburgh
edipa komplekso	Oedipus complex
editisto	editor
editori	to edit
editoro	editor
Edmundo	Edmund
edro	face
Eduardo	Edward
eduka	educational
edukada	educational, instructional
edukadi	to educate, instruct
edukado	education, upbringing
edukarto	pedagogy
edukato	boarder (school)
edukejo	boarding school
eduki	to breed, bring up, educate, raise
edukigxi	to be educated
edukisto	educator
edukita	raised, trained, educated
edukiteco	education (received)
eduknivelo	educational level
eduko	education, upbringing
eduksistemo	education system, school system
Edvardinsulo	Prince Edward Island
edvardo	Edward
edza	marriage, of marriage
edzeca	marital
edzeco	marriage, matrimony, wedlock
edziga	marriage, of marriage
edziga ceremonio	wedding ceremony
edziga ringo	wedding ring
edzigebla	marriageable
edzigi	to marry, wed
edzigxa	nuptial
edzigxa festo	wedding, wedding party
edzigxanonco	banns, wedding announcement
edzigxanto	bridegroom
edzigxfesto	wedding feast, wedding-party
edzigxi	to get married, marry, wed
edzigxinta	married
edzigxo	marriage, wedding
edzigxofesto	wedding
edzigxonto	husband-to-be, future husband
edzigxopropono	offer of marriage, proposal
edzigxovojagxo	honeymoon
edzigxpeto	offer, offer of marriage
edzigxpropono	offer, offer of marriage, proposal
edzina	of a wife, wifely
edzineco	marriage
edzinigi	to marry, wed
edzinigxantino	bride
edzinigxi	to get married, marry, become married
edzinigxinta	married
edzinigxo	marriage
edzinmurdintino	wife murderer
edzinmurdinto	wife killer
edzinmurdo	murder of one’s wife
edzino	wife
edzo	husband, mate, spouse
edzomurdintino	husband murderer
edzomurdinto	husband murderer
edzomurdo	murder of one’s spouse
EEU	European Esperanto Union
efekta	showy
efekti	to be effective
efektigxi	to come to pass, come true
efektilo	effect box, effect pedal, effects
efektiva	actual, real, effective, effectual, true
efektiva adreso	actual address
efektivajxo	reality, fact, truth
efektive	absolutely, actually, in fact, effectively, really, as a matter of fact
efektiveco	actuality, truth, reality
efektivigajxo	fait accompli
efektivigebla	achievable
efektivigi	to accomplish, achieve, act out, effect, realize, perform, bring about
efektivigita	completed
efektivigo	accomplishment, execution, implementation
efektivigxas	take effect
efektivigxi	to come about, come to pass, come true
efekto	effect, impression
efemera	ephemeral
efemerajxo	bubble, ephemeron
efemereco	ephemerality
efemeredoj	dayflies, mayflies
efemerido	astronomical table, ephemeris
efemermemorilo	scratch-pad memory
efemero	mayfly
efermera	ephemeral
eferverska	bubbly
eferveska	effervescent, fizzy
eferveski	to effervesce, fizz, bubble
efervesko	effervescence
efesano	Ephesian
Efeso	Ephesus
efezano	Ephesian
Efezo	Ephesus
efika	effective, effectual, efficacious
efika kauxzo	efficient cause
efikado	action
efike	decisively, effectively
efikeco	effectiveness, efficacy
efiki	to act, be effective, have effect, work, effect
efikigado	enforcement
efikilo	agent
efikita	affected
efiko	effect, result
efloreska	efflorescent
efloreski	to effloresce
efluvo	effluvium, discharge
efodo	ephod
efrito	afreet, afrite
ega	considerable, major, great, enormous, intense, extreme
egakordo	augmented chord
egala	equal, even, level
egalajxo	equation
egalanima	even-tempered
egalanimeco	equanimity
egalbone	equally good
egale	alike, all the same, equally
egaleco	draw, equality, parity
egalforta	well-matched
egali	to equal
egaligi	to equalize, even, level, match, equate
egaligi konton	to settle an account
egalinterspaca	monospaced
egalismo	egalitarianism
egallargxa	fixed-width, monospaced
egallatera	equilateral
egallonga kodo	fixed-length code
egalosigno	equal sign, equals sign
egalpasxi	to keep pace with
egalpezi	to balance
egalpezigi	to balance
egalpezo	equilibrium
egalrajta	equal, having equal rights
egalrajteco	equality (of rights)
egalrajtigi	grant equal rights to
egalrajtismo	egalitarianism
egalsenca	synonymous
egalsence	synonymously
egalsenco	synonym
egalsigno	equals sign
egaltempa	isochronous
egalulo	equal (person), match
egalvalora al	tantamount to
egalvaloro	equivalent
egalvenko	draw
egardema	attentive, watchful
egardo	attention
ege	extremely, greatly
egea	Aegean
Egea Maro	Aegean, Aegean Sea
Egeaj Insuloj	Aegean Islands
egeco	intensity
egeja	Aegean
Egeja Maro	Aegean Sea
egido	aegis, protection, shield, auspices, sponsorship
egipta	Egyptian
egiptino	Egyptian woman
Egiptio	Egypt
egipto	Egyptian
Egipto	Egyptian
egiptologiisto	Egyptologist
egiptologio	Egyptology
egiptologo	Egyptologist
egiptujano	Egyptian
Egiptujo	Egypt
Egiro	Aegir
eglanterio	eglantine
eglefino	haddock
egocentra	egocentric
egocentre	egocentrically
egocentrismo	egocentrism
egoisma	self-interested, selfish, egoistical
egoisme	selfishly, egoistically
egoismo	egoism, self-interest, selfishness
egoismulo	egoist, egotist
egoista	egoistical, egotistical, self-interested, selfish
egoiste	selfishly, egoistically
egoisto	egoist, egotist
egoo	ego
egopodio	bishop’s weed
egretardeo	aigrette
egreto	aigrette, tuft
egzameni	to investigate, study, do research, examine, explore
egzerci	to make exercises, master
egzilito	exile
egzilo	exile
egxo	arc (of a graph), mountain ridge, edge
ehe	aha
ehxi	to echo
ehxidno	spiny ant-eater
ehxilo	echo machine
ehxino	sea urchin
ehxo	echo
Ehxo	Echo
ehxolokalizilo	echolocation, sonar
ehxosondi	ping
ehxosondilo	sonar
ehxosxangxo cxiujxauxde	The quick brown fox jumps over the lazy dog.
Eiffel-turo	Eiffel Tower
eiskoplando	diocese
ej	(interjection)
ejakuli	ejaculate
Ejfelturo	Eiffel Tower
ejlo	ale
ejnstejnio	einsteinium
ejnstejno	Einstein
ejnsxtejnio	einsteinium
Ejnsxtejno	Einstein
ejo	place
Ejro	Ireland
ek	away we go, let’s start
ek de	starting from
ek-	(denotes an action which begins or is of short duration)
ek/for	on/off
eka	abrupt
ekaboni	to subscribe, subscribe to
ekagigi	trigger
ekagilo	trigger
ekamangxi	to start eating
ekamasigxi	to boom
ekamasigxo	boom
ekami	to fall in love
ekaperi	to emerge
ekapero	emergence
ekarteraro	bias error
ekarto	approximation error, deviation
ekauxdatoj	anurans, batrachians, salientians
ekauxdi	to catch the sound of, descry, perceive
ekauxdigxi	to make a noise, make a sound
ekbalbuti	to blurt
ekbatali	to begin fighting, commence hostilities
ekbatalo	engagement
ekbatejo	tee
ekbati	to lash out
ekbato	throbbing
ekblovi	to start to blow, begin blowing
ekboji	to start barking
ekboli	to start to boil, begin boiling
ekbrileti	to twinkle, sparkle
ekbrili	to flash
ekbrilo	flash
ekbrui	to bang
ekbruli	to (begin to) burn, catch, flash on, strike, take fire
ekbruligi	to ignite, kindle, light, set fire to, strike, spark
ekbruligi la fajron	to light the fire
ekbruligo	lighting
ekbruo	bang
ekceli	to aim, take aim
ekdanci	to start to dance, begin dancing
ekde	from, since, right from
ekde hieraux	since yesterday
ekde la komenco	from the beginning
ekde la tempo kiam	from the time when
ekde tiu momento	from that moment
ekdejxori	to accede
ekdejxoro	accession
ekdetrui	to zap
ekdiskuti pri	to bring up
ekdisputi	to start arguing
ekdorma	dormant
ekdormi	to fall asleep, drop off to sleep
ekeligxi	to emerge from, poke out of, come out of
ekenui	to bore, make someone become bored
ekesti	to arise, start to be
ekestigxi	to commence, start
ekestigxo	commencement, start
ekestis ventego	a storm blew up
ekesto	commencement, start
ekfali	to dip, slump
ekfalo	dip, downturn, slump
ekfari	to make or do suddenly
ekfarti	to start feeling, start faring
ekfiaski	to go under
ekfinigxi	to wane
ekfinigxo	decline
ekflagri	to burst into flames
ekflama	volatile
ekflamejo	flashpoint
ekflami	to catch fire, flare up, take fire, enkindle
ekflamigi	to set fire to
ekflamigo	lighting
ekflamigxema	passionate
ekflamigxi	to flame, flare
ekflori	to come into bloom
ekflugi	to take wing, take flight, take off
ekflugo	take-off
ekforkuri	to start to run away, suddenly run away
ekfrotadi	to start to rub
ekfugxi	to flee, take to flight, take to one’s heels
ekfulmeti	to flash
ekfulmeto	flash
ekfulmi	to flash
ekfulmo	flash, thunderbolt
ekfunkcii	to set going
ekfunkciigi	to put on, start, switch on, turn on
ekfunkciigo	activation
ekgardi	to secure
ekgenui	to kneel down
ekgliti	to skid, slip
ekgxemi	to sigh
ekgxemo	moan, groan
ekgxoji	to become joyful
ekhalti	to stop suddenly
ekhalto	stand
ekhavi	to get
ekhejmporti	to start carrying home
eki	to begin, come on, set in, start
ekidno	spiny ant-eater
ekigi	to begin, commence, start
ekimozo	ecchymosis
ekinaceo	echinacea
ekino	sea urchin
ekinopso	globe-thistle
ekinospermo	bur-seed
ekinsulti	to become abusive
ekinteresigxi	to begin to be interested
ekio	viper’s bugloss
ekipajxo	accoutrement, accoutrements, equipment
ekipestro	boatswain
ekipi	to equip, outfit
ekipo	equipment
ekirangulo	angle of departure
ekire	going out, leaving
ekirejo	starting-point
ekiri	to get out, set off, start (out)
ekirigi	to get something going
ekirigi motoron	to start an engine
ekkanti	to intone, raise, strike up singing
ekkapti	to clutch, grab, grasp, grip, seize, apprehend, grapple, lay hold of
ekkaptigi	to clutch
ekkapto	seizure
ekkati	to catch, seize, grab hold of, take hold of, catch hold of
ekkauxzi	to trigger, set off
ekkiam	as soon as
ekkolerema	irascible
ekkoleremulo	hot-head
ekkoleri	to get angry
ekkompreni	to begin to understand
ekkompreno	grasp, insight
ekkonebla	recognizable
ekkoneble	recognizably
ekkoni	to get to know, become familiar
ekkono	notion
ekkonscii	to become aware of, realize
ekkonscio	realization
ekkonstrui	to start to build, begin to build
ekkonsumi	to break into, broach, cut into
ekkontakti	to contact
ekkonteorio	epistemology, theory of knowledge
ekkonu vin mem	know thyself
ekkrampo	open (left) parenthesis
ekkreski	to start to grow
ekkria	exclamatory
ekkriegi	to begin to shout, start to shout
ekkrii	to call out, cry out, exclaim, shout out
ekkrio	ejaculation, yell
ekkuragxi	to become brave, get up one's courage
ekkuri	to start running, take to one’s heels
ekkuro	run
ekkusxi	to lie down
ekkusxigxi	to lie down
ekkutimi	to take to (something)
eklabori	to start work(ing)
eklampsio	eclampsia
eklektika	eclectic
eklektike	eclectically
eklektikismo	eclecticism
eklektikulo	eclectic
eklerni	to begin learning
eklero	éclair
eklevi	to hitch, jerk
eklevo	jerk
eklezia	ecclesiastic, ecclesiastical
eklezia regulo	canon
eklezia slava	Church Slavonic
ekleziano	church member, churchgoer, churchman, ecclesiastic
eklezimajstro	Teacher of the Faith
eklezio	church (institution, not building)
ekleziologia	ecclesiological
ekleziologio	ecclesiology
ekleziulo	chaplain, clergyman, ecclesiastic, cleric, priest
eklipsa	ecliptic
eklipsi	to surpass, eclipse
eklipso	eclipse
ekliptiko	ecliptic
eklogo	eclogue
eklogxi	to take up one’s residence, settle in
eklogxi en	to live in
ekludi	to kick off, start to play
ekludo	kick off
eklumi	to begin to be light, turn light
eklumigi	to light
eklumigi la laternon	to light the lantern
ekmalami	to start to hate, begin to hate
ekmalbonfarti	to start feeling badly
ekmalfortigxi	to decline (health)
ekmalsati	to get hungry
ekmalsukcesi	to go under
ekmangxi	to start to eat
ekmanki al	to fall short of
ekmarsxi rapide	to mend one’s pace, step out
ekmemori	to remember, come to mind
ekmigri	to start to migrate
ekmorti	to be dying
ekmovi	to begin to move, start to move
ekmovigxi	to begin to move
ekmultigxi	to boom
ekmultigxo	boom, upsurge
eknagxi	to begin to swim, start to swim
eko	beginning, commencement, inception, opening, outset, start
ekoilo	echo machine
ekokazo	emergency
ekokupado	invasion
ekokupo	inroad
ekologia	ecological
ekologia legomo	organic vegetable
ekologie	ecologically
ekologiismo	ecological movement, environmental movement, environmentalism, green movement
ekologiisto	ecologist, environmentalist
ekologio	ecology
ekologo	ecologist
ekonmortigi	to decimate
ekonometrio	econometrics
ekonomia	economic
ekonomia ekspansio	economic expansion
ekonomia supereco	economic supremacy
ekonomie	economically
ekonomiisto	economist
ekonomika	economical
ekonomike	economically
ekonomikisto	bailiff, steward
ekonomiko	economics
ekonomio	economics, economy
ekonomo	bailiff, bursar, estate manager, manager, steward, treasurer
ekoo	echo
ekosistemo	ecosystem
ekoturismo	ecotourism
ekpafi	to discharge, fire, fire off
ekpago	initial deposit, installment, down payment, first installment
ekpaniki	to panic
ekparoli	to begin speaking, utter
ekparoli pri	to bring up
ekparolo	utterance
ekpasxi	to step out, take a first step
ekpauxzo	break
ekpensi	to have an idea, occur to (one)
ekpliigxo	upsurge
ekplori	to burst into tears
ekpluvema	showery
ekpluvi	to start raining
ekpluvo	shower
ekposedi	to take possession of
ekpregxi	to start to pray
ekpreni	to grasp, snatch
ekpreno	grasp
ekprioritati	take precedence
ekprocesi	to begin a lawsuit
ekprocesi kontraux	to prosecute, sue
ekprovi	to tackle
ekpusxi	to jog, nudge
ekpusxo	push
ekran-antauxvido	preview image
ekrana butono	screen button
ekranantauxvido	preview image
ekranbloko	monitor, visual display unit
ekrandistingivo	screen resolution
ekrandividado	screen sharing
ekranfono	wallpaper
ekrangrando	screen size
ekranklavaro	onscreen keyboard, on-screen keyboard
ekrankopia	snapshot
ekrankopiilo	screen capture tool
ekrankopio	screenshot, screen shot, screen dump
ekrankurteno	screensaver
ekrano	screen
ekranprintajxo	screenshot, screen shot, screen dump
ekransavilo	screen saver
ekransxloso	screen locker
ekrantiparo	screen font
ekranumi	to screen
ekregi	to take command of, take power over
ekrego	accession, ascendancy
ekregxi	to begin to rule
ekrideti	to titter
ekridi	to burst out laughing
ekrigardi	to glance (at)
ekrigardo	glance
ekrimarki	to descry, perceive
ekrodi	to gnaw
ekrongxi	to gnaw
ekronki	to snort
ekruli	to launch, trigger, run
eks-	late, former, ex-
eksa	former, ex-
eksagi	to dart off, dart away
eksalti	to leap, spring up, start
eksalto	spike
eksamantino	ex-lover
eksarko	exarch
Ekscelenco	Excellency
ekscenterga	way-out
ekscentra	eccentric
ekscentre	eccentrically
ekscentrika	eccentric
ekscentrike	eccentrically
ekscentriko	eccentric
ekscepsio	exception
